species	reference	group	specimen	region	cell_type	measure	value	units
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Total	cell_number	33.10125	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Neurons	cell_number	29.801055375	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Non-neurons	cell_number	3.3001946249999996	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Total	cell_number	18.809375	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Neurons	cell_number	7.392084375	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Non-neurons	cell_number	11.417290625	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Total	cell_number	20.00578125	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Neurons	cell_number	3.851112890625	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Non-neurons	cell_number	16.154668359375	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Total	cell_number	4.875	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Neurons	cell_number	0.6654375	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Non-neurons	cell_number	4.2095625	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Total	cell_number	15.47	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Neurons	cell_number	5.32168	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Non-neurons	cell_number	10.148320000000002	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Total	cell_number	44.3746875	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Neurons	cell_number	41.348333812499995	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Non-neurons	cell_number	3.0263536875000057	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Total	cell_number	14.105	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Neurons	cell_number	3.201835	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Non-neurons	cell_number	10.903165	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Total	cell_number	7.6578125	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Neurons	cell_number	1.179303125	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Non-neurons	cell_number	6.478509375	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Total	cell_number	3.469375	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Neurons	cell_number	0.45101875	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Non-neurons	cell_number	3.01835625	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Total	cell_number	18.9028125	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Neurons	cell_number	5.00357446875	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Non-neurons	cell_number	13.89923803125	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Total	cell_number	38.4944140625	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Neurons	cell_number	32.104341328124995	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Non-neurons	cell_number	6.3900727343750034	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Total	cell_number	20.34796875	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Neurons	cell_number	5.453255625000001	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Non-neurons	cell_number	14.894713125000001	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Total	cell_number	12.8775	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Neurons	cell_number	3.98816175	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Non-neurons	cell_number	8.88933825	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Total	cell_number	3.748046875	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Neurons	cell_number	0.69713671875	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Non-neurons	cell_number	3.05091015625	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Total	cell_number	19.8488671875	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Neurons	cell_number	3.0567255468750005	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Non-neurons	cell_number	16.792141640625	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Total	cell_number	31.815	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Neurons	cell_number	29.651580000000003	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Non-neurons	cell_number	2.1634199999999986	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Total	cell_number	15.4260546875	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Neurons	cell_number	3.547992578125	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Non-neurons	cell_number	11.878062109375	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Total	cell_number	8.9834765625	cells
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Neurons	cell_number	2.00062023046875	cells
