status,species_snapshot,species_csv,n_measure_mismatch,species_key,ventral_pons_snap,body_weight_snap,n_snap,.cid,ventral_pons_csv,body_weight_csv,n_csv,ventral_pons_match,body_weight_match,n_match
matched_by_species,Cercopithecus ascanius,Cercopithecus ascanius,0,cercopithecus ascanius,520.2,3400,2,10,520.2,3400,2,TRUE,TRUE,TRUE
matched_by_species,Cercopithecus mitis,Cercopithecus mitis,0,cercopithecus mitis,517.6,6300,1,11,517.6,6300,1,TRUE,TRUE,TRUE
matched_by_species,Cheirogaleus major,Cheirogaleus major,0,cheirogaleus major,27.4,450,2,12,27.4,450,2,TRUE,TRUE,TRUE
matched_by_species,Cheirogaleus medius,Cheirogaleus medius,0,cheirogaleus medius,13,177,1,13,13,177,1,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,Colobus badius,NA,3,colobus badius,646.4,7000,2,NA,NA,NA,NA,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Daubentonia madagasc.,NA,3,daubentonia madagasc,304.8,2800,1,NA,NA,NA,NA,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Daubentonia madagascariensis,3,NA,NA,NA,NA,14,304.8,2800,1,FALSE,FALSE,FALSE
matched_by_species,Echinops telfairi,Echinops telfairi,0,echinops telfairi,0.49,87.5,1,15,0.49,87.5,1,TRUE,TRUE,TRUE
matched_by_species,Erythrocebus patas,Erythrocebus patas,0,erythrocebus patas,814.5,7800,2,16,814.5,7800,2,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,NA,Eulemur fulvus,3,NA,NA,NA,NA,17,136.9,1400,2,FALSE,FALSE,FALSE
matched_by_species,Galago senegalensis,Galago senegalensis,0,galago senegalensis,21,186,2,18,21,186,2,TRUE,TRUE,TRUE
matched_by_species,Galagoides demidoff,Galagoides demidoff,0,galagoides demidoff,13.6,81,2,19,13.6,81,2,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,Gorilla gorilla,NA,3,gorilla gorilla,5400.6,105000,2,NA,NA,NA,NA,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Gorilla sp.,3,NA,NA,NA,NA,20,5400.6,105000,2,FALSE,FALSE,FALSE
matched_by_species,Homo sapiens,Homo sapiens,0,homo sapiens,10477.9,65000,2,21,10477.9,65000,2,TRUE,TRUE,TRUE
matched_by_species,Hylobates lar,Hylobates lar,0,hylobates lar,1167.9,5700,1,22,1167.9,5700,1,TRUE,TRUE,TRUE
matched_by_species,Indri indri,Indri indri,0,indri indri,186.3,6250,2,23,186.3,6250,2,TRUE,TRUE,TRUE
matched_by_species,Lagothrix lagothricha,Lagothrix lagothricha,0,lagothrix lagothricha,725.6,5200,2,24,725.6,5200,2,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,Lemur fulvus,NA,3,lemur fulvus,136.9,1400,2,NA,NA,NA,NA,FALSE,FALSE,FALSE
matched_by_species,Lepilemur ruficaudatus,Lepilemur ruficaudatus,0,lepilemur ruficaudatus,26.2,915,1,25,26.2,915,1,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,NA,Lophocebus albigena,3,NA,NA,NA,NA,26,873.3,7900,2,FALSE,FALSE,FALSE
matched_by_species,Loris tardigradus,Loris tardigradus,0,loris tardigradus,28.9,322,2,27,28.9,322,2,TRUE,TRUE,TRUE
matched_by_species,Macaca mulatta,Macaca mulatta,0,macaca mulatta,639.2,7800,2,28,639.2,7800,2,TRUE,TRUE,TRUE
matched_by_species,Microcebus murinus,Microcebus murinus,0,microcebus murinus,5.9,54,2,29,5.9,54,2,TRUE,TRUE,TRUE
matched_by_species,Miopithecus talapoin,Miopithecus talapoin,0,miopithecus talapoin,273.7,1200,2,30,273.7,1200,2,TRUE,TRUE,TRUE
matched_by_species,Nasalis larvatus,Nasalis larvatus,0,nasalis larvatus,967.4,14000,1,31,967.4,14000,1,TRUE,TRUE,TRUE
matched_by_species,Nycticebus coucang,Nycticebus coucang,0,nycticebus coucang,63.8,800,2,32,63.8,800,2,TRUE,TRUE,TRUE
matched_by_species,Otolemur crassicaudatus,Otolemur crassicaudatus,0,otolemur crassicaudatus,54.5,850,2,33,54.5,850,2,TRUE,TRUE,TRUE
matched_by_species,Pan troglodytes,Pan troglodytes,0,pan troglodytes,3990.6,46000,1,34,3990.6,46000,1,TRUE,TRUE,TRUE
matched_by_species,Papio anubis,Papio anubis,0,papio anubis,2177.7,25000,2,35,2177.7,25000,2,TRUE,TRUE,TRUE
matched_by_species,Perodicticus potto,Perodicticus potto,0,perodicticus potto,77.7,1150,2,36,77.7,1150,2,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,NA,Piliocolobus badius,3,NA,NA,NA,NA,37,646.4,7000,2,FALSE,FALSE,FALSE
matched_by_species,Pithecia monachus,Pithecia monachus,0,pithecia monachus,211.8,1500,2,38,211.8,1500,2,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,NA,Pongo sp.,1,NA,NA,NA,NA,39,4300,NA,NA,FALSE,TRUE,TRUE
matched_by_species,Propithecus verreauxi,Propithecus verreauxi,0,propithecus verreauxi,169.3,3480,2,40,169.3,3480,2,TRUE,TRUE,TRUE
matched_by_species,Pygathrix nemaeus,Pygathrix nemaeus,0,pygathrix nemaeus,708.5,7500,1,41,708.5,7500,1,TRUE,TRUE,TRUE
matched_by_species,Saguinus midas,Saguinus midas,0,saguinus midas,45.7,340,2,42,45.7,340,2,TRUE,TRUE,TRUE
matched_by_species,Saguinus oedipus,Saguinus oedipus,0,saguinus oedipus,50.9,380,2,43,50.9,380,2,TRUE,TRUE,TRUE
matched_by_species,Saimiri sciureus,Saimiri sciureus,0,saimiri sciureus,135.2,660,2,44,135.2,660,2,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,NA,Tarsius sp.,3,NA,NA,NA,NA,45,16.5,125,4,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Tarsius spp.,NA,3,tarsius spp,16.5,125,4,NA,NA,NA,NA,FALSE,FALSE,FALSE
matched_by_species,Tenrec ecaudatus,Tenrec ecaudatus,0,tenrec ecaudatus,2.51,832,1,46,2.51,832,1,TRUE,TRUE,TRUE
matched_by_species,Tupaia glis,Tupaia glis,0,tupaia glis,13.8,170,2,47,13.8,170,2,TRUE,TRUE,TRUE
matched_by_species,Urogale everetti,Urogale everetti,0,urogale everetti,18.6,275,1,48,18.6,275,1,TRUE,TRUE,TRUE
matched_by_species,Varecia variegata,Varecia variegata,0,varecia variegata,168.8,3000,1,49,168.8,3000,1,TRUE,TRUE,TRUE
