key,Species,col,snap,csv_col,csv,match
solenodonparadoxus,Solenodon paradoxus,Body_weight,900,Body_weight,900,TRUE
solenodonparadoxus,Solenodon paradoxus,Brain_weight,4670,Brain_weight,4670,TRUE
solenodonparadoxus,Solenodon paradoxus,Ventricles,56.4,Ventricles,56.4,TRUE
solenodonparadoxus,Solenodon paradoxus,Meninges_hypophysis_nerves_etc.,169,Meninges_hypophysis_nerves_etc.,169,TRUE
solenodonparadoxus,Solenodon paradoxus,Total_brain_net_volume,4282,Total_brain_net_volume,4282,TRUE
solenodonparadoxus,Solenodon paradoxus,Medulla_oblongata,466,Medulla_oblongata,466,TRUE
solenodonparadoxus,Solenodon paradoxus,Cerebellum,753,Cerebellum,753,TRUE
solenodonparadoxus,Solenodon paradoxus,Mesencephalon,206,Mesencephalon,206,TRUE
solenodonparadoxus,Solenodon paradoxus,Diencephalon,269,Diencephalon,269,TRUE
solenodonparadoxus,Solenodon paradoxus,Telencephalon,2486,Telencephalon,2486,TRUE
solenodonparadoxus,Solenodon paradoxus,Bulbus_olfactorius,465,Bulbus_olfactorius,465,TRUE
solenodonparadoxus,Solenodon paradoxus,Bulbus_olfactorius_accessorius,0.21800000000000003,Bulbus_olfactorius_accessorius,0.21800000000000003,TRUE
solenodonparadoxus,Solenodon paradoxus,Lobus_piriformis,689,Lobus_piriformis,689,TRUE
solenodonparadoxus,Solenodon paradoxus,Septum,65.40000000000002,Septum,65.4,TRUE
solenodonparadoxus,Solenodon paradoxus,Striatum,255,Striatum,255,TRUE
solenodonparadoxus,Solenodon paradoxus,Schizo_cortex,156,Schizo_cortex,156,TRUE
solenodonparadoxus,Solenodon paradoxus,Hippocampus,296,Hippocampus,296,TRUE
solenodonparadoxus,Solenodon paradoxus,Neocortex,661,Neocortex,661,TRUE
solenodonparadoxus,Solenodon paradoxus,Epithalamus,NA,Epithalamus,NA,TRUE
solenodonparadoxus,Solenodon paradoxus,Thalamus,NA,Thalamus,NA,TRUE
solenodonparadoxus,Solenodon paradoxus,Hypothalamus,NA,Hypothalamus,NA,TRUE
solenodonparadoxus,Solenodon paradoxus,Subthalamus,NA,Subthalamus,NA,TRUE
solenodonparadoxus,Solenodon paradoxus,Pallidum,NA,Pallidum,NA,TRUE
solenodonparadoxus,Solenodon paradoxus,Nucleus_subthalamicus,NA,Nucleus_subthalamicus,NA,TRUE
solenodonparadoxus,Solenodon paradoxus,Capsula_interna,NA,Capsula_interna,NA,TRUE
