Species,Amygdala_current,Amygdala_current_source,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Body_weight_current,Body_weight_current_source,Code_number_Stephan1981,Species_Stephan1981,Number_of_individuals_1_to_18,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc.,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex,Number_of_individuals_19_to_26,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Number_of_individuals_27_to_28,Area_striata,Corpus_geniculatum_laterale,Number_of_individuals_29_to_34,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,Nucleus_amygdalae_basalis_pars_magnocellularis,Number_of_individuals_35_to_39,Complexus_vestibularis,Nucleus_vestibularis_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens,Number_of_individuals_40_to_44,Nucleus_septalis_triangularis,Corpus_subfornicale,Nucleus_habenularis_medialis,Corpus_pineal,Corpus_subcommissurale
AAAA_Anatomy_code,,,,,,,,,1N,1,2,3,4,5_(=6-10),6,7,8,9,10_(=11-18),11,12,13,14,15,16,17,18,19N,19,20,21,22_(=23+24),23,24,25,26,27N,27,28,29N,29,30_(=31+33),31,32,33,34,35N,35_(=36-39),36,37,38,39,40N,40,41,42,43,44
AAAA_Reference,ALL,ALL,ALL,ALL,ALL,ALL,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981
Chrysochloris asiatica,20,Stephan_1987,,,49,Stephan_1981,17,Chrysochloris asiatica,1,49,700,8.12,10.7,657,58.5,72.6,43.2,52.8,430,58.5,0.132,115,12.1,44.3,20.9,66.3,113,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.485,0.0147,0.449,0.0251,0.00811
Chrysochloris stuhlmanni,23.3,Stephan_1987,,,40,Stephan_1981,16,Chlorotalpa stuhlmanni,2,39.8,740,7,13.8,693,68.3,74.7,42,51.8,457,60.6,0.204,131,11.3,43.5,21.4,59.1,129,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.395,0.0191,0.38,0.096,0
Colobus angolensis,,,,,9680,Bauernfeind_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocidura flavescens,13,Stephan_1987,,,28,Stephan_1981,59,Crocidura occidentalis,2,28,440,2.67,14,408,59.8,51.3,27.7,28.4,241,37.6,0.221,68.4,6.94,16.8,13.3,38.5,59.1,2,0.657,14.6,9.77,1.78,1.63,0.142,2.19,0.252,,,,1,23.4,6.82,3.23,0.233,3.59,0.803,2,1.32,0.171,0.222,0.543,0.389,1,0.274,0.0186,0.2,0.0391,0.000576
Crocidura hildegardeae,6.9,Stephan_1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocidura jacksoni,7.6,Stephan_1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocidura russula,6.3,Stephan_1987,,,11,Stephan_1981,60,Crocidura russula,2,11,190,1.67,3.85,178,23.6,21.8,11.7,15,106,16.3,0.0431,30.2,3.64,8.17,6.05,15.9,25.5,1,0.368,7.48,4.61,0.87,0.781,0.0889,0.727,0.116,,,,1,45.1,11.1,5.41,0.44,5.74,0.804,1,0.563,0.077,0.084,0.235,0.167,5,0.12,0.00986,0.134,0.0278,0.000766
Daubentonia madagascariensis,481.7,Stephan_1987,1113,deSousa_2010,2800,Stephan_1981,136,Daubentonia madagascar.,1,"2,800","45,150",392,578,"42,611","1,517","6,461",897,"3,539","30,196",685,8.31,"1,538",254,"2,765","1,044","1,776","22,127",,,,,,,,,,1,1355,58.5,1,"1,065",473,122,3.53,351,24.9,,,,,,,1,2.65,0.593,7.75,3.32,1.83
Desmana moschata,90.8,Stephan_1987,,,440,Stephan_1981,83,Desmana moschata,1,440,"4,000",138,104,"3,620",402,514,219,344,"2,140",141,0.218,320,42.6,222,163,267,983,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.06,0.0352,1.05,0.459,0.0278
Echinops telfairi,22.4,Stephan_1987,,,87.5,Stephan_1981,5,Echinops telfairi,2,87.5,620,8.34,23.9,566,89.9,57.9,43.8,40.1,335,71.2,0.249,116,11.5,24.1,13.1,46.4,51.5,1,0.977,17.9,16.4,2.68,2.44,0.242,2.23,0.605,,,,1,93.1,22.1,10.8,0.71,11.3,3.19,1,1.69,0.291,0.281,0.615,0.505,1,0.338,0.029,0.365,0.243,0.000212
