key,Species,col,snap,csv_col,csv,match
aethechinusalgirus,Aethechinus algirus,Meninges_hypophysis_nerves_etc.,109,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Total_brain_net_volume,2859,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Medulla_oblongata,336,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Cerebellum,358,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Mesencephalon,153,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Diencephalon,246,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Telencephalon,1766,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Bulbus_olfactorius,285,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Bulbus_olfactorius_accessorius,1.93,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Lobus_piriformis,459,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Septum,42.9,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Striatum,140,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Schizo_cortex,109,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Hippocampus,227,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Neocortex,500,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Nucleus_septalis_triangularis,1.1800000000000002,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Corpus_subfornicale,0.0621,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Nucleus_habenularis_medialis,0.93,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Corpus_pineal,0.29700000000000004,NA,NA,FALSE
aethechinusalgirus,Aethechinus algirus,Corpus_subcommissurale,0.022199999999999998,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Body_weight,490,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Brain_weight,6100,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Ventricles,97.2,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Meninges_hypophysis_nerves_etc.,111,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Total_brain_net_volume,5680,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Medulla_oblongata,507,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Cerebellum,798,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Mesencephalon,523,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Diencephalon,524,NA,NA,FALSE
