Species,Body_weight_current,Body_weight_current_source,Species_Frahm1994,Body_weight_1994,CA1,CA2,CA3,Fascia_dentata,Hilus,Hippocampus_1994,Hippocampus_retrocommissuralis,HP_HS_fibers,Subiculum
AAAA_Anatomy_code,,,,,,,,,,,Hippocampus_retrocomm.,,
AAAA_Reference,ALL,ALL,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994
Microsorex hoyi,,,,,,,,,,,,,
Miopithecus talapoin,1200,Stephan_1981,Miopithecus talapoin,1200,183.4,15.31,134.6,87.59,51.91,704.87,514.12,190.75,41.31
Myosorex babaulti,,,,,,,,,,,,,
Nasalis larvatus,14000,Stephan_1981,Nasalis larvatus,14000,546.36,69.39,370.1,205.69,142.29,1965.93,1447.1,518.83,113.27
Neomys fodiens,15.2,Stephan_1981,,,,,,,,,,,
Nesogale dobsoni,32.6,Stephan_1981,,,,,,,,,,,
Nesogale talazaci,50.4,Stephan_1981,,,,,,,,,,,
Nycticebus coucang,800,Stephan_1981,Nycticebus coucang,800,178.14,17.34,135.76,91.22,23.62,565.77,498.71,67.06,52.63
Oryzorictes hova,44.2,Stephan_1981,,,,,,,,,,,
Otolemur crassicaudatus,850,Stephan_1981,Otolemur crassicaudatus,850,164.58,9.6,78.22,64.69,28.14,460.88,387.45,73.43,42.22
Pan paniscus,37133.33333,Bauernfeind_2013,,,,,,,,,,,
Pan troglodytes,46503.33333,Bauernfeind_2013,Pan troglodytes,46000,1166.33,85.7,622.88,386.54,235.43,3778.69,2763.46,1015.23,266.58
Papio anubis,25000,Stephan_1981,Papio anubis,25000,800.97,66.37,564.35,312.25,178.36,3397.9,2079.02,1318.88,156.72
Perodicticus potto,1150,Stephan_1981,Perodicticus potto,1150,197.36,16.3,139.69,100,26.62,607.01,528.32,78.69,48.35
Piliocolobus badius,7000,Stephan_1981,Colobus badius,7000,615.79,38.44,323.72,185.28,156.77,1670.84,1449.2,221.64,129.2
Pithecia monachus,1500,Stephan_1981,Pithecia monachus,1500,259.52,31.78,154.43,102.44,56.38,834.26,646.18,188.08,41.63
Pithecia pithecia,1580,Bauernfeind_2013,,,,,,,,,,,
Pongo sp.,61700,Bauernfeind_2013,,,,,,,,,,,
Potamogale velox,660,Stephan_1981,,,,,,,,,,,
Propithecus verreauxi,3480,Stephan_1981,Propithecus verreauxi,3480,361.75,18.7,217.12,141.39,70.93,1042.96,882.08,160.88,72.19
Pygathrix nemaeus,7500,Stephan_1981,Pygathrix nemaeus,7500,786.6,44.48,420.73,253.07,227.64,2295.41,1849.66,445.75,117.14
Rattus norvegicus,233.7,Stephan_1981,,,,,,,,,,,
Rhynchocyon cirnei,490,Stephan_1981,,,,,,,,,,,
Ruwenzorisorex suncoides,,,,,,,,,,,,,
Saguinus geoffroyi,482,Bauernfeind_2013,,,,,,,,,,,
Saguinus midas,340,Stephan_1981,Saguinus midas tamarin,340,78.04,10.95,68.92,38.98,13.97,280.26,226.71,53.55,15.85
Saguinus oedipus,380,Stephan_1981,Saguinus oedipus,380,85.42,9.66,49.77,31.55,9.14,262.09,208.99,53.1,23.45
Saimiri sciureus,660,Stephan_1981,Saimiri sciureus,660,79.82,13.7,66.43,49.78,21.07,351.44,248.38,103.06,17.58
Scutisorex somereni,,,,,,,,,,,,,
Setifer setosus,237,Frahm_1994,Setifer setosus,237,21.24,5.67,25.79,19.87,6.63,96.57,85.03,11.54,5.83
Solenodon paradoxus,900,Stephan_1981,,,,,,,,,,,
Sorex araneus,10.3,Stephan_1981,,,,,,,,,,,
Sorex cinereus,,,,,,,,,,,,,
Sorex fumeus,,,,,,,,,,,,,
Sorex minutus,5.3,Stephan_1981,,,,,,,,,,,
Spalax ehrenbergi,112.9,Stephan_1981,,,,,,,,,,,
Suncus etruscus,,,,,,,,,,,,,
Suncus megalura,,,,,,,,,,,,,
Suncus murinus,35.5,Stephan_1981,,,,,,,,,,,
Sylvisorex granti,,,,,,,,,,,,,
Symphalangus syndactylus,11900,Bauernfeind_2013,,,,,,,,,,,
Talpa europaea,76,Stephan_1981,,,,,,,,,,,
Tarsius sp.,125,Stephan_1981,Tarsius spec.,125,51.39,7.03,32.09,22.74,5.87,152.66,129.88,22.78,10.76
Tenrec ecaudatus,832,Stephan_1981,Tenrec ecaudatus,852,32.11,6.49,39.7,30.73,8,147.12,124.53,22.59,7.5
Trachypithecus francoisi,7700,Bauernfeind_2013,,,,,,,,,,,
Tupaia glis,170,Stephan_1981,,,,,,,,,,,
Tupaia minor,70,Stephan_1981,,,,,,,,,,,
Urogale everetti,275,Stephan_1981,,,,,,,,,,,
Varecia variegata,3000,Stephan_1981,Varecia variegata,3000,410.99,26.84,304.87,235.85,118.25,1403.65,1176.95,226.7,80.15
