status,species_snapshot,species_csv,n_measure_mismatch,species_key,body_weight_snap,hippocampus_total_snap,HP_HS_fibers_snap,hippocampus_retrocommissuralis_snap,subiculum_snap,CA1_snap,CA2_snap,CA3_snap,hilus_snap,fascia_dentata_snap,.cid,body_weight_csv,hippocampus_total_csv,HP_HS_fibers_csv,hippocampus_retrocommissuralis_csv,subiculum_csv,CA1_csv,CA2_csv,CA3_csv,hilus_csv,fascia_dentata_csv,body_weight_match,hippocampus_total_match,HP_HS_fibers_match,hippocampus_retrocommissuralis_match,subiculum_match,CA1_match,CA2_match,CA3_match,hilus_match,fascia_dentata_match
matched_by_species,Alouatta seniculus,Alouatta seniculus,0,alouatta seniculus,6400,1319.79,315.03,1004.76,117.66999999999999,362.92999999999995,56.59,236.05,67.88,163.64,1,6400,1319.79,315.03,1004.76,117.66999999999999,362.92999999999995,56.59,236.05,67.88,163.64,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Aotus trivirgatus,Aotus trivirgatus,0,aotus trivirgatus,830,538.8,133.49,405.31,27.43,150.16,20.830000000000002,97.14,33.52,76.23,2,830,538.8,133.49,405.31,27.43,150.16,20.830000000000002,97.14,33.52,76.23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Ateles geoffroyi,Ateles geoffroyi,0,ateles geoffroyi,8000,1366.01,370.37,995.64,72.63,388.3,51.790000000000006,263.35,69.29000000000002,150.28,3,8000,1366.01,370.37,995.64,72.63,388.3,51.790000000000006,263.35,69.29,150.28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,Avahi l. occidentalis,NA,10,avahi l occidentalis,860,475.58,56.15,419.42999999999995,41.61,175.41,9.13,90.39,30.86,72.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Avahi laniger,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1285,526.25,67.7,458.55,48.13,178.89000000000001,15.29,112.49000000000001,24.93,78.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Avahi laniger laniger,NA,10,avahi laniger laniger,1285,526.25,67.7,458.55,48.13,178.89000000000001,15.29,112.49000000000001,24.93,78.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Avahi occidentalis,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,860,475.58,56.15,419.42999999999995,41.61,175.41,9.129999999999999,90.39,30.86,72.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,Callicebus moloch,Callicebus moloch,0,callicebus moloch,900,588.2900000000001,101.92,486.37,42.71,174.88000000000002,22.9,129.10999999999999,37.33,79.44000000000001,6,900,588.2900000000001,101.92,486.37,42.71,174.88000000000002,22.9,129.10999999999999,37.33,79.44000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,Callimico goeldi,NA,10,callimico goeldi,480,280.9,49.339999999999996,231.56,17.57,83.53,7.84,60.809999999999995,12.08,49.730000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Callimico goeldii,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,480,280.9,49.339999999999996,231.56,17.57,83.53,7.84,60.809999999999995,12.08,49.730000000000004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
