Species,Body_Mass.g
Crocidura caspica,10.42
Crocidura cinderella,10.35
Crocidura congobelgica,10.35
Crocidura crenata,6.52
Crocidura crossei,6.9
Crocidura cyanea,9.35
Crocidura denti,7.0
Crocidura desperata,10.35
Crocidura dhofarensis,5.8
Crocidura dolichura,5.7
Crocidura douceti,4.3
Crocidura dsinezumi,10.21
Crocidura eisentrauti,10.35
Crocidura elgonius,6.5
Crocidura elongata,17.8
Crocidura erica,10.35
Crocidura fischeri,10.35
Crocidura flavescens,29.02
Crocidura floweri,10.35
Crocidura foetida,10.42
Crocidura foxi,19.0
Crocidura fuliginosa,12.0
Crocidura fulvastra,12.67
Crocidura fumosa,14.5
Crocidura fuscomurina,4.76
Crocidura glassi,10.35
Crocidura gmelini,10.42
Crocidura goliath,54.84
Crocidura gracilipes,6.7
Crocidura grandiceps,23.0
Crocidura grandis,10.35
Crocidura grassei,13.5
Crocidura grayi,10.3
Crocidura greenwoodi,10.35
Crocidura harenna,8.5
Crocidura hildegardeae,9.5
Crocidura hilliana,10.42
Crocidura hirta,15.8
Crocidura hispida,10.35
Crocidura horsfieldii,5.0
Crocidura hutanis,10.42
Crocidura ichnusae,10.35
Crocidura indochinensis,10.42
Crocidura jacksoni,7.0
Crocidura jenkinsi,12.6
Crocidura jouvenetae,9.79
Crocidura katinka,10.42
Crocidura kivuana,9.0
Crocidura lamottei,20.5
Crocidura lanosa,22.6
Crocidura lasiura,14.8
Crocidura latona,10.35
Crocidura lea,6.6
Crocidura lepidura,10.42
Crocidura leucodon,9.82
Crocidura levicula,1.77
Crocidura littoralis,16.0
Crocidura longipes,19.3
Crocidura lucina,10.35
Crocidura ludia,5.15
Crocidura luna,14.5
Crocidura lusitania,2.0
Crocidura macarthuri,10.35
Crocidura macmillani,10.35
Crocidura macowi,10.35
Crocidura malayana,12.7
Crocidura manengubae,10.35
Crocidura maquassiensis,6.0
Crocidura mariquensis,11.25
Crocidura maurisca,14.0
Crocidura maxi,7.53
Crocidura mindorus,18.0
Crocidura miya,10.2
Crocidura monax,16.0
Crocidura monticola,6.6
Crocidura montis,14.5
Crocidura muricauda,10.35
Crocidura musseri,10.42
Crocidura mutesae,23.91
Crocidura nana,10.35
Crocidura nanilla,6.5
Crocidura negligens,10.42
Crocidura negrina,11.33
Crocidura nicobarica,28.9
Crocidura nigeriae,23.0
Crocidura nigricans,20.0
Crocidura nigripes,13.2
Crocidura nigrofusca,11.75
Crocidura nimbae,15.5
Crocidura niobe,16.0
Crocidura obscurior,10.35
Crocidura olivieri,57.95
Crocidura orientalis,15.8
Crocidura orii,14.4
Crocidura palawanensis,10.35
Crocidura paradoxura,8.23
Crocidura parvipes,10.35
Crocidura pasha,6.5
Crocidura pergrisea,10.1
Crocidura phaeura,10.35
Crocidura picea,10.35
Crocidura pitmani,10.35
Crocidura planiceps,2.5
Crocidura poensis,16.57
Crocidura polia,10.35
Crocidura pullata,10.35
Crocidura raineyi,14.5
Crocidura ramona,10.42
Crocidura rapax,10.42
Crocidura religiosa,7.0
Crocidura rhoditis,14.0
Crocidura roosevelti,10.35
Crocidura russala,11.6
Crocidura russula,11.02
Crocidura selina,10.35
Crocidura serezkyensis,10.35
Crocidura shantungensis,10.42
Crocidura sibirica,10.35
Crocidura sicula,6.9
Crocidura silacea,8.0
Crocidura smithii,10.35
Crocidura somalica,11.5
Crocidura stenocephala,21.0
Crocidura suaveolens,5.19
Crocidura susiana,10.35
Crocidura tanakae,10.42
Crocidura tansaniana,10.35
Crocidura tarella,10.35
Crocidura tarfayensis,6.5
Crocidura telfordi,10.35
Crocidura tenuis,9.43
Crocidura thalia,10.35
Crocidura theresae,17.6
Crocidura thomensis,10.35
Crocidura trichura,10.42
Crocidura turba,14.5
Crocidura ultima,16.0
Crocidura usambarae,9.7
Crocidura viaria,17.0
Crocidura virgata,10.42
Crocidura voi,10.35
Crocidura vorax,10.42
Crocidura vosmaeri,10.42
Crocidura watasei,10.42
Crocidura whitakeri,5.5
Crocidura wimmeri,23.5
Crocidura wuchihensis,4.3
Crocidura xantippe,10.35
Crocidura yankariensis,5.0
Crocidura zaphiri,10.35
Crocidura zarudnyi,6.71
Crocidura zimmeri,14.5
Crocidura zimmermanni,10.35
Crocuta crocuta,63808.01
Crossarchus alexandri,1500.0
Crossarchus ansorgei,700.0
Crossarchus obscurus,1057.5
Crossarchus platycephalus,1250.0
Crossomys moncktoni,165.0
Crunomys celebensis,55.0
Crunomys fallax,37.5
Crunomys melanius,42.5
Crunomys suncoides,44.42
Cryptochloris wintoni,25.0
Cryptochloris zyli,25.0
Cryptomys amatus,76.74
Cryptomys bocagei,94.0
Cryptomys foxi,183.14
Cryptomys hottentotus,89.643
Cryptomys hottentotus natalensis,99.02
Cryptomys hottentotus pretoriae,104.27
Cryptomys kafuensis,125.41
Cryptomys ochraceocinereus,200.0
Cryptomys zechi,223.06
Cryptoprocta ferox,8591.667
Cryptotis alticola,7.72
Cryptotis brachyonyx,7.72
Cryptotis colombiana,7.72
Cryptotis endersi,8.0
Cryptotis equatoris,7.72
Cryptotis goldmani,8.0
Cryptotis goodwini,7.0
Cryptotis gracilis,7.0
Cryptotis griseoventris,7.72
Cryptotis hondurensis,5.0
Cryptotis magna,7.0
Cryptotis mayensis,5.0
Cryptotis medellinia,7.72
Cryptotis mera,7.72
Cryptotis meridensis,11.57
Cryptotis merriami,7.72
Cryptotis mexicana,7.0
Cryptotis montivaga,11.3
Cryptotis nelsoni,7.72
Cryptotis nigrescens,7.65
Cryptotis obscura,7.72
Cryptotis orophila,7.72
Cryptotis parva,9.9
Cryptotis peregrina,7.72
Cryptotis peruviensis,7.72
Cryptotis phillipsii,7.72
Cryptotis squamipes,11.0
Cryptotis tamensis,7.72
Cryptotis thomasi,12.6
Cryptotis tropicalis,7.72
Ctenodactylus gundi,289.0
Ctenodactylus vali,175.0
Ctenomys argentinus,221.3
Ctenomys australis,361.5
Ctenomys azarae,400.0
Ctenomys bergi,259.74
Ctenomys boliviensis,535.0
Ctenomys bonettoi,202.3
Ctenomys brasiliensis,400.0
Ctenomys budini,259.74
Ctenomys colburni,400.0
Ctenomys coludo,259.74
Ctenomys conoveri,860.0
Ctenomys coyhaiquensis,259.74
Ctenomys dorbignyi,259.74
Ctenomys dorsalis,165.6
Ctenomys emilianus,285.3
Ctenomys famosus,259.74
Ctenomys flamarioni,259.74
Ctenomys fochi,259.74
Ctenomys fodax,259.74
Ctenomys frater,172.9
Ctenomys fulvus,262.0
Ctenomys goodfellowi,259.74
Ctenomys haigi,164.0
Ctenomys johannis,259.74
Ctenomys juris,259.74
Ctenomys knighti,316.0
Ctenomys lami,259.74
Ctenomys latro,192.0
Ctenomys leucodon,243.6
Ctenomys lewisi,117.2
Ctenomys magellanicus,272.0
Ctenomys maulinus,215.0
Ctenomys mendocinus,163.05
Ctenomys minutus,92.0
Ctenomys occultus,150.0
Ctenomys opimus,361.5
Ctenomys osvaldoreigi,259.74
Ctenomys pearsoni,212.0
Ctenomys perrensi,400.0
Ctenomys peruanus,490.0
Ctenomys pilarensis,259.74
Ctenomys pontifex,400.0
Ctenomys porteousi,192.4
Ctenomys pundti,259.74
Ctenomys rionegrensis,259.74
Ctenomys roigi,259.74
Ctenomys saltarius,230.0
Ctenomys scagliai,259.74
Ctenomys sericeus,400.0
Ctenomys sociabilis,400.0
Ctenomys steinbachi,385.0
Ctenomys sylvanus,259.74
Ctenomys talarum,132.33
Ctenomys torquatus,209.5
Ctenomys tuconax,249.0
Ctenomys tucumanus,217.0
Ctenomys tulduco,259.74
Ctenomys validus,232.6
Ctenomys viperinus,259.74
Ctenomys yolandae,259.74
Cuniculus paca,6389.775
Cuniculus taczanowskii,8999.95
Cuon alpinus,14591.11
Cuscomys ashaninka,910.0
Cuscomys oblativa,910.0
Cyclopes didactylus,331.15
Cynictis penicillata,678.104
Cynocephalus volans,1275.0
Cynogale bennettii,4255.0
Cynomops abrasus,34.345
Cynomops greenhalli,16.685
Cynomops mexicanus,17.21
Cynomops paranus,12.16
Cynomops planirostris,10.045
Cynomys gunnisoni,783.65
Cynomys leucurus,964.82
Cynomys ludovicianus,1114.575
Cynomys mexicanus,948.995
Cynomys parvidens,737.995
Cynopterus brachyotis,31.63
Cynopterus horsfieldii,56.445
Cynopterus luzoniensis,40.3
Cynopterus minutus,26.45
Cynopterus nusatenggara,36.44
Cynopterus sphinx,43.03
Cynopterus titthaecheilus,58.33
Cystophora cristata,285586.75
Cyttarops alecto,5.3
Dacnomys millardi,73.99
Dactylomys boliviensis,728.8
Dactylomys dactylinus,649.99
Dactylomys peruanus,382.0
Dactylopsila megalura,277.74
Dactylopsila palpator,416.5
Dactylopsila tatei,252.0
Dactylopsila trivirgata,435.0
Dama dama,44785.0
Damaliscus korrigum,127194.87
Damaliscus lunatus,123500.17
Damaliscus pygargus,82250.0
Damaliscus pygargus phillipsi,60000.0
Damaliscus superstes,120837.92
Dasycercus cristicauda,95.0
Dasykaluta rosamondae,31.875
Dasymys alleni,102.35
Dasymys cabrali,102.35
Dasymys foxi,116.59
Dasymys incomtus,138.3
Dasymys montanus,82.0
Dasymys nudipes,100.18
Dasymys rufulus,82.99
Dasymys rwandae,102.35
Dasymys sua,102.35
Dasyprocta azarae,2309.99
Dasyprocta coibae,2660.13
Dasyprocta cristata,2650.03
Dasyprocta fuliginosa,3500.02
Dasyprocta guamara,2650.03
Dasyprocta kalinowskii,2650.03
Dasyprocta leporina,3052.673
Dasyprocta mexicana,5000.0
Dasyprocta punctata,2923.49
Dasyprocta ruatanica,2857.13
Dasypus hybridus,1500.0
Dasypus kappleri,9500.0
Dasypus novemcinctus,5000.0
Dasypus pilosus,4444.98
Dasypus sabanicola,1150.01
Dasypus septemcinctus,1526.65
Dasypus yepesi,2785.87
Dasyuroides byrnei,109.735
Dasyurus albopunctatus,632.0
Dasyurus geoffroii,1100.0
Dasyurus hallucatus,750.0
Dasyurus maculatus,4761.383
Dasyurus spartacus,686.335
Dasyurus viverrinus,1090.0
Daubentonia madagascarensis,2800.0
Daubentonia madagascariensis,2800.0
Delanymys brooksi,5.0
Delomys collinus,77.94
Delomys dorsalis,67.5
Delomys sublineatus,90.0
Delphinapterus leucas,929125.0
Delphinus capensis,80000.0
Delphinus delphis,75028.987
Deltamys kempi,26.4
Dendrogale melanura,60.0
Dendrogale murina,50.0
Dendrohyrax arboreus,2960.367
Dendrohyrax dorsalis,2162.5
Dendrolagus bennettianus,10950.0
Dendrolagus dorianus,16500.0
Dendrolagus goodfellowi,7824.593
Dendrolagus inustus,13240.625
Dendrolagus lumholtzi,6972.5
Dendrolagus matschiei,6960.0
Dendrolagus mbaiso,9395.06
Dendrolagus pulcherrimus,9511.11
Dendrolagus scottae,10437.5
Dendrolagus spadix,9100.0
Dendrolagus stellarum,9511.11
Dendrolagus ursinus,10725.0
Dendromus insignis,11.05
Dendromus kahuziensis,11.0
Dendromus leucostomus,10.79
Dendromus lovati,12.0
Dendromus melanotis,9.06
Dendromus mesomelas,11.12
Dendromus messorius,12.81
Dendromus mystacalis,7.72
Dendromus nyasae,13.72
Dendromus nyikae,15.0
Dendromus oreas,12.76
Dendromus vernayi,12.76
Dendroprionomys rousseloti,67.18
Deomys ferrugineus,62.0
Dephomys defua,43.05
Dephomys eburneae,52.5
Desmana moschata,440.0
Desmodilliscus braueri,10.0
Desmodillus auricularis,53.3
Desmodus rotundus,29.19
Desmodus rufus,33.0
Desmomys harringtoni,90.0
Desmomys yaldeni,90.0
Diaemus youngi,35.49
Dicerorhinus sumatrensis,1266667.0
Diceros bicornis,972980.45
Diclidurus albus,15.6
Diclidurus ingens,123.0
Diclidurus isabellus,14.0
Diclidurus scutatus,13.25
Dicrostonyx groenlandicus,61.4
Dicrostonyx hudsonius,57.0
Dicrostonyx nelsoni,60.85
Dicrostonyx nunatakensis,60.82
Dicrostonyx richardsoni,53.55
Dicrostonyx torquatus,79.0
Dicrostonyx unalascensis,60.84
Dicrostonyx vinogradovi,60.78
Didelphis albiventris,904.0
Didelphis aurita,1163.99
Didelphis imperfecta,1260.04
Didelphis marsupialis,1700.0
Didelphis pernigra,1260.04
Didelphis virginiana,3700.0
Dinaromys bogdanovi,56.0
Dinomys branickii,13250.0
Diomys crumpi,73.85
Diphylla ecaudata,30.175
Diplogale hosei,3124.89
Diplomesodon pulchellum,11.0
Diplomys caniceps,394.5
Diplomys labilis,227.5
Diplomys rufodorsalis,144.8
Diplothrix legata,76.52
Dipodillus bottai,35.1
Dipodillus campestris,27.54
Dipodillus dasyurus,24.0
Dipodillus harwoodi,23.63
Dipodillus jamesi,23.63
Dipodillus lowei,34.71
Dipodillus mackilligini,34.37
Dipodillus maghrebi,23.63
Dipodillus rupicola,23.63
Dipodillus simoni,17.4
Dipodillus somalicus,36.01
Dipodillus stigmonyx,35.91
Dipodillus zakariai,35.95
Dipodomys agilis,59.625
Dipodomys californicus,84.96
Dipodomys compactus,49.25
Dipodomys deserti,113.475
Dipodomys elator,77.5
Dipodomys gravipes,83.97
Dipodomys heermanni,68.825
Dipodomys ingens,133.85
Dipodomys merriami,40.7
Dipodomys microps,58.7
Dipodomys nelsoni,88.6
Dipodomys nitratoides,43.9
Dipodomys ordii,58.75
Dipodomys panamintinus,74.35
Dipodomys phillipsii,41.0
Dipodomys simulans,70.36
Dipodomys spectabilis,140.215
Dipodomys stephensi,69.75
Dipodomys venustus,72.0
Dipus sagitta,85.65
Distoechurus pennatus,47.05
Dobsonia anderseni,233.99
Dobsonia beauforti,159.01
Dobsonia chapmani,216.03
Dobsonia crenulata,218.21
Dobsonia emersa,195.5
Dobsonia exoleta,249.0
Dobsonia inermis,149.5
Dobsonia magna,465.0
Dobsonia minor,78.23
Dobsonia moluccensis,353.22
Dobsonia pannietensis,267.7
Dobsonia peronii,226.51
Dobsonia praedatrix,189.6
Dobsonia viridis,238.0
Dolichotis patagonum,8000.0
Dolichotis salinicola,1600.0
Dologale dybowskii,350.0
Dorcatragus megalotis,10249.91
Dorcopsis atrata,3983.25
Dorcopsis hageni,5500.0
Dorcopsis luctuosa,6351.0
Dorcopsis muelleri,4325.0
Dorcopsulus macleayi,2988.0
Dorcopsulus vanheurni,1741.125
Dremomys everetti,147.5
Dremomys gularis,190.97
Dremomys lokriah,227.0
Dremomys pernyi,198.63
Dremomys pyrrhomerus,167.73
Dremomys rufigenis,220.0
Dromiciops gliroides,23.15
Dryomys laniger,20.0
Dryomys niethammeri,25.92
Dryomys nitedula,33.6
Dugong dugon,295500.0
Dusicyon australis,50003.45
Dyacopterus brooksi,78.0
Dyacopterus spadiceus,78.0
Dymecodon pilirostris,15.46
Echimys chrysurus,652.25
Echimys saturnus,626.9
Echimys semivillosus,200.0
Echinoprocta rufescens,831.8
Echinops telfairi,87.517
Echinosorex gymnura,957.0
Echiothrix centrosa,71.33
Echiothrix leucura,63.68
Echymipera clara,1236.5
Echymipera davidi,950.0
Echymipera echinista,1000.0
Echymipera kalubu,866.085
Echymipera rufescens,1400.0
Ectophylla alba,5.76
Eidolon dupreanum,283.75
Eidolon helvum,260.03
Eira barbara,3289.015
Elaphodus cephalophus,33500.0
Elaphurus davidianus,149000.0
Elephantulus brachyrhynchus,47.5
Elephantulus edwardii,48.0
Elephantulus fuscipes,57.0
Elephantulus fuscus,52.56
Elephantulus intufi,49.523
Elephantulus myurus,54.019
Elephantulus revoili,32.5
Elephantulus rozeti,48.0
Elephantulus rufescens,37.5
Elephantulus rupestris,66.4
Elephas maximus,6000000.0
Eligmodontia moreni,18.0
Eligmodontia morgani,16.5
Eligmodontia puerulus,28.5
Eligmodontia typus,17.3
Eliomys melanurus,98.7
Eliomys munbyanus,106.54
Eliomys quercinus,115.0
Eliurus antsingy,77.7
Eliurus ellermani,100.0
Eliurus grandidieri,77.7
Eliurus majori,100.0
Eliurus minor,37.5
Eliurus myoxinus,70.0
Eliurus penicillatus,100.0
Eliurus petteri,75.0
Eliurus tanala,90.0
Eliurus webbi,75.0
Ellobius alaicus,67.61
Ellobius fuscocapillus,80.0
Ellobius lutescens,117.31
Ellobius talpinus,40.0
Ellobius tancrei,67.92
Emballonura alecto,5.25
Emballonura atrata,4.55
Emballonura beccarii,4.2
Emballonura dianae,7.97
Emballonura furax,11.15
Emballonura monticola,5.54
Emballonura raffrayana,5.75
Emballonura semicaudata,6.65
Emballonura serii,5.75
Enchisthenes hartii,16.99
Enhydra lutris,24836.977
Eoglaucomys fimbriatus,510.0
Eolagurus luteus,26.0
Eolagurus przewalskii,28.03
Eonycteris major,72.75
Eonycteris robusta,78.36
Eonycteris spelaea,56.48
Eospalax fontanierii,256.76
Eospalax rothschildi,256.76
Eospalax smithii,256.76
Eothenomys cachinus,34.83
Eothenomys chinensis,45.3
Eothenomys custos,30.8
Eothenomys melanogaster,27.0
Eothenomys miletus,50.7
Eothenomys olitor,22.0
Eothenomys proditor,42.5
Eothenomys wardi,34.83
Eozapus setchuanus,32.58
Episoriculus caudatus,6.95
Episoriculus fumidus,6.95
Episoriculus leucops,6.95
Episoriculus macrurus,6.95
Epixerus ebii,592.0
Epomophorus angolensis,68.15
Epomophorus crypturus,95.04
Epomophorus gambianus,218.935
Epomophorus grandis,48.58
Epomophorus labiatus,63.525
Epomophorus minimus,68.15
Epomophorus minor,44.76
Epomophorus wahlbergi,86.545
Epomops buettikoferi,133.84
Epomops dobsonii,122.08
Epomops franqueti,118.59
Eptesicus andinus,10.96
Eptesicus bobrinskoi,7.55
Eptesicus bottae,14.23
Eptesicus brasiliensis,9.25
Eptesicus chiriquinus,11.25
Eptesicus diminutus,6.0
Eptesicus dimissus,14.015
Eptesicus floweri,10.17
Eptesicus furinalis,7.67
Eptesicus fuscus,13.845
Eptesicus gobiensis,10.96
Eptesicus guadeloupensis,11.42
Eptesicus hottentotus,30.0
Eptesicus innoxius,8.86
Eptesicus japonensis,10.96
Eptesicus kobayashii,10.96
Eptesicus matroka,6.57
Eptesicus nasutus,7.91
Eptesicus nilssonii,10.72
Eptesicus pachyotis,7.44
Eptesicus platyops,11.42
Eptesicus serotinus,22.505
Eptesicus tatei,11.42
Equus,250000.0
Equus asinus,214665.913
Equus burchelli,288604.412
Equus caballus,350000.0
Equus grevyi,407999.85
Equus hemionus,240000.0
Equus kiang,275000.0
Equus zebra,281441.875
Eremitalpa granti,26.1
Eremodipus lichtensteini,51.0
Erethizon dorsata,5397.0
Erethizon dorsatum,7252.395
Erignathus barbatus,280500.0
Erinaceus,750.0
Erinaceus amurensis,571.88
Erinaceus concolor,719.0
Erinaceus europaeus,867.08
Erinaceus roumanicus,744.55
Eropeplus canus,73.96
Erophylla bombifrons,16.28
Erophylla sezekorni,15.8
Erythrocebus patas,7800.0
Eschrichtius robustus,29250000.01
Eubalaena australis,23000000.0
Eubalaena glacialis,23000000.0
Eubalaena japonica,23000000.0
Euchoreutes naso,24.14
Euderma maculatum,15.66
Eudiscopus denticulus,9.56
Eudorcas rufifrons,26999.77
Eudorcas rufina,40000.0
Eudorcas thomsonii,23638.715
Eulemur albifrons,2288.188
Eulemur albocollaris,2225.79
Eulemur cinereiceps,2114.06
Eulemur collaris,2259.25
Eulemur coronatus,1422.0
Eulemur fulvus,1400.0
Eulemur fulvus group,2235.0
Eulemur macaco,1908.0
Eulemur mongoz,1585.0
Eulemur rubriventer,1659.0
Eulemur rufus,2224.78
Eulemur sanfordi,2394.03
Eumetopias jubatus,476887.5
Eumops auripendulus,31.125
Eumops bonariensis,11.9
Eumops dabbenei,104.35
Eumops glaucinus,36.115
Eumops hansae,15.05
Eumops maurus,29.38
Eumops patagonicus,34.01
Eumops perotis,49.315
Eumops trumbulli,34.01
Eumops underwoodi,54.7
Euneomys chinchilloides,87.63
Euneomys fossor,83.0
Euneomys mordax,82.0
Euneomys petersoni,83.0
Euoticus elegantulus,278.938
Euoticus pallidus,270.925
Eupetaurus cinereus,2500.0
Euphractus sexcinctus,6386.445
Eupleres goudotii,2425.0
Euroscaptor grandis,59.57
Euroscaptor klossi,59.57
Euroscaptor longirostris,59.57
Euroscaptor micrura,60.47
Euroscaptor mizura,35.47
Euroscaptor parvidens,59.57
Euryzygomatomys spinosus,187.5
Exilisciurus concinnus,30.85
Exilisciurus exilis,19.0
Exilisciurus whiteheadi,20.0
Falsistrellus affinis,10.23
Falsistrellus mackenziei,23.0
Falsistrellus mordax,10.23
Falsistrellus petersi,22.77
Falsistrellus tasmaniensis,22.54
Felis bieti,5500.0
Felis catus,3400.0
Felis chaus,6221.49
Felis manul,3025.0
Felis margarita,2524.99
Felis nigripes,1199.995
Felis silvestris,4614.995
Felovia vae,205.0
Feresa attenuata,170000.0
Feroculus feroculus,36.0
Fossa fossana,1500.0
Fukomys anselli,89.52
Fukomys damarensis,131.89
Fukomys darlingi,90.385
Fukomys mechowii,271.08
Funambulus layardi,113.79
Funambulus palmarum,136.4
Funambulus pennantii,142.95
Funambulus sublineatus,70.94
Funambulus tristriatus,139.0
Funisciurus anerythrus,218.0
Funisciurus bayonii,135.0
Funisciurus carruthersi,277.0
Funisciurus congicus,112.0
Funisciurus isabella,109.0
Funisciurus lemniscatus,141.0
Funisciurus leucogenys,250.0
Funisciurus pyrropus,248.5
Funisciurus substriatus,186.0
Furipterus horrens,3.305
Galago,1111.8
Galago alleni,266.5
Galago alleni group,251.5
Galago cameronensis,223.06
Galago demidoff group,73.111
Galago gabonensis,237.227
Galago gallarum,225.0
Galago granti,173.765
Galago matschiei,209.75
Galago moholi,154.127
Galago nyasae,165.68
Galago orinus,165.68
Galago rondoensis,165.68
Galago senegalensis,220.0
Galago senegalensis group,185.214
Galago sp.,201.0
Galago thomasi,116.95
Galago zanzibaricus,144.45
Galagoides cocos,143.5
Galagoides demidoff,81.0
Galagoides demidovii,74.649
Galagoides thomasi,97.25
Galagoides zanzibaricus,143.0
Galea flavidens,450.0
Galea musteloides,427.5
Galea spixii,326.2
Galemys pyrenaicus,57.5
Galenomys garleppi,59.3
Galeopterus variegates,1112.2
Galerella flavescens,750.0
Galerella ochracea,690.18
Galerella pulverulenta,818.5
Galerella sanguinea,541.5
Galictis cuja,1095.0
Galictis vittatus,2264.0
Galidia elegans,857.0
Galidictis fasciata,550.0
Galidictis grandidieri,1400.0
Gallus domesticus,1570.0
Gazella arabica,12000.0
Gazella bennettii,18916.67
Gazella cuvieri,25000.0
Gazella dorcas,20137.555
Gazella erlangeri,20360.12
Gazella gazella,22749.93
Gazella leptoceros,22200.0
Gazella saudiya,16000.0
Gazella spekei,20000.0
Gazella subgutturosa,28500.0
Genetta abyssinica,1649.99
Genetta angolensis,1874.995
Genetta bourloni,1821.97
Genetta cristata,1863.23
Genetta genetta,1810.0
Genetta johnstoni,2225.0
Genetta maculata,2225.0
Genetta pardina,1426.985
Genetta piscivora,1648.05
Genetta poensis,1821.97
Genetta servalina,1174.995
Genetta thierryi,1400.01
Genetta tigrina,1875.0
Genetta victoriae,2999.99
Geocapromys brownii,1500.0
Geocapromys ingrahami,758.65
Geocapromys thoracatus,1500.0
Geogale aurita,7.0
Geomys arenarius,206.0
Geomys attwateri,144.06
Geomys breviceps,137.635
Geomys bursarius,200.5
Geomys knoxjonesi,172.49
Geomys personatus,397.0
Geomys pinetis,199.25
Geomys texensis,189.76
Geomys tropicalis,350.0
Georychus capensis,193.88
Geoxus valdivianus,31.5
Gerbilliscus afra,78.565
Gerbilliscus boehmi,49.36
Gerbilliscus brantsii,90.555
Gerbilliscus guineae,102.5
Gerbilliscus inclusus,118.5
Gerbilliscus kempi,100.83
Gerbilliscus leucogaster,73.75
Gerbilliscus nigricaudus,123.0
Gerbilliscus phillipsi,127.07
Gerbilliscus robustus,95.99
Gerbilliscus validus,121.0
Gerbillurus paeba,23.65
Gerbillurus setzeri,38.3
Gerbillurus tytonis,31.0
Gerbillurus vallinus,35.25
Gerbillus acticola,33.9
Gerbillus agag,23.26
Gerbillus amoenus,13.2
Gerbillus andersoni,26.87
Gerbillus aquilus,36.02
Gerbillus brockmani,33.43
Gerbillus burtoni,23.26
Gerbillus cheesmani,28.0
Gerbillus dongolanus,23.26
Gerbillus dunni,34.33
Gerbillus famulus,37.0
Gerbillus floweri,34.47
Gerbillus garamantis,23.26
Gerbillus gerbillus,25.04
Gerbillus gleadowi,25.05
Gerbillus grobbeni,35.3
Gerbillus henleyi,8.0
Gerbillus hesperinus,36.04
Gerbillus hoogstraali,35.83
Gerbillus latastei,39.55
Gerbillus mauritaniae,23.26
Gerbillus mesopotamiae,20.0
Gerbillus muriculus,33.42
Gerbillus nancillus,35.94
Gerbillus nanus,19.75
Gerbillus nigeriae,29.7
Gerbillus occiduus,36.05
Gerbillus perpallidus,36.3
Gerbillus poecilops,31.5
Gerbillus principulus,36.05
Gerbillus pulvinatus,35.92
Gerbillus pusillus,12.6
Gerbillus pyramidum,43.595
Gerbillus rosalinda,33.89
Gerbillus syrticus,23.26
Gerbillus tarabuli,34.81
Gerbillus vivax,23.26
Gerbillus watersi,10.4
Gibraltar/Forbes Quarry,76000.0
Giraffa camelopardalis,885912.383
Glaucomys sabrinus,170.0
Glaucomys volans,68.485
Glauconycteris alboguttata,8.42
Glauconycteris argentata,9.3
Glauconycteris beatrix,6.5
Glauconycteris curryae,8.11
Glauconycteris egeria,8.42
Glauconycteris gleni,10.81
Glauconycteris humeralis,5.49
Glauconycteris kenyacola,7.17
Glauconycteris machadoi,8.11
Glauconycteris poensis,7.755
Glauconycteris superba,8.42
Glauconycteris variegata,11.25
Glironia venusta,114.0
Glirulus japonicus,62.99
Glischropus javanus,5.91
Glischropus tylopus,4.67
Globicephala macrorhynchus,612666.663
Globicephala melas,930500.0
Glossophaga commissarisi,8.9
Glossophaga leachii,10.1
Glossophaga longirostris,11.56
Glossophaga morenoi,8.4
Glossophaga soricina,9.83
Glyphonycteris behnii,11.32
Glyphonycteris daviesi,18.61
Glyphonycteris sylvestris,8.91
Glyphotes simus,50.0
Golunda ellioti,60.88
Gorilla,85000.0
Gorilla beringei,126706.298
Gorilla gorilla,108103.571
Gracilinanus aceramarcae,20.5
Gracilinanus agilis,22.0
Gracilinanus agricolai,18.9
Gracilinanus dryas,18.0
Gracilinanus emiliae,7.6
Gracilinanus formosus,18.9
Gracilinanus ignitus,18.9
Gracilinanus marica,23.8
Gracilinanus microtarsus,31.0
Grammomys aridulus,46.77
Grammomys buntingi,46.76
Grammomys caniceps,46.77
Grammomys cometes,44.6
Grammomys dolichurus,41.18
Grammomys dryas,47.48
Grammomys gigas,47.05
Grammomys ibeanus,41.2
Grammomys kuru,46.67
Grammomys macmillani,36.0
Grammomys minnae,36.0
Grammomys poensis,50.115
Grampus griseus,404166.667
Graomys centralis,65.28
Graomys domorum,102.0
Graomys edithae,40.4
Graomys griseoflavus,67.5
Graphiurus angolensis,23.96
Graphiurus christyi,23.83
Graphiurus crassicaudatus,38.22
Graphiurus johnstoni,23.96
Graphiurus kelleni,10.5
Graphiurus lorraineus,27.0
Graphiurus microtis,25.18
Graphiurus monardi,25.05
Graphiurus murinus,19.08
Graphiurus nagtglasii,30.0
Graphiurus ocularis,30.3
Graphiurus platyops,46.1
Graphiurus rupicola,24.53
Graphiurus surdus,20.01
Gray-necked species group,808.729
Gulo gulo,13806.28
Gymnobelideus leadbeateri,130.0
Gymnuromys roberti,97.5
Habromys chinanteco,40.0
Habromys delicatulus,48.29
Habromys ixtlani,48.29
Habromys lepturus,85.0
Habromys lophurus,40.0
Habromys simulatus,40.0
Hadromys humei,59.0
Hadromys yunnanensis,59.0
Haeromys margarettae,12.7
Haeromys minahassae,14.7
Haeromys pusillus,10.4
Halichoerus grypus,175833.5
Handleyomys fuscatus,49.5
Handleyomys intectus,60.5
Hapalemur alaotrensis,1333.832
Hapalemur aureus,1504.75
Hapalemur griseus,935.0
