Species,Body_Mass.g
Aotus trivirgatus,866.667
Aotus vociferans,759.663
Aplodontia rufa,904.995
Apodemus agrarius,25.903
Apodemus alpicola,28.06
Apodemus argenteus,21.0
Apodemus chevrieri,32.9
Apodemus draco,22.25
Apodemus epimelas,28.07
Apodemus flavicollis,30.2
Apodemus gurkha,39.9
Apodemus hyrcanicus,25.76
Apodemus latronum,35.2
Apodemus mystacinus,45.6
Apodemus pallipes,25.68
Apodemus peninsulae,32.9
Apodemus ponticus,25.76
Apodemus rusiges,25.67
Apodemus semotus,25.77
Apodemus speciosus,33.8
Apodemus sylvaticus,25.275
Apodemus uralensis,17.1
Apodemus witherbyi,20.66
Apomys abrae,56.6
Apomys datae,106.0
Apomys gracilirostris,43.08
Apomys hylocetes,34.88
Apomys insignis,29.9
Apomys littoralis,30.95
Apomys microdon,35.1
Apomys musculus,21.2
Apomys sacobianus,82.4
Aproteles bulmerae,600.0
Arborimus albipes,23.0
Arborimus longicaudus,21.8
Arborimus pomo,32.5
Archboldomys luzonensis,35.4
Archboldomys musseri,35.4
Arctictis binturong,11448.33
Arctocebus aureus,216.25
Arctocebus calabarensis,271.375
Arctocephalus australis,74375.0
Arctocephalus forsteri,105470.0
Arctocephalus galapagoensis,36475.0
Arctocephalus gazella,97050.0
Arctocephalus philippii,117500.0
Arctocephalus pusillus,178625.0
Arctocephalus townsendi,105000.0
Arctocephalus tropicalis,92625.0
Arctogalidia trivirgata,2355.0
Arctonyx collaris,8423.0
Ardops nichollsi,16.08
Arielulus aureocollaris,10.4
Arielulus circumdatus,10.4
Arielulus cuprosus,10.4
Arielulus societatis,8.03
Arielulus torquatus,10.4
Ariteus flavescens,11.9
Artibeus amplus,60.0
Artibeus anderseni,138.0
Artibeus aztecus,20.38
Artibeus cinereus,12.515
Artibeus concolor,19.375
Artibeus fimbriatus,63.9
Artibeus fraterculus,36.0
Artibeus glaucus,11.63
Artibeus gnomus,10.06
Artibeus hirsutus,38.73
Artibeus incomitatus,26.52
Artibeus inopinatus,29.3
Artibeus jamaicensis,40.75
Artibeus lituratus,58.635
Artibeus obscurus,35.2
Artibeus phaeotis,11.695
Artibeus toltecus,15.925
Artibeus watsoni,11.2
Arvicanthis abyssinicus,77.1
Arvicanthis ansorgei,102.35
Arvicanthis blicki,128.0
Arvicanthis nairobae,104.0
Arvicanthis neumanni,98.36
Arvicanthis niloticus,95.7
Arvicanthis rufinus,102.35
Arvicola amphibius,144.15
Arvicola sapidus,220.0
Arvicola scherman,162.48
Asellia patrizii,14.1
Asellia tridens,12.365
Aselliscus stoliczkanus,4.9
Aselliscus tricuspidatus,4.25
Atelerix albiventris,440.0
Atelerix algirus,745.0
Atelerix frontalis,309.5
Atelerix sclateri,539.15
Ateles ater,6000.0
Ateles belzebuth,7581.086
Ateles belzebuth group,8151.812
Ateles chamek,8246.66
Ateles fusciceps,9160.0
Ateles geoffroyi,7900.0
Ateles geoffroyi group,7401.062
Ateles hybridus,7419.775
Ateles marginatus,4600.49
Ateles paniscus,7037.466
Atelocynus microtis,8389.985
Atherurus africanus,2543.25
Atherurus macrourus,2000.0
Atilax paludinosus,3484.985
Atlantoxerus getulus,251.0
Auliscomys boliviensis,65.7
Auliscomys pictus,54.7
Auliscomys sublimis,38.0
Australopithecus afarensis,27200.0
Australopithecus africanus,27275.0
Avahi laniger,1224.286
Avahi occidentalis,860.0
Avahi unicolor,848.53
Axis axis,81410.617
Axis calamianensis,40500.0
Axis kuhlii,55000.0
Axis porcinus,32209.25
Babyrousa babyrussa,89000.0
Babyrousa bolabatuensis,100000.0
Babyrousa celebensis,100000.0
Babyrousa togeanensis,100000.0
Baiomys musculus,9.0
Baiomys taylori,8.0
Balaena mysticetus,95499999.965
Balaenoptera acutorostrata,7793546.795
Balaenoptera bonaerensis,35089915.83
Balaenoptera borealis,28333333.335
Balaenoptera edeni,20000000.0
Balaenoptera musculus,120451999.985
Balaenoptera physalus,66250000.0
Balantiopteryx infusca,4.38
Balantiopteryx io,4.3
Balantiopteryx plicata,6.39
Balionycteris maculata,13.845
Bandicota bengalensis,188.5
Bandicota indica,719.96
Bandicota savilei,199.0
Barbastella barbastellus,7.015
Barbastella leucomelas,15.05
Bassaricyon alleni,1235.005
Bassaricyon beddardi,1235.01
Bassaricyon gabbii,1250.0
Bassaricyon lasius,1200.0
Bassaricyon pauli,1200.0
Bassariscus astutus,1057.255
Bassariscus sumichrasti,1810.995
Bathyergus janetta,332.0
Bathyergus suillus,902.607
Batomys dentatus,196.0
Batomys granti,177.8
Batomys russatus,186.79
Batomys salomonseni,187.0
Bauerus dubiaquercus,22.22
Bdeogale crassicauda,1399.995
Bdeogale jacksoni,2500.0
Bdeogale nigripes,2500.0
Beamys hindei,82.775
Beamys major,75.8
Beatragus hunteri,79132.17
Belomys pearsonii,217.0
Berardius arnuxii,7000000.0
Berardius bairdii,11380000.0
Berylmys berdmorei,235.0
Berylmys bowersi,330.35
Berylmys mackenziei,256.0
Berylmys manipulus,116.0
Bettongia gaimardi,1660.0
Bettongia lesueur,1597.0
Bettongia penicillata,1300.0
Bettongia tropica,1228.29
Bibimys chacoensis,28.0
Bibimys labiosus,29.0
Bibimys torresi,28.0
Bison bison,545110.783
Bison bonasus,500000.0
Biswamoyopterus biswasi,1613.3
Blanfordimys afghanus,56.99
Blanfordimys bucharensis,57.08
Blarina brevicauda,19.7
Blarina carolinensis,13.5
Blarina hylophaga,14.5
Blarina peninsulae,17.63
Blarinella griselda,12.5
Blarinella quadraticauda,12.5
Blarinella wardi,11.26
Blarinomys breviceps,36.8
Blastocerus dichotomus,86666.25
Bonnet macaque,8012.5
Bonobo,45400.0
Boromys offella,272.28
Boromys torrei,272.28
Bos frontalis,800000.0
Bos grunniens,333250.0
Bos javanicus,625000.0
Bos sauveli,800000.0
Bos taurus,521185.605
Bos taurus indicus,596666.667
Boselaphus tragocamelus,147000.0
Brachiones przewalskii,61.11
Brachylagus idahoensis,421.34
Brachyphylla cavernarum,46.46
Brachyphylla nana,35.83
Brachytarsomys albicauda,200.0
Brachytarsomys villosa,220.0
Brachyteles arachnoides,10136.627
Brachyteles hypoxanthus,10949.94
Brachyteles sp.,8840.0
Brachyuromys betsileoensis,92.5
Brachyuromys ramirohitra,90.0
Bradypus pygmaeus,4022.57
Bradypus torquatus,3899.96
Bradypus tridactylus,3973.495
Bradypus variegatus,3911.457
Broken Hill/Kabwe,65600.0
Brotomys contractus,272.28
Brotomys voratus,272.28
Brucepattersonius albinasus,20.0
Brucepattersonius griserufescens,23.7
Brucepattersonius guarani,30.87
Brucepattersonius igniventris,32.0
Brucepattersonius iheringi,43.0
Brucepattersonius misionensis,43.0
Brucepattersonius paradisus,30.87
Brucepattersonius soricinus,30.87
Bubalus bubalis,680375.485
Bubalus depressicornis,300000.0
Bubalus mindorensis,233333.33
Bubalus quarlesi,150000.0
Budorcas taxicolor,302000.0
Bullimus bagobus,432.5
Bullimus gamay,367.8
Bullimus luzonicus,445.0
Bunolagus monticularis,1750.01
Bunomys andrewsi,125.0
Bunomys chrysocomus,116.0
Bunomys coelestis,120.0
Bunomys fratrorum,135.0
Bunomys penitus,170.0
Bunomys prolatus,131.0
Bunopithecus hoolock,6718.417
Burramys parvus,41.5
C. apella,3200.0
C. atys,10500.0
Cabassous centralis,3809.96
Cabassous chacoensis,1490.01
Cabassous tatouay,5349.95
Cabassous unicinctus,4364.995
Cacajao calvus,3165.0
Cacajao melanocephalus,2761.25
Caenolestes caniventer,40.0
Caenolestes condorensis,47.81
Caenolestes convelatus,40.0
Caenolestes fuliginosus,31.4
Calcochloris leucorhinus,49.7
Calcochloris obtusirostris,24.05
Calcochloris tytonis,49.7
Callicebus baptista,1011.32
Callicebus barbarabrownae,1011.32
Callicebus bernhardi,950.0
Callicebus brunneus,910.955
Callicebus caligatus,908.102
Callicebus cinerascens,992.41
Callicebus coimbrai,1011.32
Callicebus cupreus,887.0
Callicebus cupreus group,887.0
Callicebus discolor,918.333
Callicebus donacophilus,795.01
Callicebus dubius,992.41
Callicebus hoffmannsi,992.41
Callicebus lucifer,1500.0
Callicebus lugens,1070.33
Callicebus medemi,1172.917
Callicebus melanochir,1370.0
Callicebus modestus,992.41
Callicebus moloch,868.75
Callicebus nigrifrons,1011.32
Callicebus oenanthe,992.41
Callicebus olallae,992.41
Callicebus ornatus,1170.5
Callicebus pallescens,800.0
Callicebus personatus,1349.99
Callicebus purinus,1011.32
Callicebus regulus,1070.553
Callicebus stephennashi,690.0
Callicebus torquatus,1153.0
Callimico goeldii,481.667
Callistomys pictus,518.99
Callithrix acariensis,335.61
Callithrix argentata,376.667
Callithrix aurita,400.0
Callithrix chrysoleuca,335.61
Callithrix emiliae,309.58
Callithrix flaviceps,342.0
Callithrix geoffroyi,338.0
Callithrix humeralifera,371.663
Callithrix humilis,335.61
Callithrix intermedia,335.61
Callithrix jacchus,298.9
Callithrix kuhlii,357.667
Callithrix leucippe,335.61
Callithrix manicorensis,335.61
Callithrix marcai,335.61
Callithrix mauesi,443.79
Callithrix melanura,335.61
Callithrix nigriceps,401.12
Callithrix penicillata,324.278
Callithrix pygmaea,120.889
Callithrix saterei,441.25
Callorhinus ursinus,52000.0
Callosciurus adamsi,134.5
Callosciurus albescens,220.89
Callosciurus baluensis,356.0
Callosciurus caniceps,248.5
Callosciurus erythraeus,280.0
Callosciurus finlaysonii,278.0
Callosciurus inornatus,325.0
Callosciurus melanogaster,278.0
Callosciurus nigrovittatus,202.0
Callosciurus notatus,203.5
Callosciurus orestes,278.0
Callosciurus phayrei,269.0
Callosciurus prevostii,400.23
Callosciurus pygerythrus,252.0
Callosciurus quinquestriatus,207.77
Calomys boliviae,27.0
Calomys callidus,27.0
Calomys callosus,44.95
Calomys expulsus,39.86
Calomys hummelincki,27.0
Calomys laucha,14.0
Calomys lepidus,26.6
Calomys musculinus,20.1
Calomys sorellus,20.0
Calomys tener,13.8
Calomys tocantinsi,25.3
Calomys venustus,49.33
Calomyscus bailwardi,20.4
Calomyscus baluchi,21.39
Calomyscus elburzensis,18.62
Calomyscus grandis,18.62
Calomyscus hotsoni,21.42
Calomyscus mystax,17.0
Calomyscus tsolovi,21.43
Calomyscus urartensis,21.22
Caloprymnus campestris,900.0
Caluromys derbianus,307.5
Caluromys lanatus,354.5
Caluromys philander,221.407
Caluromysiops irrupta,250.0
Calyptophractus retusus,129.99
Camelus,570000.0
Camelus bactrianus,548171.97
Camelus dromedarius,545928.617
Canis adustus,8202.455
Canis aureus,9498.41
Canis latrans,11305.443
Canis lupus,35957.777
Canis lupus familiaris,11000.0
Canis mesomelas,8250.01
Canis simensis,10000.0
Cannomys badius,650.0
Cansumys canus,76.02
Caperea marginata,32000000.0
Capra aegagrus,47386.47
Capra caucasica,55000.0
Capra falconeri,41000.0
Capra hircus,80000.0
Capra hircus domestica,38111.111
Capra ibex,85166.51
Capra nubiana,62624.84
Capra pyrenaica,50000.0
Capra sibirica,130000.0
Capra walie,100000.0
Capreolus capreolus,19986.0
Capreolus pygargus,43752.21
Capricornis crispus,43030.64
Capricornis milneedwardsii,69093.52
Capricornis rubidus,69093.52
Capricornis sumatraensis,110942.22
Capricornis swinhoei,69093.52
Capricornis thar,69093.52
