Code,Definition,Structure,Measure,Stat,Reference,Note,Source Note
Glia neuron ratio,,VisualCortex,G.p.N.Stereology,,Lewitus_etal_2014_TableS1,Glia variables not even mentioned in Lewitus 2014 paper or materials,"""both astrocytes and oligodendrocytes (herein referred to as glia)"" Lewitus 2012 https://doi.org/10.1111/j.1558-5646.2012.01601.x"
Glia neuron ratio ,_Ð ratio of glia to neuron cells in adult visual cortex,VisualCortex,G.p.N.Stereology,,Lewitus_etal_2014_TableS2,Glia variables not even mentioned in Lewitus 2014 paper or materials,"""both astrocytes and oligodendrocytes (herein referred to as glia)"" Lewitus 2012 https://doi.org/10.1111/j.1558-5646.2012.01601.x"
Glial cell density,,VisualCortex,G.p.mm3.Stereology,,Lewitus_etal_2014_TableS1,Glia variables not even mentioned in Lewitus 2014 paper or materials,"""both astrocytes and oligodendrocytes (herein referred to as glia)"" Lewitus 2012 https://doi.org/10.1111/j.1558-5646.2012.01601.x"
Glial cell density ,Ð adult visual cortex; cells per mm3,VisualCortex,G.p.mm3.Stereology,,Lewitus_etal_2014_TableS2,Glia variables not even mentioned in Lewitus 2014 paper or materials,"""both astrocytes and oligodendrocytes (herein referred to as glia)"" Lewitus 2012 https://doi.org/10.1111/j.1558-5646.2012.01601.x"
GI,,,,,Lewitus_etal_2014_TableS1,,
Gyrification index (GI) ,"Ð a measure of the folding of the cortex; calculated from coronal sections of whole brain of adult (or age unspecified) of captive, wild, provisioned, or unspecified populations; calculated as the ration between the outer and the inner surface of the brain; different fixation and staining methods (after Zilles, 1989.)",,,,Lewitus_etal_2014_TableS2,,
