Species,Structure,Measure,published,unpublished,pct_diff,flag
Sus scrofa,RoB,I/C,0.11243713746382887,NA,NA,NA
Tragelaphus strepsiceros,Br,C,21751929,NA,NA,NA
Tragelaphus strepsiceros,Br,I,1204929478,NA,NA,NA
Tragelaphus strepsiceros,Br,I/mg,3800,NA,NA,NA
Tragelaphus strepsiceros,Br,I/N,0.245,NA,NA,NA
Tragelaphus strepsiceros,Br,N,4911651549,NA,NA,NA
Tragelaphus strepsiceros,Br,N/mg,16006,NA,NA,NA
Tragelaphus strepsiceros,Br,No. of samples,43,NA,NA,NA
Tragelaphus strepsiceros,Br,Structure mass (g),306.86,NA,NA,NA
Tragelaphus strepsiceros,Cb,C,5308593750,NA,NA,NA
Tragelaphus strepsiceros,Cb,I,96616406,NA,NA,NA
Tragelaphus strepsiceros,Cb,I/mg,3041,NA,NA,NA
Tragelaphus strepsiceros,Cb,I/N,0.024,NA,NA,NA
Tragelaphus strepsiceros,Cb,N,4042494141,NA,NA,NA
Tragelaphus strepsiceros,Cb,N/mg,127218,NA,NA,NA
Tragelaphus strepsiceros,Cb,No. of samples,1,NA,NA,NA
Tragelaphus strepsiceros,Cb,Structure mass (g),31.776,NA,NA,NA
Tragelaphus strepsiceros,Ctx,C,12392809376,NA,NA,NA
Tragelaphus strepsiceros,Ctx,I,799590074,NA,NA,NA
Tragelaphus strepsiceros,Ctx,I/mg,3772,NA,NA,NA
Tragelaphus strepsiceros,Ctx,I/N,1.101,NA,NA,NA
Tragelaphus strepsiceros,Ctx,N,726411196,NA,NA,NA
Tragelaphus strepsiceros,Ctx,N/mg,3588,NA,NA,NA
Tragelaphus strepsiceros,Ctx,No. of samples,36,NA,NA,NA
Tragelaphus strepsiceros,Ctx,Structure mass (g),202.434,NA,NA,NA
Tragelaphus strepsiceros,Cx,C,13064871626,NA,NA,NA
Tragelaphus strepsiceros,Cx,I,837474821,NA,NA,NA
Tragelaphus strepsiceros,Cx,I/mg,3718,NA,NA,NA
Tragelaphus strepsiceros,Cx,I/N,1.098,NA,NA,NA
Tragelaphus strepsiceros,Cx,N,762567178,NA,NA,NA
Tragelaphus strepsiceros,Cx,N/mg,3574,NA,NA,NA
Tragelaphus strepsiceros,Cx,No. of samples,37,NA,NA,NA
Tragelaphus strepsiceros,Cx,Structure mass (g),213.37,NA,NA,NA
Tragelaphus strepsiceros,Hp,C,535156250,NA,NA,NA
Tragelaphus strepsiceros,Hp,I,29326563,NA,NA,NA
Tragelaphus strepsiceros,Hp,I/mg,4710,NA,NA,NA
Tragelaphus strepsiceros,Hp,I/N,3.946,NA,NA,NA
Tragelaphus strepsiceros,Hp,N,28363281,NA,NA,NA
Tragelaphus strepsiceros,Hp,N/mg,2594,NA,NA,NA
Tragelaphus strepsiceros,Hp,No. of samples,1,NA,NA,NA
Tragelaphus strepsiceros,Hp,Structure mass (g),10.936,NA,NA,NA
Tragelaphus strepsiceros,RoB,C,3515369752,NA,NA,NA
Tragelaphus strepsiceros,RoB,I,284487989,NA,NA,NA
Tragelaphus strepsiceros,RoB,I/mg,4485,NA,NA,NA
Tragelaphus strepsiceros,RoB,I/N,2.669,NA,NA,NA
Tragelaphus strepsiceros,RoB,N,106590230,NA,NA,NA
Tragelaphus strepsiceros,RoB,N/mg,1727,NA,NA,NA
Tragelaphus strepsiceros,RoB,No. of samples,5,NA,NA,NA
Tragelaphus strepsiceros,RoB,Structure mass (g),61.716,NA,NA,NA
Tragelaphus strepsiceros,Br,I/C,55.39414357227812,NA,NA,NA
Tragelaphus strepsiceros,Cb,I/C,0.01819999995290655,NA,NA,NA
Tragelaphus strepsiceros,Ctx,I/C,0.06452048520559767,NA,NA,NA
Tragelaphus strepsiceros,Cx,I/C,0.06410126673830971,NA,NA,NA
Tragelaphus strepsiceros,Hp,I/C,0.05480000093430657,NA,NA,NA
Tragelaphus strepsiceros,RoB,I/C,0.0809269035890595,NA,NA,NA
Canis familiaris,Br,C,7445924000,NA,NA,NA
Canis familiaris,Br,I,465370250,NA,NA,NA
Canis familiaris,Br,I/mg,5382,NA,NA,NA
Canis familiaris,Br,I/N,0.207,NA,NA,NA
Canis familiaris,Br,N,2252694404,NA,NA,NA
Canis familiaris,Br,N/mg,26054,NA,NA,NA
Canis familiaris,Br,No. of samples,94,NA,NA,NA
Canis familiaris,Br,Structure mass (g),86.462,NA,NA,NA
Canis familiaris,Cb,C,2525312500,NA,NA,NA
Canis familiaris,Cb,I,48233469,NA,NA,NA
Canis familiaris,Cb,I/mg,6421,NA,NA,NA
Canis familiaris,Cb,I/N,0.029,NA,NA,NA
Canis familiaris,Cb,N,1676633212,NA,NA,NA
Canis familiaris,Cb,N/mg,223194,NA,NA,NA
Canis familiaris,Cb,No. of samples,2,NA,NA,NA
Canis familiaris,Cb,Structure mass (g),7.512,NA,NA,NA
Canis familiaris,Ctx,C,3801711500,NA,NA,NA
Canis familiaris,Ctx,I,302616235,NA,NA,NA
Canis familiaris,Ctx,I/mg,4767,NA,NA,NA
Canis familiaris,Ctx,I/N,0.583,NA,NA,NA
Canis familiaris,Ctx,N,519305298,NA,NA,NA
Canis familiaris,Ctx,N/mg,8180,NA,NA,NA
Canis familiaris,Ctx,No. of samples,84,NA,NA,NA
Canis familiaris,Ctx,Structure mass (g),63.481,NA,NA,NA
Canis familiaris,Cx,C,3944367750,NA,NA,NA
Canis familiaris,Cx,I,313577236,NA,NA,NA
Canis familiaris,Cx,I/mg,4788,NA,NA,NA
Canis familiaris,Cx,I/N,0.594,NA,NA,NA
Canis familiaris,Cx,N,527911882,NA,NA,NA
Canis familiaris,Cx,N/mg,8061,NA,NA,NA
Canis familiaris,Cx,No. of samples,86,NA,NA,NA
Canis familiaris,Cx,Structure mass (g),65.491,NA,NA,NA
Canis familiaris,Hp,C,142656250,NA,NA,NA
Canis familiaris,Hp,I,11141453,NA,NA,NA
Canis familiaris,Hp,I/mg,5543,NA,NA,NA
Canis familiaris,Hp,I/N,1.295,NA,NA,NA
Canis familiaris,Hp,N,8606584,NA,NA,NA
Canis familiaris,Hp,N/mg,4282,NA,NA,NA
Canis familiaris,Hp,No. of samples,2,NA,NA,NA
Canis familiaris,Hp,Structure mass (g),2.01,NA,NA,NA
Canis familiaris,RoB,C,976243750,NA,NA,NA
Canis familiaris,RoB,I,103384213,NA,NA,NA
Canis familiaris,RoB,I/mg,7681,NA,NA,NA
Canis familiaris,RoB,I/N,2.147,NA,NA,NA
Canis familiaris,RoB,N,48149310,NA,NA,NA
Canis familiaris,RoB,N/mg,3577,NA,NA,NA
Canis familiaris,RoB,No. of samples,6,NA,NA,NA
Canis familiaris,RoB,Structure mass (g),13.459,NA,NA,NA
Canis familiaris,Br,I/C,0.0625,NA,NA,NA
Canis familiaris,Cb,I/C,0.01910000009899765,NA,NA,NA
Canis familiaris,Ctx,I/C,0.07959999989478424,NA,NA,NA
Canis familiaris,Cx,I/C,0.07949999996830924,NA,NA,NA
Canis familiaris,Hp,I/C,0.0780999991237678,NA,NA,NA
Canis familiaris,RoB,I/C,0.10589999987195821,NA,NA,NA
Felis catus,Br,C,2944001250,NA,NA,NA
Felis catus,Br,I,105689645,NA,NA,NA
Felis catus,Br,I/mg,3032,NA,NA,NA
Felis catus,Br,I/N,0.087,NA,NA,NA
Felis catus,Br,N,1215209144,NA,NA,NA
Felis catus,Br,N/mg,34862,NA,NA,NA
Felis catus,Br,No. of samples,48,NA,NA,NA
Felis catus,Br,Structure mass (g),34.858,NA,NA,NA
Felis catus,Cb,C,1269000000,NA,NA,NA
Felis catus,Cb,I,21826800,NA,NA,NA
Felis catus,Cb,I/mg,4271,NA,NA,NA
Felis catus,Cb,I/N,0.023,NA,NA,NA
Felis catus,Cb,N,942902390,NA,NA,NA
Felis catus,Cb,N/mg,184521,NA,NA,NA
Felis catus,Cb,No. of samples,1,NA,NA,NA
Felis catus,Cb,Structure mass (g),5.11,NA,NA,NA
Felis catus,Ctx,C,1282938750,NA,NA,NA
Felis catus,Ctx,I,71716276,NA,NA,NA
Felis catus,Ctx,I/mg,3078,NA,NA,NA
Felis catus,Ctx,I/N,0.297,NA,NA,NA
Felis catus,Ctx,N,241786292,NA,NA,NA
Felis catus,Ctx,N/mg,10377,NA,NA,NA
Felis catus,Ctx,No. of samples,43,NA,NA,NA
Felis catus,Ctx,Structure mass (g),23.3,NA,NA,NA
Felis catus,Cx,C,1346938750,NA,NA,NA
Felis catus,Cx,I,73677550,NA,NA,NA
Felis catus,Cx,I/mg,3048,NA,NA,NA
Felis catus,Cx,I/N,0.295,NA,NA,NA
Felis catus,Cx,N,249834196,NA,NA,NA
Felis catus,Cx,N/mg,10334,NA,NA,NA
Felis catus,Cx,No. of samples,44,NA,NA,NA
Felis catus,Cx,Structure mass (g),24.176,NA,NA,NA
Felis catus,Hp,C,64000000,NA,NA,NA
Felis catus,Hp,I,1952000,NA,NA,NA
Felis catus,Hp,I/mg,2228,NA,NA,NA
Felis catus,Hp,I/N,0.243,NA,NA,NA
Felis catus,Hp,N,8047904,NA,NA,NA
Felis catus,Hp,N/mg,9187,NA,NA,NA
Felis catus,Hp,No. of samples,1,NA,NA,NA
Felis catus,Hp,Structure mass (g),0.876,NA,NA,NA
Felis catus,RoB,C,328062500,NA,NA,NA
Felis catus,RoB,I,10202744,NA,NA,NA
Felis catus,RoB,I/mg,1831,NA,NA,NA
Felis catus,RoB,I/N,0.454,NA,NA,NA
Felis catus,RoB,N,22472558,NA,NA,NA
Felis catus,RoB,N/mg,4033,NA,NA,NA
Felis catus,RoB,No. of samples,3,NA,NA,NA
Felis catus,RoB,Structure mass (g),5.572,NA,NA,NA
Felis catus,Br,I/C,0.03590000004245922,NA,NA,NA
Felis catus,Cb,I/C,0.0172,NA,NA,NA
Felis catus,Ctx,I/C,0.05589999990256744,NA,NA,NA
Felis catus,Cx,I/C,0.05470000027840909,NA,NA,NA
Felis catus,Hp,I/C,0.0305,NA,NA,NA
Felis catus,RoB,I/C,0.031100000762049915,NA,NA,NA
Mungos mungo,Br,No. of samples,24,NA,NA,NA
Mungos mungo,Cb,C,470000000,NA,NA,NA
Mungos mungo,Cb,I,8695000,NA,NA,NA
Mungos mungo,Cb,I/mg,5617,NA,NA,NA
Mungos mungo,Cb,I/N,0.028,NA,NA,NA
Mungos mungo,Cb,N,315738964,NA,NA,NA
Mungos mungo,Cb,N/mg,203966,NA,NA,NA
Mungos mungo,Cb,No. of samples,1,NA,NA,NA
Mungos mungo,Cb,Structure mass (g),1.548,NA,NA,NA
Mungos mungo,Ctx,No. of samples,19,NA,NA,NA
Mungos mungo,Cx,No. of samples,20,NA,NA,NA
Mungos mungo,Hp,C,25625000,NA,NA,NA
Mungos mungo,Hp,I,863563,NA,NA,NA
Mungos mungo,Hp,I/mg,2018,NA,NA,NA
Mungos mungo,Hp,I/N,0.324,NA,NA,NA
Mungos mungo,Hp,N,2664224,NA,NA,NA
Mungos mungo,Hp,N/mg,6225,NA,NA,NA
Mungos mungo,Hp,No. of samples,1,NA,NA,NA
Mungos mungo,Hp,Structure mass (g),0.428,NA,NA,NA
Mungos mungo,RoB,C,174060000,NA,NA,NA
Mungos mungo,RoB,I,6614280,NA,NA,NA
Mungos mungo,RoB,I/mg,1.915,NA,NA,NA
Mungos mungo,RoB,I/N,0.294,NA,NA,NA
Mungos mungo,RoB,N,22514320,NA,NA,NA
Mungos mungo,RoB,N/mg,6518,NA,NA,NA
Mungos mungo,RoB,No. of samples,3,NA,NA,NA
Mungos mungo,RoB,Structure mass (g),3.454,NA,NA,NA
Mungos mungo,Cb,I/C,0.0185,NA,NA,NA
Mungos mungo,Hp,I/C,0.033700019512195124,NA,NA,NA
Mungos mungo,RoB,I/C,0.038,NA,NA,NA
Mustela putorius,Br,C,877410700,NA,NA,NA
Mustela putorius,Br,I,42115714,NA,NA,NA
Mustela putorius,Br,I/mg,7758,NA,NA,NA
Mustela putorius,Br,I/N,0.104,NA,NA,NA
Mustela putorius,Br,N,404428012,NA,NA,NA
Mustela putorius,Br,N/mg,74494,NA,NA,NA
Mustela putorius,Br,No. of samples,30,NA,NA,NA
Mustela putorius,Br,Structure mass (g),5.429,NA,NA,NA
Mustela putorius,Cb,C,430860000,NA,NA,NA
Mustela putorius,Cb,I,8832630,NA,NA,NA
Mustela putorius,Cb,I/mg,9601,NA,NA,NA
Mustela putorius,Cb,I/N,0.025,NA,NA,NA
Mustela putorius,Cb,N,351264942,NA,NA,NA
Mustela putorius,Cb,N/mg,381810,NA,NA,NA
Mustela putorius,Cb,No. of samples,2,NA,NA,NA
Mustela putorius,Cb,Structure mass (g),0.92,NA,NA,NA
Mustela putorius,Ctx,C,270508200,NA,NA,NA
Mustela putorius,Ctx,I,17528931,NA,NA,NA
Mustela putorius,Ctx,I/mg,6274,NA,NA,NA
Mustela putorius,Ctx,I/N,0.49,NA,NA,NA
Mustela putorius,Ctx,N,35760238,NA,NA,NA
Mustela putorius,Ctx,N/mg,12799,NA,NA,NA
Mustela putorius,Ctx,No. of samples,22,NA,NA,NA
Mustela putorius,Ctx,Structure mass (g),2.794,NA,NA,NA
Mustela putorius,Cx,C,303008200,NA,NA,NA
Mustela putorius,Cx,I,20392452,NA,NA,NA
Mustela putorius,Cx,I/mg,6530,NA,NA,NA
Mustela putorius,Cx,I/N,0.524,NA,NA,NA
Mustela putorius,Cx,N,38952070,NA,NA,NA
Mustela putorius,Cx,N/mg,12473,NA,NA,NA
Mustela putorius,Cx,No. of samples,24,NA,NA,NA
Mustela putorius,Cx,Structure mass (g),3.123,NA,NA,NA
Mustela putorius,Hp,C,32500000,NA,NA,NA
Mustela putorius,Hp,I,2856750,NA,NA,NA
Mustela putorius,Hp,I/mg,8683,NA,NA,NA
Mustela putorius,Hp,I/N,0.895,NA,NA,NA
Mustela putorius,Hp,N,3191834,NA,NA,NA
Mustela putorius,Hp,N/mg,9702,NA,NA,NA
Mustela putorius,Hp,No. of samples,2,NA,NA,NA
Mustela putorius,Hp,Structure mass (g),0.329,NA,NA,NA
Mustela putorius,RoB,C,143542500,NA,NA,NA
Mustela putorius,RoB,I,12847054,NA,NA,NA
Mustela putorius,RoB,I/mg,9269,NA,NA,NA
Mustela putorius,RoB,I/N,0.904,NA,NA,NA
Mustela putorius,RoB,N,14210998,NA,NA,NA
Mustela putorius,RoB,N/mg,10253,NA,NA,NA
Mustela putorius,RoB,No. of samples,4,NA,NA,NA
Mustela putorius,RoB,Structure mass (g),1.386,NA,NA,NA
Mustela putorius,Br,I/C,0.04800000045588685,NA,NA,NA
Mustela putorius,Cb,I/C,0.0205,NA,NA,NA
Mustela putorius,Ctx,I/C,0.06479999866917158,NA,NA,NA
Mustela putorius,Cx,I/C,0.0673000004620337,NA,NA,NA
Mustela putorius,Hp,I/C,0.0879,NA,NA,NA
Mustela putorius,RoB,I/C,0.08950000174164446,NA,NA,NA
Panthera leo,Br,C,17065870250,NA,NA,NA
Panthera leo,Br,I,1129760611,NA,NA,NA
Panthera leo,Br,I/mg,5679,NA,NA,NA
Panthera leo,Br,I/N,0.242,NA,NA,NA
Panthera leo,Br,N,4667034704,NA,NA,NA
Panthera leo,Br,N/mg,23459,NA,NA,NA
Panthera leo,Br,No. of samples,110,NA,NA,NA
Panthera leo,Br,Structure mass (g),198.946,NA,NA,NA
Panthera leo,Cb,C,7093750000,NA,NA,NA
Panthera leo,Cb,I,124140625,NA,NA,NA
Panthera leo,Cb,I/mg,4989,NA,NA,NA
Panthera leo,Cb,I/N,0.031,NA,NA,NA
Panthera leo,Cb,N,4049750938,NA,NA,NA
Panthera leo,Cb,N/mg,162758,NA,NA,NA
Panthera leo,Cb,No. of samples,1,NA,NA,NA
Panthera leo,Cb,Structure mass (g),24.882,NA,NA,NA
Panthera leo,Ctx,C,7615560250,NA,NA,NA
Panthera leo,Ctx,I,784402706,NA,NA,NA
Panthera leo,Ctx,I/mg,5757,NA,NA,NA
Panthera leo,Ctx,I/N,1.475,NA,NA,NA
Panthera leo,Ctx,N,531700630,NA,NA,NA
Panthera leo,Ctx,N/mg,3902,NA,NA,NA
Panthera leo,Ctx,No. of samples,106,NA,NA,NA
Panthera leo,Ctx,Structure mass (g),136.254,NA,NA,NA
Panthera leo,Cx,C,7806210250,NA,NA,NA
Panthera leo,Cx,I,795452825,NA,NA,NA
Panthera leo,Cx,I/mg,5686,NA,NA,NA
Panthera leo,Cx,I/N,1.459,NA,NA,NA
Panthera leo,Cx,N,545238686,NA,NA,NA
Panthera leo,Cx,N/mg,3897,NA,NA,NA
Panthera leo,Cx,No. of samples,107,NA,NA,NA
Panthera leo,Cx,Structure mass (g),139.902,NA,NA,NA
Panthera leo,Hp,C,190650000,NA,NA,NA
Panthera leo,Hp,I,10886115,NA,NA,NA
Panthera leo,Hp,I/mg,2984,NA,NA,NA
Panthera leo,Hp,I/N,0.804,NA,NA,NA
Panthera leo,Hp,N,13538056,NA,NA,NA
Panthera leo,Hp,N/mg,3711,NA,NA,NA
Panthera leo,Hp,No. of samples,1,NA,NA,NA
Panthera leo,Hp,Structure mass (g),3.648,NA,NA,NA
Panthera leo,RoB,C,2165910000,NA,NA,NA
Panthera leo,RoB,I,210743043,NA,NA,NA
Panthera leo,RoB,I/mg,6169,NA,NA,NA
Panthera leo,RoB,I/N,2.925,NA,NA,NA
Panthera leo,RoB,N,72045082,NA,NA,NA
Panthera leo,RoB,N/mg,2109,NA,NA,NA
Panthera leo,RoB,No. of samples,2,NA,NA,NA
Panthera leo,RoB,Structure mass (g),34.162,NA,NA,NA
Panthera leo,Br,I/C,0.06620000002636842,NA,NA,NA
Panthera leo,Cb,I/C,0.0175,NA,NA,NA
Panthera leo,Ctx,I/C,0.10300000003282753,NA,NA,NA
Panthera leo,Cx,I/C,0.10190000006725415,NA,NA,NA
Panthera leo,Hp,I/C,0.0571,NA,NA,NA
Panthera leo,RoB,I/C,0.0973,NA,NA,NA
Ursus arctos,Br,C,24698792500,NA,NA,NA
Ursus arctos,Br,I,1131204697,NA,NA,NA
Ursus arctos,Br,I/mg,3591,NA,NA,NA
Ursus arctos,Br,I/N,0.118,NA,NA,NA
Ursus arctos,Br,N,9585604080,NA,NA,NA
Ursus arctos,Br,N/mg,30430,NA,NA,NA
Ursus arctos,Br,No. of samples,121,NA,NA,NA
Ursus arctos,Br,Structure mass (g),315.004,NA,NA,NA
Ursus arctos,Cb,C,11550000000,NA,NA,NA
Ursus arctos,Cb,I,188265000,NA,NA,NA
Ursus arctos,Cb,I/mg,4174,NA,NA,NA
Ursus arctos,Cb,I/N,0.02,NA,NA,NA
Ursus arctos,Cb,N,9253250478,NA,NA,NA
Ursus arctos,Cb,N/mg,205145,NA,NA,NA
Ursus arctos,Cb,No. of samples,1,NA,NA,NA
Ursus arctos,Cb,Structure mass (g),45.106,NA,NA,NA
Ursus arctos,Ctx,C,10147192500,NA,NA,NA
Ursus arctos,Ctx,I,835113943,NA,NA,NA
Ursus arctos,Ctx,I/mg,3833,NA,NA,NA
Ursus arctos,Ctx,I/N,3.446,NA,NA,NA
Ursus arctos,Ctx,N,242359888,NA,NA,NA
Ursus arctos,Ctx,N/mg,1112,NA,NA,NA
Ursus arctos,Ctx,No. of samples,115,NA,NA,NA
Ursus arctos,Ctx,Structure mass (g),217.87,NA,NA,NA
Ursus arctos,Cx,C,10404967500,NA,NA,NA
Ursus arctos,Cx,I,843842866,NA,NA,NA
Ursus arctos,Cx,I/mg,3801,NA,NA,NA
Ursus arctos,Cx,I/N,3.362,NA,NA,NA
Ursus arctos,Cx,N,250969270,NA,NA,NA
Ursus arctos,Cx,N/mg,1130,NA,NA,NA
Ursus arctos,Cx,No. of samples,116,NA,NA,NA
Ursus arctos,Cx,Structure mass (g),222,NA,NA,NA
Ursus arctos,Hp,C,257775000,NA,NA,NA
Ursus arctos,Hp,I,8815905,NA,NA,NA
Ursus arctos,Hp,I/mg,2135,NA,NA,NA
Ursus arctos,Hp,I/N,1.024,NA,NA,NA
Ursus arctos,Hp,N,8609382,NA,NA,NA
Ursus arctos,Hp,N/mg,2085,NA,NA,NA
Ursus arctos,Hp,No. of samples,1,NA,NA,NA
Ursus arctos,Hp,Structure mass (g),4.13,NA,NA,NA
Ursus arctos,RoB,C,2743825000,NA,NA,NA
Ursus arctos,RoB,I,98777700,NA,NA,NA
Ursus arctos,RoB,I/mg,2062,NA,NA,NA
Ursus arctos,RoB,I/N,1.214,NA,NA,NA
Ursus arctos,RoB,N,81384332,NA,NA,NA
Ursus arctos,RoB,N/mg,1699,NA,NA,NA
Ursus arctos,RoB,No. of samples,4,NA,NA,NA
Ursus arctos,RoB,Structure mass (g),47.898,NA,NA,NA
Ursus arctos,Br,I/C,0.045800000020243904,NA,NA,NA
Ursus arctos,Cb,I/C,0.0163,NA,NA,NA
Ursus arctos,Ctx,I/C,0.08230000002463736,NA,NA,NA
Ursus arctos,Cx,I/C,0.0811000001681889,NA,NA,NA
Ursus arctos,Hp,I/C,0.0342,NA,NA,NA
Ursus arctos,RoB,I/C,0.036,NA,NA,NA
Dendrolagus goodfellowi,Br,C,3595788750,NA,NA,NA
Dendrolagus goodfellowi,Br,I,120458923,NA,NA,NA
Dendrolagus goodfellowi,Br,I/mg,3818,NA,NA,NA
Dendrolagus goodfellowi,Br,I/N,0.078,NA,NA,NA
Dendrolagus goodfellowi,Br,N,1548311684,NA,NA,NA
Dendrolagus goodfellowi,Br,N/mg,49078,NA,NA,NA
Dendrolagus goodfellowi,Br,No. of samples,49,NA,NA,NA
Dendrolagus goodfellowi,Br,Structure mass (g),31.548,NA,NA,NA
Dendrolagus goodfellowi,Cb,C,1545500000,NA,NA,NA
Dendrolagus goodfellowi,Cb,I,10200300,NA,NA,NA
Dendrolagus goodfellowi,Cb,I/mg,2408,NA,NA,NA
Dendrolagus goodfellowi,Cb,I/N,0.008,NA,NA,NA
Dendrolagus goodfellowi,Cb,N,1237018200,NA,NA,NA
Dendrolagus goodfellowi,Cb,N/mg,292025,NA,NA,NA
Dendrolagus goodfellowi,Cb,No. of samples,1,NA,NA,NA
Dendrolagus goodfellowi,Cb,Structure mass (g),4.236,NA,NA,NA
Dendrolagus goodfellowi,Ctx,C,1431388750,NA,NA,NA
Dendrolagus goodfellowi,Ctx,I,74289076,NA,NA,NA
Dendrolagus goodfellowi,Ctx,I/mg,4064,NA,NA,NA
Dendrolagus goodfellowi,Ctx,I/N,0.291,NA,NA,NA
Dendrolagus goodfellowi,Ctx,N,255280904,NA,NA,NA
Dendrolagus goodfellowi,Ctx,N/mg,13965,NA,NA,NA
Dendrolagus goodfellowi,Ctx,No. of samples,45,NA,NA,NA
Dendrolagus goodfellowi,Ctx,Structure mass (g),18.82,NA,NA,NA
Dendrolagus goodfellowi,Cx,C,1532188750,NA,NA,NA
Dendrolagus goodfellowi,Cx,I,80439909,NA,NA,NA
Dendrolagus goodfellowi,Cx,I/mg,4110,NA,NA,NA
Dendrolagus goodfellowi,Cx,I/N,0.294,NA,NA,NA
Dendrolagus goodfellowi,Cx,N,273434984,NA,NA,NA
Dendrolagus goodfellowi,Cx,N/mg,13972,NA,NA,NA
Dendrolagus goodfellowi,Cx,No. of samples,46,NA,NA,NA
Dendrolagus goodfellowi,Cx,Structure mass (g),19.57,NA,NA,NA
Dendrolagus goodfellowi,Hp,C,100800000,NA,NA,NA
Dendrolagus goodfellowi,Hp,I,6189120,NA,NA,NA
Dendrolagus goodfellowi,Hp,I/mg,4798,NA,NA,NA
Dendrolagus goodfellowi,Hp,I/N,0.341,NA,NA,NA
Dendrolagus goodfellowi,Hp,N,18154080,NA,NA,NA
Dendrolagus goodfellowi,Hp,N/mg,14073,NA,NA,NA
Dendrolagus goodfellowi,Hp,No. of samples,1,NA,NA,NA
Dendrolagus goodfellowi,Hp,Structure mass (g),1.29,NA,NA,NA
Dendrolagus goodfellowi,RoB,C,518100000,NA,NA,NA
Dendrolagus goodfellowi,RoB,I,29687130,NA,NA,NA
Dendrolagus goodfellowi,RoB,I/mg,3835,NA,NA,NA
Dendrolagus goodfellowi,RoB,I/N,0.784,NA,NA,NA
Dendrolagus goodfellowi,RoB,N,37858500,NA,NA,NA
Dendrolagus goodfellowi,RoB,N/mg,4890,NA,NA,NA
Dendrolagus goodfellowi,RoB,No. of samples,2,NA,NA,NA
Dendrolagus goodfellowi,RoB,Structure mass (g),7.742,NA,NA,NA
Dendrolagus goodfellowi,Br,I/C,0.033499999965237115,NA,NA,NA
Dendrolagus goodfellowi,Cb,I/C,0.0066,NA,NA,NA
Dendrolagus goodfellowi,Ctx,I/C,0.051899999912672225,NA,NA,NA
Dendrolagus goodfellowi,Cx,I/C,0.05249999975525209,NA,NA,NA
Dendrolagus goodfellowi,Hp,I/C,0.0614,NA,NA,NA
Dendrolagus goodfellowi,RoB,I/C,0.0573,NA,NA,NA
Didelphis aurita,Br,C,643138750,NA,NA,NA
Didelphis aurita,Br,I,25297939,NA,NA,NA
Didelphis aurita,Br,I/mg,5961,NA,NA,NA
Didelphis aurita,Br,I/N,0.064,NA,NA,NA
Didelphis aurita,Br,N,392497458,NA,NA,NA
Didelphis aurita,Br,N/mg,91449,NA,NA,NA
Didelphis aurita,Br,No. of samples,35,NA,NA,NA
Didelphis aurita,Br,Structure mass (g),4.292,NA,NA,NA
Didelphis aurita,Cb,C,375031250,NA,NA,NA
Didelphis aurita,Cb,I,5362947,NA,NA,NA
Didelphis aurita,Cb,I/mg,6893,NA,NA,NA
Didelphis aurita,Cb,I/N,0.016,NA,NA,NA
Didelphis aurita,Cb,N,334265353,NA,NA,NA
Didelphis aurita,Cb,N/mg,429647,NA,NA,NA
Didelphis aurita,Cb,No. of samples,1,NA,NA,NA
Didelphis aurita,Cb,Structure mass (g),0.778,NA,NA,NA
Didelphis aurita,Ctx,C,133775000,NA,NA,NA
Didelphis aurita,Ctx,I,9740554,NA,NA,NA
Didelphis aurita,Ctx,I/mg,5679,NA,NA,NA
Didelphis aurita,Ctx,I/N,0.276,NA,NA,NA
Didelphis aurita,Ctx,N,35269454,NA,NA,NA
Didelphis aurita,Ctx,N/mg,20154,NA,NA,NA
Didelphis aurita,Ctx,No. of samples,30,NA,NA,NA
Didelphis aurita,Ctx,Structure mass (g),1.75,NA,NA,NA
Didelphis aurita,Cx,C,163477500,NA,NA,NA
Didelphis aurita,Cx,I,11581340,NA,NA,NA
Didelphis aurita,Cx,I/mg,5511,NA,NA,NA
Didelphis aurita,Cx,I/N,0.273,NA,NA,NA
Didelphis aurita,Cx,N,42499454,NA,NA,NA
Didelphis aurita,Cx,N/mg,19897,NA,NA,NA
Didelphis aurita,Cx,No. of samples,31,NA,NA,NA
Didelphis aurita,Cx,Structure mass (g),2.136,NA,NA,NA
Didelphis aurita,Hp,C,30000000,NA,NA,NA
Didelphis aurita,Hp,I,1848000,NA,NA,NA
Didelphis aurita,Hp,I/mg,4788,NA,NA,NA
Didelphis aurita,Hp,I/N,0.256,NA,NA,NA
Didelphis aurita,Hp,N,7230000,NA,NA,NA
Didelphis aurita,Hp,N/mg,18731,NA,NA,NA
Didelphis aurita,Hp,No. of samples,1,NA,NA,NA
Didelphis aurita,Hp,Structure mass (g),0.386,NA,NA,NA
Didelphis aurita,RoB,C,108137500,NA,NA,NA
Didelphis aurita,RoB,I,8326588,NA,NA,NA
Didelphis aurita,RoB,I/mg,6043,NA,NA,NA
Didelphis aurita,RoB,I/N,0.529,NA,NA,NA
Didelphis aurita,RoB,N,15732651,NA,NA,NA
Didelphis aurita,RoB,N/mg,11417,NA,NA,NA
Didelphis aurita,RoB,No. of samples,3,NA,NA,NA
Didelphis aurita,RoB,Structure mass (g),1.378,NA,NA,NA
Didelphis aurita,Br,I/C,0.0393351185883295,NA,NA,NA
Didelphis aurita,Cb,I/C,0.014300000333305559,NA,NA,NA
