Species,Structure,Measure,published,unpublished,pct_diff,flag
Elephantulus myurus,Cx,N,21847255,NA,NA,NA
Elephantulus myurus,Cx,N/mg,48549,NA,NA,NA
Elephantulus myurus,Cx,No. of samples,3,NA,NA,NA
Elephantulus myurus,Cx,Structure mass (g),0.45,NA,NA,NA
Elephantulus myurus,Hp,C,12080000,NA,NA,NA
Elephantulus myurus,Hp,I,353944,NA,NA,NA
Elephantulus myurus,Hp,I/mg,4116,NA,NA,NA
Elephantulus myurus,Hp,I/N,0.069,NA,NA,NA
Elephantulus myurus,Hp,N,5159368,NA,NA,NA
Elephantulus myurus,Hp,N/mg,59993,NA,NA,NA
Elephantulus myurus,Hp,No. of samples,1,NA,NA,NA
Elephantulus myurus,Hp,Structure mass (g),0.086,NA,NA,NA
Elephantulus myurus,RoB,C,43010000,NA,NA,NA
Elephantulus myurus,RoB,I,1324708,NA,NA,NA
Elephantulus myurus,RoB,I/mg,3295,NA,NA,NA
Elephantulus myurus,RoB,I/N,0.095,NA,NA,NA
Elephantulus myurus,RoB,N,14012533,NA,NA,NA
Elephantulus myurus,RoB,N/mg,34520,NA,NA,NA
Elephantulus myurus,RoB,No. of samples,2,NA,NA,NA
Elephantulus myurus,RoB,Structure mass (g),0.401,NA,NA,NA
Elephantulus myurus,Br,I/C,0.013799997955302921,NA,NA,NA
Elephantulus myurus,Cb,I/C,0.007299997337616812,NA,NA,NA
Elephantulus myurus,Ctx,I/C,0.016799994211958096,NA,NA,NA
Elephantulus myurus,Cx,I/C,0.0224,NA,NA,NA
Elephantulus myurus,Hp,I/C,0.0293,NA,NA,NA
Elephantulus myurus,RoB,I/C,0.0308,NA,NA,NA
Loxodonta africana,Br,C,477844127344,NA,NA,NA
Loxodonta africana,Br,I,20919937679,NA,NA,NA
Loxodonta africana,Br,I/mg,4562,NA,NA,NA
Loxodonta africana,Br,I/N,0.081,NA,NA,NA
Loxodonta africana,Br,N,257043473412,NA,NA,NA
Loxodonta africana,Br,N/mg,56071,NA,NA,NA
Loxodonta africana,Br,No. of samples,388,NA,NA,NA
Loxodonta africana,Br,Structure mass (g),4168.62,NA,NA,NA
Loxodonta africana,Cb,C,287226757500,NA,NA,NA
Loxodonta africana,Cb,I,7025615044,NA,NA,NA
Loxodonta africana,Cb,I/mg,5982,NA,NA,NA
Loxodonta africana,Cb,I/N,0.028,NA,NA,NA
Loxodonta africana,Cb,N,250708527536,NA,NA,NA
Loxodonta africana,Cb,N/mg,213983,NA,NA,NA
Loxodonta africana,Cb,No. of samples,80,NA,NA,NA
Loxodonta africana,Cb,Structure mass (g),1171.63,NA,NA,NA
Loxodonta africana,Ctx,C,157990215478,NA,NA,NA
Loxodonta africana,Ctx,I,11462555196,NA,NA,NA
Loxodonta africana,Ctx,I/mg,4149,NA,NA,NA
Loxodonta africana,Ctx,I/N,2.063,NA,NA,NA
Loxodonta africana,Ctx,N,5556610521,NA,NA,NA
Loxodonta africana,Ctx,N/mg,1968,NA,NA,NA
Loxodonta africana,Ctx,No. of samples,263,NA,NA,NA
