"species","specimen","sex","sample","brain_volume_cm3","cerebellum_volume_cm3","vermis_volume_cm3","hemisphere_volume_cm3","stephan_collection","section_plane","brainweight_known","source"
"Ateles paniscus","Ateles paniscus (1541)","M","Hirnforschung",93,11.7,2.9,8.7,FALSE,"coronal",FALSE,"MacLeod_etal_2003"
"Ateles paniscus","Ateles paniscus (1538)","M","Hirnforschung",71.8,8.7,2.3,6.4,FALSE,"coronal",FALSE,"MacLeod_etal_2003"
"Alouatta seniculus","Alouatta seniculus (1961/8)","M","Hirnforschung",36.5,4.3,1.6,2.7,FALSE,"coronal",FALSE,"MacLeod_etal_2003"
"Alouatta seniculus","Alouatta seniculus (1961/9)","F","Hirnforschung",38.3,4,1.3,2.7,FALSE,"coronal",TRUE,"MacLeod_etal_2003"
"Cebus sp.","Cebus sp. 1 LH RH coronal","M","Hirnforschung",79.1,7.3,2.5,4.8,FALSE,"sagittal",FALSE,"MacLeod_etal_2003"
"Cebus sp.","Cebus sp. 5",NA,"Hirnforschung",73.9,6.8,2.2,4.6,FALSE,"coronal",FALSE,"MacLeod_etal_2003"
"Saimiri sciureus","Saimiri sciureus (1064)","F","Hirnforschung",19,1.9,0.9,1,FALSE,"coronal",TRUE,"MacLeod_etal_2003"
"Saimiri sciureus","Saimiri sciureus (2408)","M","Hirnforschung",20.7,1.9,1,0.9,FALSE,"coronal",FALSE,"MacLeod_etal_2003"
"Aotus trivirgatus","Aotus trivirgatus (1536)","F","Hirnforschung",18.9,1.7,1,1.2,FALSE,"coronal",FALSE,"MacLeod_etal_2003"
"Aotus trivirgatus","Aotus trivirgatus (K197)","F","Hirnforschung",15.8,1.7,0.8,0.9,FALSE,"coronal",TRUE,"MacLeod_etal_2003"
"Aotus trivirgatus","Aotus trivirgatus (888)",NA,"Hirnforschung",19.7,1.8,0.9,0.8,FALSE,"coronal",FALSE,"MacLeod_etal_2003"
"Aotus trivirgatus","Aotus trivirgatus (1535)","F","Hirnforschung",22.1,1.8,0.9,0.9,FALSE,"coronal",FALSE,"MacLeod_etal_2003"
