species,n,n_stephan_collection,brain_volume_cm3,cerebellum_volume_cm3,vermis_volume_cm3,hemisphere_volume_cm3
Homo sapiens,14,0,1265.114,139.157,11.75,127.386
Gorilla gorilla,5,1,401.28,59.38,6.3,53.1
Pan paniscus,6,0,322.65,47.3,6.483,40.8
Pan troglodytes,14,4,354.821,46.779,5.092,41.185
Pongo pygmaeus,8,0,370.3,44.538,4.771,40.229
Hylobates lar,9,1,91.367,12.189,2.156,10.033
Papio cynocephalus,4,0,144.8,13.825,3.775,10.075
Cebus apella,4,0,66.45,6.45,1.825,4.65
Macaca mulatta,8,0,90.557,7.825,2.538,5.25
Cercocebus torquatus atys,4,0,98.85,8.65,2.3,6.375
Saimiri sciureus,6,0,22.017,2.0,0.9,1.083
Erythrocebus patas,1,0,89.0,7.9,2.7,5.2
Cercopithecus sp.,2,0,64.0,6.2,2.65,3.45
Cercocebus albigena,1,0,112.0,11.7,4.0,7.7
Ateles paniscus,3,0,90.7,10.367,3.033,7.3
Alouatta seniculus,2,0,37.4,4.15,1.45,2.7
Cebus sp.,2,0,76.5,7.05,2.35,4.7
Aotus trivirgatus,4,0,19.125,1.75,0.9,0.95
