Species	Cerebellum	Neocortex_GMWM	Neocortex_GM	Striatum	Hippocampus	Amygdala	Insula_GM	source
Gorilla beringei	44500.0	248500.0	156500.0	8700.0	3000.0	1200.0	2700.0	Barks et al. 2014 (AJPA 156:252-262) Fig 4A, all subjects; eye-digitized from the bar chart
Gorilla gorilla	57500.0	270000.0	161500.0	8600.0	3900.0	1300.0	2500.0	Barks et al. 2014 (AJPA 156:252-262) Fig 4A, all subjects; eye-digitized from the bar chart
