table	structure	subregion	species_printed	species	is_average	measure	value	sd	units	n_areas	reference
S9	Occipital cortex	Occipital cortex	rat	Rattus norvegicus	False	CMRgl	1.0	0.07	umol/g/min		Levant et al 2004
S9	Occipital cortex	Occipital cortex	rat	Rattus norvegicus	False	CMRgl	0.83	0.09	umol/g/min		Blin et al 1991
S9	Occipital cortex	Occipital cortex	average rat	Rattus norvegicus	True	CMRgl	0.92	0.08	umol/g/min		
S9	Occipital cortex	Occipital cortex	cat	Felis catus	False	CMRgl	1.26	0.1	umol/g/min		Lydic et al 1991
S9	Occipital cortex	Occipital cortex	monkey	Macaca mulatta	False	CMRgl	0.4	0.09	umol/g/min		Noda et al 2002
S9	Occipital cortex	Occipital cortex	baboon	Papio anubis	False	CMRgl	0.33	0.06	umol/g/min		Meguro et al 1999
S9	Occipital cortex	Occipital cortex	human	Homo sapiens	False	CMRgl	0.32	0.03	umol/g/min		Redies et al 1989
S9	Occipital cortex	Occipital cortex	human	Homo sapiens	False	CMRgl	0.28	0.02	umol/g/min		Blomqvist et al 1998
S9	Occipital cortex	Occipital cortex	human	Homo sapiens	False	CMRgl	0.29	0.05	umol/g/min		Maquet et al 1992
S9	Occipital cortex	Occipital cortex	human	Homo sapiens	False	CMRgl	0.42	0.12	umol/g/min		Haier et al 1992
S9	Occipital cortex	Occipital cortex	human	Homo sapiens	False	CMRgl	0.33	0.04	umol/g/min		Bline et al 1991
S9	Occipital cortex	Occipital cortex	average human	Homo sapiens	True	CMRgl	0.33	0.05	umol/g/min		
