table	structure	subregion	species_printed	species	is_average	measure	value	sd	units	n_areas	reference
S10	Parietal cortex	Parietal cortex	rat	Rattus norvegicus	False	CMRgl	0.77	0.08	umol/g/min		Waschke et al 1993
S10	Parietal cortex	Parietal cortex	rat	Rattus norvegicus	False	CMRgl	0.89	0.11	umol/g/min		Dube et al 2001
S10	Parietal cortex	Parietal cortex	rat	Rattus norvegicus	False	CMRgl	0.96	0.04	umol/g/min		Levant et al 2004
S10	Parietal cortex	Parietal cortex	average rat	Rattus norvegicus	True	CMRgl	0.87	0.12	umol/g/min		
S10	Parietal cortex	Parietal cortex	rabbit	Oryctolagus cuniculus	False	CMRgl	0.73	0.08	umol/g/min		Passero et al 1981
S10	Parietal cortex	Parietal cortex	cat	Felis catus	False	CMRgl	0.69	0.08	umol/g/min		Sokoloff 1984
S10	Parietal cortex	Parietal cortex	monkey	Macaca mulatta	False	CMRgl	0.47	0.04	umol/g/min		Kennedy et al 1978
S10	Parietal cortex	Parietal cortex	baboon	Papio anubis	False	CMRgl	0.47	0.1	umol/g/min		Meguro et al 1999
S10	Parietal cortex	Parietal cortex	human	Homo sapiens	False	CMRgl	0.27	0.02	umol/g/min		Blomqvist et al 1998
S10	Parietal cortex	Parietal cortex	human	Homo sapiens	False	CMRgl	0.37	0.02	umol/g/min		Heiss et al 1985
S10	Parietal cortex	Parietal cortex	human	Homo sapiens	False	CMRgl	0.43	0.15	umol/g/min		Haier et al 1992
S10	Parietal cortex	Parietal cortex	human	Homo sapiens	False	CMRgl	0.33	0.04	umol/g/min		Blin et al 1991
S10	Parietal cortex	Parietal cortex	average human	Homo sapiens	True	CMRgl	0.35	0.05	umol/g/min		
