"species"	"group"	"body_weight_g"	"brain_weight_mg"	"total_brain_net_mm3"	"medulla_oblongata_mm3"	"cerebellum_mm3"	"mesencephalon_mm3"	"diencephalon_mm3"	"telencephalon_mm3"	"source"
"Callithrix jacchus"	"Simian"	260	7600	7248	334	754	295	549	5316	"Stephan_etal_1970_Table3"
"Saguinus oedipus"	"Simian"	405	10000	9576	345	958	340	729	7203	"Stephan_etal_1970_Table3"
"Saguinus tamarin"	"Simian"	340	10300	9459	434	962	319	706	7038	"Stephan_etal_1970_Table3"
"Aotes trivirgatus"	"Simian"	850	16000	15229	641	1661	427	1086	11414	"Stephan_etal_1970_Table3"
"Callicebus moloch"	"Simian"	650	15500	14434	683	1287	469	1101	10894	"Stephan_etal_1970_Table3"
"Pithecia monacha"	"Simian"	1500	35000	32836	1026	3961	782	2167	24901	"Stephan_etal_1970_Table3"
"Alouatta seniculus"	"Simian"	6400	51000	47749	1840	6349	1039	3217	35303	"Stephan_etal_1970_Table3"
"Cebus sp."	"Simian"	2600	73000	68672	1844	8560	1153	3999	53116	"Stephan_etal_1970_Table3"
"Cebus albifrons"	"Simian"	3000	80000	75592	1896	8357	1487	4623	59229	"Stephan_etal_1970_Table3"
"Saimiri sciureus"	"Simian"	680	22000	20691	661	2071	482	1311	16165	"Stephan_etal_1970_Table3"
"Ateles geoffroyi"	"Simian"	8000	108000	101034	1834	12438	1482	5334	79946	"Stephan_etal_1970_Table3"
"Lagothrix logotricha"	"Simian"	5200	101000	94939	1742	12016	1423	5206	74553	"Stephan_etal_1970_Table3"
"Macaca mulatta"	"Simian"	6000	93000	87896	1992	8965	1380	4480	71080	"Stephan_etal_1970_Table3"
"Cercocebus albigena"	"Simian"	7900	104000	97603	2708	10725	1770	5351	77049	"Stephan_etal_1970_Table3"
"Cercopithecus talapoin"	"Simian"	1000	39000	36830	1139	3085	767	2460	29379	"Stephan_etal_1970_Table3"
"Cercopithecus ascanius"	"Simian"	3600	65000	61610	1583	5654	1127	3498	49748	"Stephan_etal_1970_Table3"
"Cercopithecus mitis"	"Simian"	6500	76000	71505	2026	6848	1372	4232	57027	"Stephan_etal_1970_Table3"
"Colobus badius"	"Simian"	7000	78000	73818	2007	8648	1333	3945	57885	"Stephan_etal_1970_Table3"
"Pan troglodytes"	"Simian"	46000	420000	396255	6032	45280	3878	15962	325104	"Stephan_etal_1970_Table3"
"Gorilla gorilla"	"Simian"	125000	465000	437433	6983	64402	4047	18014	343987	"Stephan_etal_1970_Table3"
"Homo sapiens"	"Simian"	65000	1330000	1251847	9622	137421	8087	33319	1063398	"Stephan_etal_1970_Table3"
