"Species Name"	"Species name adjusted to 10kTrees"	"Species name in Perelman tree"	"Subfamily"	"Family"	"Terrestriality"	"logECV"	"logBodyMass"	"logInsects"	"logFruit"	"logLeaves"	"logCombiGroupSize"	"logHRS"	"Diurnality"	"ECV"	"N ECV"	"Sex ECV"	"Source ECV"	"Body mass"	"N Body mass"	"Sex Body mass"	"Source Body mass"	"Original source Body mass"	"%animal prey"	"%fruit"	"% seeds"	"%fruit and seeds"	"%nectar"	"%flowers"	"%nectar and flowers"	"% reproductive plant parts (fruits, flowers and nectar)"	"%gum"	"%leaves"	"%young leaves"	"%mature leaves"	"%nonreproctive plant parts (gum and leaves, bark etc.)"	"%other"	"sum"	"Calculation"	"Source diet composition"	"Sleeping group size"	"Remarks Sleeping group size"	"Foraging Group size: mean"	"Group size: range"	"Group size combined"	"Source group size"	"Day range (m)"	"male Home range (HR) size: mean (ha)"	"female Home range size: mean"	"HR size average"	"HR range"	"Source Home range size"
"Allenopithecus_nigroviridis"	"Allenopithecus_nigroviridis"	"Allenopithecus_nigroviridis"	"Cercopithecinae"	"Cercopithecidae"	1	1.7299503924914	3.50242711998443	0.954242509439325	1.78175537465247	0.397940008672038	1.54406804435028	NA	1	53.6970457142857	7	"fem"	"Isler et al. 2008"	3180	1	"fem"	"Isler et al. 2008"	"Smith&Jungers 1997"	9	60.5	NA	60.5	NA	10	10	70.5	6.7	2.5	NA	NA	2.5	11.3	100	"average"	"Enstam and Isbell 07 review"	NA	NA	"35"	"23 to 57"	35	"Gautier-Hion 1999 book"	NA	NA	NA	NA	NA	NA
"Allocebus_trichotis"	"Allocebus_trichotis"	"Allocebus_trichotis"	NA	"Cheirogaleidae"	0	NA	NA	1.61278385671974	0.845098040014257	NA	0.477121254719662	1.01703333929878	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	7	NA	7	NA	7	7	14	45	0	NA	NA	NA	0	100	"single study"	"Biebouw 2009 (ATWP)"	3	"2 to 6"	"1"	"1 to 6"	3	"Biebouw 2009, Garbut 2001, Meier and Albignac 1991 (ATWP)"	NA	NA	NA	10.4	NA	NA
"Alouatta_arctoidea"	"Alouatta_arctoidea"	"Alouatta_arctoidea"	"Alouattinae"	"Atelidae"	0	NA	NA	NA	NA	NA	0.916585533002349	0.876217840591642	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Crocket reports groups with a mean of 5.90 to 10.50 depending on habitat (5.9 gallery or 10.5 scrub woodland)"	"8.2524999999999995"	"5.9 to 10.50"	8.2525	"Crockett 1984, 1985, ATWP"	NA	NA	NA	7.52	NA	NA
"Alouatta_belzebul"	"Alouatta_belzebul"	"Alouatta_belzebul"	"Alouattinae"	"Atelidae"	0	1.70708329882508	3.74233228235715	NA	1.75815462196739	1.36398782974849	0.7481880270062	1.13987908640124	1	50.9428571428571	14	"fem"	"van Woerden compilation"	5525	26	"fem"	"Isler et al. 2008"	"Ford and Davis 1992 in Smith and Jungers 1997"	0	57.3	NA	57.3	NA	16.65	16.65	73.95	NA	23.12	11.865	6.955	23.12	2.9	99.97	"average"	"Di Fiore and Campbell 07, other includes seeds (Bonvicino 1989 and Jardim 1997 from ATWP)"	NA	NA	"5.6"	"5 to 14"	5.6	"Di Fiore and Campbell 07 (Bonvicino 1989, Emmons&Feer 1997, Pinto et al. 2003, ATWP)"	"1020.4749999999999"	NA	NA	13.8	NA	NA
"Alouatta_caraya"	"Alouatta_caraya"	"Alouatta_caraya"	"Alouattinae"	"Atelidae"	0	1.69222385451028	3.62736585659273	NA	1.37718478708142	1.84777824233265	1.00518051250378	0.342422680822206	1	49.2293219911002	6	"fem"	"van Woerden compilation"	4240	5	"fem"	"Isler et al. 2008 (matching)"	"matching ECV"	0	23.8333333333333	NA	23.8333333333333	NA	4.9	4.9	28.7333333333333	NA	70.4333333333333	25.025	29.975	70.4333333333333	0.866666666666667	100.033333333333	"average"	"Di Fiore and Campbell 07, (Bicca-Marques & Calegaro-Marques 1994, Bravo&Sallenave 2003, Prates, Bicca-Marques 2008, Zunino 1986, ATWP)"	NA	NA	"10.119999999999999"	"2 to 21"	10.12	"Di Fiore and Campbell 07"	"522.33333333333337"	NA	NA	2.2	NA	NA
"Alouatta_discolor"	"Alouatta_discolor"	"Alouatta_discolor"	"Alouattinae"	"Atelidae"	0	NA	NA	NA	1.74507479158206	1.39445168082622	0.903089986991944	1.69983772586725	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	55.6	NA	55.6	NA	5.7	5.7	61.3	NA	24.8	19.8	5	24.8	13.9	100	"single study"	"Pinto 2002 (ATWP)"	NA	NA	"8"	"7 to 9"	8	"Pinto 2002 (ATWP)"	"761"	NA	NA	50.1	NA	NA
"Alouatta_guariba"	"Alouatta_guariba"	"Alouatta_guariba"	"Alouattinae"	"Atelidae"	0	1.68578107070333	3.65801139665711	NA	1.34488327936986	1.7601710828478	0.815134816636814	0.869231719730976	1	48.5043926261223	9	"fem"	"van Woerden compilation"	4550	3	"fem"	"Isler et al. 2008"	"matching ECV"	0	22.125	NA	22.125	NA	10.6333333333333	10.6333333333333	32.7583333333333	NA	57.5666666666667	22.6333333333333	34.9333333333333	57.5666666666667	9.65	99.975	"average"	"Di Fiore and Campbell 07, other includes seeds (Marques 2001, Martins 1997, ATWP)"	NA	NA	"6.5333333333333341"	"2 to 11"	6.53333333333333	"Di Fiore and Campbell 07"	"689.66666666666663"	NA	NA	7.4	NA	NA
"Alouatta_juara"	"Alouatta_juara"	"Alouatta_juara"	"Alouattinae"	"Atelidae"	0	NA	NA	NA	1.51719589794997	1.57576498053672	0.778151250383644	2.26007138798507	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	32.9	13.85	46.75	NA	2.4	2.4	49.15	NA	37.65	36.15	1.5	37.65	13.2	100	"average"	"Neves&Rylands 1991, Palacios&Rodriguez 2001, ATWP"	NA	NA	"6"	NA	6	"Palacios&Rodriguez 2001"	"1150"	NA	NA	182	NA	NA
"Alouatta_macconnelli"	"Alouatta_macconnelli"	"Alouatta_macconnelli"	"Alouattinae"	"Atelidae"	0	1.7296633598713	NA	NA	1.49229465763432	1.79309160017658	0.8750612633917	1.29461317066711	1	53.6615681473474	1	"fem"	"van Woerden compilation"	NA	NA	NA	NA	NA	0	31.0666666666667	NA	31.0666666666667	NA	1.5	1.5	32.5666666666667	NA	62.1	36.5	25.6	62.1	5.3	99.9666666666667	"average"	"Feer 1999, Julliot&Sabatier 1993, Queiroz 1995, ATWP"	NA	NA	"7.5"	"6 to 15.58"	7.5	"Julliot&Sabatier 1993, Neville 1972, Nunes et al. 1988, Phillips&Abercrombie 2003, Queiroz 1995, ATWP"	"580"	NA	NA	19.7066666666667	NA	NA
"Alouatta_palliata"	"Alouatta_palliata"	"Alouatta_palliata"	"Alouattinae"	"Atelidae"	0	1.68944861018526	3.72835378202123	NA	1.51926531460147	1.75094896753118	1.17396283452335	1.49276038902684	1	48.915738	30	"fem"	"van Woerden compilation"	5350	177	"fem"	"Isler et al. 2008"	"Peres 1994 in Smith and Jungers 1997"	0	33.0571428571429	NA	33.0571428571429	NA	9.77142857142857	9.77142857142857	42.8285714285714	NA	56.3571428571429	NA	NA	56.3571428571429	0.816666666666667	100.002380952381	"average"	"Di Fiore and Campbell 07, other includes seeds, ATWP"	NA	NA	"14.926666666666668"	"2 to 45"	14.9266666666667	"Di Fiore and Campbell 07"	"426.5"	NA	NA	31.1	NA	NA
