Lobe_Balzeau2012	Structure	Sample	n	Slope	Intercept	Rsquared	p_code	source
Frontal lobes	FrontalLobe	Complete sample	146	1.31	-1.798	0.739	***	Balzeau_etal_2012
Frontal lobes	FrontalLobe	Fossil hominins	36	1.361	-1.948	0.903	***	Balzeau_etal_2012
Frontal lobes	FrontalLobe	AMH	110	1.928	-9.009	0.452	***	Balzeau_etal_2012
Parieto-temporal lobes	Parieto-TemporalLobe	Complete sample	142	1.739	-3.93	0.846	***	Balzeau_etal_2012
Parieto-temporal lobes	Parieto-TemporalLobe	Fossil hominins	33	1.308	0.192	0.91	***	Balzeau_etal_2012
Parieto-temporal lobes	Parieto-TemporalLobe	AMH	109	1.75	-3.97	0.516	***	Balzeau_etal_2012
Occipital lobes	OccipitalLobe	Complete sample	145	0.925	-2.43	0.23	***	Balzeau_etal_2012
Occipital lobes	OccipitalLobe	Fossil hominins	36	0.933	-1.754	0.691	***	Balzeau_etal_2012
Occipital lobes	OccipitalLobe	AMH	109	1.744	-12.088	0.109	***	Balzeau_etal_2012
