"Family"	"Species"	"Sex play"	"Non-sex play"	"Total play"	"Brain size"	"Neocortex size"
"Atelidae"	"Alouatta caraya"	0	2	2	-0.165	0.006
"Atelidae"	"Aotus trivirgatus"	0	1	1	0.118	0.03
"Atelidae"	"Ateles geoffroyi"	1	2	3	0.093	0.009
"Atelidae"	"Brachyteles arachnoides"	0	0	0	0.049	NA
"Atelidae"	"Cacajao calvus"	NA	2	NA	0.15	NA
"Atelidae"	"Callicebus moloch"	0	0	0	0.065	0.03
"Atelidae"	"Callicebus torquatus"	0	0	0	0.075	NA
"Atelidae"	"Cebus apella"	0	1	1	0.252	0.055
"Atelidae"	"Cebus capucinus"	0	1	1	0.267	NA
"Atelidae"	"Lagothrix lagotricha"	0	2	2	0.107	0.009
"Atelidae"	"Pithecia pithecia"	0	1	1	0.065	NA
"Atelidae"	"Saimiri sciureus"	1	1	2	0.236	0.063
"Callitrichidae"	"Callimico goeldii"	0	0	0	-0.034	0.053
"Callitrichidae"	"Callithrix jacchus"	1	1	2	0.079	0.058
"Callitrichidae"	"Cebuella pygmaea"	0	0	0	0.055	0.069
"Callitrichidae"	"Leontopithecus rosalia"	0	0	0	0.063	NA
"Callitrichidae"	"Saguinus fuscicollis"	0	1	1	0.04	NA
"Cercopithecidae"	"Cercocebus albigena"	0	0	0	0.054	0.014
"Cercopithecidae"	"Cercopithecus aethiops"	0	0	0	0.031	NA
"Cercopithecidae"	"Cercopithecus diana"	0	0	0	0.174	NA
"Cercopithecidae"	"Cercopithecus neglectus"	0	0	0	0.005	NA
"Cercopithecidae"	"Colobus badius"	0	0	0	-0.103	0.02
"Cercopithecidae"	"Colobus guereza"	0	1	1	-0.128	NA
"Cercopithecidae"	"Erythrocebus patas"	0	0	0	0.028	0.046
"Cercopithecidae"	"Macaca arctoides"	0	2	2	0.022	NA
"Cercopithecidae"	"Macaca fuscata"	0	0	0	-0.026	NA
"Cercopithecidae"	"Macaca mulatta"	0	0	0	0.113	0.032
"Cercopithecidae"	"Macaca nigra"	0	0	0	-0.014	NA
"Cercopithecidae"	"Macaca radiata"	0	1	1	0.077	NA
"Cercopithecidae"	"Mandrillus sphinx"	0	0	0	-0.018	NA
"Cercopithecidae"	"Papio anubis"	0	0	0	-0.063	0.011
"Cercopithecidae"	"Papio cynocephalus"	0	0	0	-0.007	NA
"Cercopithecidae"	"Papio hamadrayas"	0	0	0	-0.011	NA
"Cercopithecidae"	"Papio ursinus"	0	0	0	0.013	NA
"Cercopithecidae"	"Presbytis entellus"	0	0	0	0.001	NA
"Cercopithecidae"	"Presbytis johnii"	0	0	0	-0.222	NA
"Cercopithecidae"	"Pygathrix nemaeus"	1	1	2	0.003	0.007
"Cercopithecidae"	"Theropithecus gelada"	0	0	0	-0.081	NA
"Cheirogaleidae"	"Microcebus murinus"	0	0	0	-0.058	-0.026
"Cheirogaleidae"	"Phaner furcifer"	NA	1	NA	-0.086	NA
"Daubentoniidae"	"Daubentonia madagascariensis"	1	0	1	0.055	-0.083
"Hominidae"	"Gorilla gorilla"	0	1	1	-0.189	-0.035
"Hominidae"	"Homo sapiens"	1	2	3	0.427	-0.029
"Hominidae"	"Hylobates lar"	0	1	1	0.188	0.004
"Hominidae"	"Hylobates syndactylus"	0	1	1	0.009	NA
"Hominidae"	"Pan paniscus"	1	2	3	-0.08	NA
"Hominidae"	"Pan troglodytes"	1	2	3	0.104	-0.003
"Hominidae"	"Pongo pygmaeus"	1	0	1	-0.024	NA
"Indridae"	"Avahi laniger"	0	0	0	-0.316	-0.053
"Indridae"	"Avahi occidentalis"	0	0	0	-0.212	-0.05
"Indridae"	"Propithecus verreauxi"	0	1	1	-0.261	NA
"Lemuridae"	"Eulemur fulvus"	0	1	1	-0.149	-0.028
"Lemuridae"	"Eulemur mongoz"	0	0	0	-0.095	NA
"Lemuridae"	"Lemur catta"	0	1	1	-0.155	NA
"Lemuridae"	"Lepilemur mustelinus"	2	2	4	-0.112	NA
"Lemuridae"	"Varecia variegata"	0	1	1	-0.153	-0.073
"Loridae"	"Galago senegalensis"	0	2	2	0.03	-0.035
"Loridae"	"Galagoides demidovii"	1	NA	NA	0.129	-0.003
"Loridae"	"Loris tardigradus"	2	2	4	0.03	0.031
"Loridae"	"Nycticebus coucang"	2	2	4	-0.105	-0.027
"Loridae"	"Otolemur crassicaudatus"	0	2	2	-0.232	-0.053
"Loridae"	"Perodicticus potto"	2	2	4	-0.078	-0.048
"Tarsiidae"	"Tarsius spectrum"	0	1	1	-0.112	NA
"Tarsiidae"	"Tarsius syrichta"	1	0	1	0.081	NA
