"Species"	"Frontal_GM_L_cm3"	"Frontal_GM_R_cm3"	"Frontal_WM_L_cm3"	"Frontal_WM_R_cm3"	"Temporal_GM_L_cm3"	"Temporal_GM_R_cm3"	"Temporal_WM_L_cm3"	"Temporal_WM_R_cm3"	"ParOcc_GM_L_cm3"	"ParOcc_GM_R_cm3"	"ParOcc_WM_L_cm3"	"ParOcc_WM_R_cm3"	"Insula_L_cm3"	"Insula_R_cm3"	"Claustrum_L_cm3"	"Claustrum_R_cm3"	"CerebellumHem_L_cm3"	"CerebellumHem_R_cm3"	"CerebellumVermis_cm3"	"Amygdala_L_cm3"	"Amygdala_R_cm3"	"Hippocampus_L_cm3"	"Hippocampus_R_cm3"	"Striatum_L_cm3"	"Striatum_R_cm3"	"Thalamus_cm3"	"Cerebellum_mm3"	"Neocortex_GMWM_mm3"	"Neocortex_GM_mm3"	"Striatum_mm3"	"Hippocampus_mm3"	"Amygdala_mm3"	"Insula_mm3"	"Thalamus_mm3"	"subjects"	"digitized_from"	"source"
"Gorilla beringei"	30.5	30	21.5	21.5	14.5	15.5	8.5	9	29.5	33.5	19.5	19.5	1.3	1.2	1	1	19	19.5	6	0.6	0.6	1.5	1.5	4	4	5	44500	253000	153500	8000	3000	1200	2500	5000	"adults only"	"Fig 5A"	"Barks et al. 2014 AJPA 156:252-262, Fig 5A (mean structure volumes); values eye-digitized from the bar chart (approximate)"
"Gorilla gorilla"	30.5	29.5	24	21.5	13.5	15	8.5	9.5	33	34	24	23.5	1.4	1.3	1	1	24.5	24	7.5	0.7	0.6	2	1.8	4	4	5	56000	266500	155500	8000	3800	1300	2700	5000	"adults only"	"Fig 5A"	"Barks et al. 2014 AJPA 156:252-262, Fig 5A (mean structure volumes); values eye-digitized from the bar chart (approximate)"
