"species"	"group"	"Nucleus_septalis_triangularis"	"Corpus_subfornicale"	"Nucleus_habenularis_medialis"	"Corpus_pineal"	"Corpus_subcommissurale"	"source"
"Solenodon paradoxus"	"Insectivore"	0.87	0.083	2.08	1.27	0.0435	"Stephan_etal_1981_TableXIV"
"Tenrec ecaudatus"	"Insectivore"	0.704	0.124	0.988	0.48	0.0112	"Stephan_etal_1981_TableXIV"
"Setifer setosus"	"Insectivore"	0.329	0.06	0.426	0.445	0.0031	"Stephan_etal_1981_TableXIV"
"Hemicentetes semispinosus"	"Insectivore"	0.338	0.032	0.425	0.181	0.00382	"Stephan_etal_1981_TableXIV"
"Echinops telfairi"	"Insectivore"	0.338	0.029	0.365	0.243	0.000212	"Stephan_etal_1981_TableXIV"
"Oryzorictes talpoides"	"Insectivore"	0.331	0.018	0.257	0.051	0.000694	"Stephan_etal_1981_TableXIV"
"Microgale cowani"	"Insectivore"	0.216	0.0116	0.147	0.0152	0.00129	"Stephan_etal_1981_TableXIV"
"Limnogale mergulus"	"Insectivore"	0.602	0.0194	0.469	0.122	0.00202	"Stephan_etal_1981_TableXIV"
"Nesogale dobsoni"	"Insectivore"	0.28	0.0076	0.242	0.0356	0.00095	"Stephan_etal_1981_TableXIV"
"Nesogale talazaci"	"Insectivore"	0.378	0.0191	0.381	0.0894	0.00147	"Stephan_etal_1981_TableXIV"
"Potamogale velox"	"Insectivore"	1.1	0.089	1.45	0.00309	0.00174	"Stephan_etal_1981_TableXIV"
"Chlorotalpa stuhlmanni"	"Insectivore"	0.395	0.0191	0.38	0.096	0	"Stephan_etal_1981_TableXIV"
"Chrysochloris asiatica"	"Insectivore"	0.485	0.0147	0.449	0.0251	0.00811	"Stephan_etal_1981_TableXIV"
"Aethechinus algirus"	"Insectivore"	1.18	0.0621	0.93	0.297	0.0222	"Stephan_etal_1981_TableXIV"
"Erinaceus europaeus"	"Insectivore"	0.887	0.0592	1.17	0.423	0.0312	"Stephan_etal_1981_TableXIV"
"Elephantulus fuscipes"	"Insectivore"	0.289	0.0709	0.415	0.336	0.124	"Stephan_etal_1981_TableXIV"
"Rhynchocyon stuhlmanni"	"Insectivore"	0.937	0.0576	2.09	1.41	0.403	"Stephan_etal_1981_TableXIV"
"Sorex minutus"	"Insectivore"	0.07	0.00284	0.0586	0.00359	0.000265	"Stephan_etal_1981_TableXIV"
"Sorex araneus"	"Insectivore"	0.115	0.00326	0.0749	0.0102	0.00012	"Stephan_etal_1981_TableXIV"
"Neomys fodiens"	"Insectivore"	0.263	0.0069	0.205	0.027	0.000418	"Stephan_etal_1981_TableXIV"
"Crocidura occidentalis"	"Insectivore"	0.274	0.0186	0.2	0.0391	0.000576	"Stephan_etal_1981_TableXIV"
"Crocidura russula"	"Insectivore"	0.12	0.00986	0.134	0.0278	0.000766	"Stephan_etal_1981_TableXIV"
"Suncus murinus"	"Insectivore"	0.201	0.0148	0.168	0.0628	0.00223	"Stephan_etal_1981_TableXIV"
"Talpa europaea"	"Insectivore"	0.33	0.00857	0.366	0.0497	0.0102	"Stephan_etal_1981_TableXIV"
"Desmana moschata"	"Insectivore"	1.06	0.0352	1.05	0.459	0.0278	"Stephan_etal_1981_TableXIV"
"Galemys pyrenaicus"	"Insectivore"	0.444	0.0379	0.422	0.0707	0.00545	"Stephan_etal_1981_TableXIV"
