table	structure	subregion	species_printed	species	is_average	measure	value	sd	units	n_areas	reference
S16	Hippocampus	Hippocampus	mouse	Mus musculus	False	CMRgl	0.84	0.13	umol/g/min		Bouilleret et al 2000, CA1+CA3
S16	Hippocampus	Hippocampus	rat	Rattus norvegicus	False	CMRgl	0.6	0.05	umol/g/min		Waschke et al 1993, CA1+CA3
S16	Hippocampus	Hippocampus	rat	Rattus norvegicus	False	CMRgl	0.63	0.08	umol/g/min		Dube et al 2001, CA1+CA3
S16	Hippocampus	Hippocampus	rat	Rattus norvegicus	False	CMRgl	0.64	0.03	umol/g/min		Nehling et al 1988, dorsal + ventral
S16	Hippocampus	Hippocampus	rat	Rattus norvegicus	False	CMRgl	0.56	0.03	umol/g/min		Levant et al 2004
S16	Hippocampus	Hippocampus	rat	Rattus norvegicus	False	CMRgl	0.62	0.03	umol/g/min		Zocchi et al 2001, CA1+CA3
S16	Hippocampus	Hippocampus	average rat	Rattus norvegicus	True	CMRgl	0.61	0.04	umol/g/min		
S16	Hippocampus	Hippocampus	rabbit	Oryctolagus cuniculus	False	CMRgl	0.58	0.03	umol/g/min		Passero et al 1981
S16	Hippocampus	Hippocampus	cat	Felis catus	False	CMRgl	0.52	0.15	umol/g/min		Chugani et al 1991, dorsal + ventral
S16	Hippocampus	Hippocampus	cat	Felis catus	False	CMRgl	0.54	0.04	umol/g/min		Lydic et al 1991
S16	Hippocampus	Hippocampus	cat	Felis catus	False	CMRgl	0.57	0.05	umol/g/min		Sokoloff 1984
S16	Hippocampus	Hippocampus	average cat	Felis catus	True	CMRgl	0.54	0.1	umol/g/min		
S16	Hippocampus	Hippocampus	monkey	Macaca mulatta	False	CMRgl	0.32	0.05	umol/g/min		Noda et al 2002
S16	Hippocampus	Hippocampus	monkey	Macaca mulatta	False	CMRgl	0.37	0.02	umol/g/min		Porrino et al 2002
S16	Hippocampus	Hippocampus	monkey	Macaca mulatta	False	CMRgl	0.33	0.01	umol/g/min		Palombo et al 1990
S16	Hippocampus	Hippocampus	monkey	Macaca mulatta	False	CMRgl	0.39	0.02	umol/g/min		Kennedy et al 1978
S16	Hippocampus	Hippocampus	average monkey	Macaca mulatta	True	CMRgl	0.35	0.03	umol/g/min		
S16	Hippocampus	Hippocampus	baboon	Papio anubis	False	CMRgl	0.32	0.07	umol/g/min		Meguro et al 1999
S16	Hippocampus	Hippocampus	human	Homo sapiens	False	CMRgl	0.37	0.05	umol/g/min		Heiss et al 1985
S16	Hippocampus	Hippocampus	human	Homo sapiens	False	CMRgl	0.23	0.07	umol/g/min		Maquet et al 1992
S16	Hippocampus	Hippocampus	human	Homo sapiens	False	CMRgl	0.23	0.03	umol/g/min		Blin et al 1991
S16	Hippocampus	Hippocampus	average human	Homo sapiens	True	CMRgl	0.28	0.05	umol/g/min		
