table	structure	subregion	species_printed	species	is_average	measure	value	sd	units	n_areas	reference
S21	Globus pallidus	Globus pallidus	mouse	Mus musculus	False	CMRgl	0.76	0.03	umol/g/min		Bouilleret et al 2000
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	False	CMRgl	0.46	0.02	umol/g/min		Nehling et al 1988
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	False	CMRgl	0.42	0.04	umol/g/min		Dube et al 2001
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	False	CMRgl	0.45	0.05	umol/g/min		Waschke et al 1993
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	False	CMRgl	0.44	0.06	umol/g/min		Nehling et al 2000
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	False	CMRgl	0.57	0.05	umol/g/min		Zocchi et al 2001
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	False	CMRgl	0.44	0.04	umol/g/min		Levant et al 2004
S21	Globus pallidus	Globus pallidus	average rat	Rattus norvegicus	True	CMRgl	0.46	0.04	umol/g/min		
S21	Globus pallidus	Globus pallidus	rabbit	Oryctolagus cuniculus	False	CMRgl	0.42	0.02	umol/g/min		Passero et al 1981
S21	Globus pallidus	Globus pallidus	cat	Felis catus	False	CMRgl	0.38	0.04	umol/g/min		Schwartzman et al 1986
S21	Globus pallidus	Globus pallidus	cat	Felis catus	False	CMRgl	0.44	0.1	umol/g/min		Chugani et al 1991
S21	Globus pallidus	Globus pallidus	cat	Felis catus	False	CMRgl	0.36	0.02	umol/g/min		Sokoloff 1984
S21	Globus pallidus	Globus pallidus	average cat	Felis catus	True	CMRgl	0.39	0.05	umol/g/min		
S21	Globus pallidus	Globus pallidus	monkey	Macaca mulatta	False	CMRgl	0.31	0.04	umol/g/min		Porrino et al 2002
S21	Globus pallidus	Globus pallidus	monkey	Macaca mulatta	False	CMRgl	0.26	0.02	umol/g/min		Kennedy et al 1978
S21	Globus pallidus	Globus pallidus	monkey	Macaca mulatta	False	CMRgl	0.27	0.02	umol/g/min		Palombo et al 1990
S21	Globus pallidus	Globus pallidus	average monkey	Macaca mulatta	True	CMRgl	0.28	0.03	umol/g/min		
