table	structure	subregion	species_printed	species	is_average	measure	value	sd	units	n_areas	reference
S8	Sensorimotor cortex	Sensorimotor cortex	mouse	Mus musculus	False	CMRgl	1.21	0.09	umol/g/min		Bouilleret et al 2000
S8	Sensorimotor cortex	Sensorimotor cortex	rat	Rattus norvegicus	False	CMRgl	0.84	0.13	umol/g/min		Dube et al 2001
S8	Sensorimotor cortex	Sensorimotor cortex	rat	Rattus norvegicus	False	CMRgl	0.89	0.07	umol/g/min		Waschke et al 1993
S8	Sensorimotor cortex	Sensorimotor cortex	rat	Rattus norvegicus	False	CMRgl	0.9	0.07	umol/g/min		Zocchi et al 2001
S8	Sensorimotor cortex	Sensorimotor cortex	rat	Rattus norvegicus	False	CMRgl	0.9	0.09	umol/g/min		Nehlig et al 2000
S8	Sensorimotor cortex	Sensorimotor cortex	average rat	Rattus norvegicus	True	CMRgl	0.88	0.09	umol/g/min		
S8	Sensorimotor cortex	Sensorimotor cortex	rabbit	Oryctolagus cuniculus	False	CMRgl	0.83	0.07	umol/g/min		Passero et al 1981
S8	Sensorimotor cortex	Sensorimotor cortex	cat	Felis catus	False	CMRgl	0.64	0.03	umol/g/min		Sokoloff 1984
S8	Sensorimotor cortex	Sensorimotor cortex	monkey	Macaca mulatta	False	CMRgl	0.44	0.03	umol/g/min		Kennedy et al 1978
S8	Sensorimotor cortex	Sensorimotor cortex	baboon	Papio anubis	False	CMRgl	0.49	0.08	umol/g/min		Meguro et al 1999
S8	Sensorimotor cortex	Sensorimotor cortex	human	Homo sapiens	False	CMRgl	0.42	0.03	umol/g/min		Heiss et al 1985
S8	Sensorimotor cortex	Sensorimotor cortex	human	Homo sapiens	False	CMRgl	0.33	0.03	umol/g/min		Blin et al 1991
S8	Sensorimotor cortex	Sensorimotor cortex	average human	Homo sapiens	True	CMRgl	0.38	0.03	umol/g/min		
