accepted_name,source_publication,variant_name
Acrobates pygmaeus,Ashwell2020,Acrobates pygmaeus
Aepyprymnus rufescens,Ashwell2020,Aepyprymnus rufescens
Ailurus fulgens,Ashwell2020,Ailurus fulgens
Alouatta palliata,Ashwell2020,Alouatta palliata
Antechinomys laniger,Ashwell2020,Antechinomys laniger
Antechinus flavipes,Ashwell2020,Antechinus flavipes
Antechinus minimus,Ashwell2020,Antechinus minimus
Antechinus swainsonii,Ashwell2020,Antechinus swainsonii
Aotus trivirgatus,Ashwell2020,Aotus trivirgata
Aplodontia rufa,Ashwell2020,Aplodontia rufa
Bassariscus astutus,Ashwell2020,Bassariscus astutus
Bettongia gaimardi,Ashwell2020,Bettongia gaimardi
Bos taurus indicus,Ashwell2020,Bos taurus indicus
Burramys parvus,Ashwell2020,Burramys parvus
Callicebus moloch,Ashwell2020,Callicebus moloch
Callithrix jacchus,Ashwell2020,Callithrix jacchus
Caluromys derbianus,Ashwell2020,Caluromys derbianus
Canis lupus familiaris,Ashwell2020,Canis familiaris
Capra hircus domestica,Ashwell2020,Capra hircus domestica
Castor canadensis,Ashwell2020,Castor canadensis
Cavia porcellus,Ashwell2020,Cavia porcellus
Cebus capucinus,Ashwell2020,Cebus capucinus
Cercartetus lepidus,Ashwell2020,Cercartetus lepidus
Cercartetus nanus,Ashwell2020,Cercartetus nanus
Cercartetus concinnus,Ashwell2020,Cercarteus concinnus
Chinchilla laniger,Ashwell2020,Chincella lanigera
Choloepus didactylus,Ashwell2020,Choloepus didactylus
Crocuta crocuta,Ashwell2020,Crocuta crocuta
Cynictis penicillata,Ashwell2020,Cynictis penicillata
Cynocephalus volans,Ashwell2020,Cynocephalus volans
Dasycercus blythi,Ashwell2020,Dasycercus blythi
Dasykaluta rosamundae,Ashwell2020,Dasykaluta rosamundae
Dasypus novemcinctus,Ashwell2020,Dasypus novemcinctus
Dasyuroides byrnei,Ashwell2020,Dasyuroides byrnei
Dasyurus geoffroyi,Ashwell2020,Dasyurus geoffroyi
Dasyurus hallucatus,Ashwell2020,Dasyurus hallucatus
Dasyurus maculatus,Ashwell2020,Dasyurus maculatus
Dasyurus viverrinus,Ashwell2020,Dasyurus viverrinus
Dendrolagus goodfellowi,Ashwell2020,Dendrolagus goodfellowi
Dendrolagus lumholtzi,Ashwell2020,Dendrolagus lumholtzi
Didelphis albiventris,Ashwell2020,Didelphis albiventris
Didelphis marsupialis,Ashwell2020,Didelphis marsupialis
Didelphis virginiana,Ashwell2020,Didelphis virginiana
Distoechurus pennatus,Ashwell2020,Distoechurus pennatus
Dorcopsis luctuosa,Ashwell2020,Dorcopsis luctuosa
Dromiciops gliroides,Ashwell2020,Dromiciops gliroides
Echymipera kalubu,Ashwell2020,Echymipera kalubu
Elephantulus myurus,Ashwell2020,Elephantulus myurus
Equus burchelli,Ashwell2020,Equus quagga burchellii
Erinaceus europaeus,Ashwell2020,Erinaceus europaeus
Erethizon dorsatum,Ashwell2020,Erithizon dorsatum
Eulemur mongoz,Ashwell2020,Eulemur mongoz
Felis catus,Ashwell2020,Felis cattus
Galictis vittatus,Ashwell2020,Galictis vittata
Gymnobelideus leadbeateri,Ashwell2020,Gymnobelideus leadbeateri
Hemibelideus lemuroides,Ashwell2020,Hemibelideus lemuroides
Hypsiprymnodon moschatus,Ashwell2020,Hypsiprymnodon moschatus
Isoodon macrourus,Ashwell2020,Isoodon macrourus
Isoodon obesulus,Ashwell2020,Isoodon obesulus
Lagorchestes conspicillatus,Ashwell2020,Lagorchestes conspicillatus
Lama glama,Ashwell2020,Lama glama
Lasiorhinus latifrons,Ashwell2020,Lasiorhinus latifrons
Macropus agilis,Ashwell2020,Macropus agilis
Macropus antilopinus,Ashwell2020,Macropus antilopinus
Macropus bernardus,Ashwell2020,Macropus bernardus
Macropus dorsalis,Ashwell2020,Macropus dorsalis
Macropus eugenii,Ashwell2020,Macropus eugenii
Macropus irma,Ashwell2020,Macropus irma
Notamacropus parma,Ashwell2020,Macropus parma
Macropus parryi,Ashwell2020,Macropus parryi
Osphranter rufus,Ashwell2020,Macropus rufus
Mandrillus sphinx,Ashwell2020,Mandrillus sphinx
Marmosa impavida,Ashwell2020,Marmosa impavida
Monodelphis brevicaudata,Ashwell2020,Monodelphis brevicaudata
Mustela erminea,Ashwell2020,Mustela erminea
Mustela putorius,Ashwell2020,Mustela putorius
Myrmecophaga tridactyla,Ashwell2020,Myrmecophagia tridactyla
Nasua narica,Ashwell2020,Nasua narica
Mustela vison,Ashwell2020,Neovison vison
Odocoileus virginianus,Ashwell2020,Odocoileus virginianus
Onychogalea fraenata,Ashwell2020,Onychogalea fraenata
Onychogalea unguifera,Ashwell2020,Onychogalea unguifera
Ornithorhynchus anatinus,Ashwell2020,Ornithorhynchus anatinus
Oryctolagus cuniculus,Ashwell2020,Oryctolagus cuniculus
Pan troglodytes,Ashwell2020,Pan troglodytes
Panthera leo,Ashwell2020,Panthera leo
Tayassu tajacu,Ashwell2020,Pecaru tacaju
Perameles gunnii,Ashwell2020,Perameles gunnii
Perameles nasuta,Ashwell2020,Perameles nasuta
Perodicticus potto,Ashwell2020,Perodicticus potto
Petaurus australis,Ashwell2020,Petaurus australis
Petaurus norfolcensis,Ashwell2020,Petaurus norfolcensis
Petrogale brachyotis,Ashwell2020,Petrogale brachyotis
Petrogale concinna,Ashwell2020,Petrogale concinna
Petrogale godmani,Ashwell2020,Petrogale godmani
Petrogale herberti,Ashwell2020,Petrogale herberti
Petrogale inornata,Ashwell2020,Petrogale inornata
Petrogale lateralis,Ashwell2020,Petrogale lateralis
Petrogale penicillata,Ashwell2020,Petrogale penicillata
Petrogale puella (assimilis),Ashwell2020,Petrogale puella (assimilis)
Petrogale purpureicollis,Ashwell2020,Petrogale purpureicollis
Petropseudes dahli,Ashwell2020,Petropseudes dahli
Phalanger gymnotis,Ashwell2020,Phalanger gymnotis
Phalanger maculatus,Ashwell2020,Phalanger maculatus
Phalanger vestitus,Ashwell2020,Phalanger vestitus
Phascogale tapoatafa,Ashwell2020,Phascogale tapoatafa
Phascolarctos cinereus,Ashwell2020,Phascolarctos cinereus
Phoca vitulina,Ashwell2020,Phoca vitulina
Planigale maculata,Ashwell2020,Planigale maculata
Potorous tridactylus,Ashwell2020,Potorous tridactylus
Procavia capensis,Ashwell2020,Procavia capensis
Pseudantechinus bilarni,Ashwell2020,Pseudantechinus bilarni
Pseudocheirus canescens,Ashwell2020,Pseudocheirus canescens
Pseudocheirus cinereus,Ashwell2020,Pseudocheirus cinereus
Pseudocheirus forbesi,Ashwell2020,Pseudocheirus forbesi
Pseudocheirus peregrinus,Ashwell2020,Pseudocheirus peregrinus
Pseudochirops archeri,Ashwell2020,Pseudochirops archeri
Pseudochirops cupreus,Ashwell2020,Pseudochirops cupreus
Pseudochirulus herbertensis,Ashwell2020,Pseudochirulus herbertensis
Pteropus giganteus,Ashwell2020,Pteropus giganteus
Rhyncholestes raphanurus,Ashwell2020,Rhyncholestes raphanurus
Saimiri sciureus,Ashwell2020,Saimiri sciureus
Sarcophilus harrisii,Ashwell2020,Sarcophilus harissii
Scalopus aquaticus,Ashwell2020,Scalopus aquaticus
Sciurus carolinensis,Ashwell2020,Sciurus carolinensis
Semnopithecus entellus,Ashwell2020,Semnopithecus entellus
Sminthopsis crassicaudata,Ashwell2020,Sminthopsis crassicaudata
Sminthopsis leucopus,Ashwell2020,Sminthopsis leucopus
Sminthopsis murina,Ashwell2020,Sminthopsis murina
Sorex araneus,Ashwell2020,Sorex araneus
Sus scrofa domesticus,Ashwell2020,Sus scrofa domesticus
Tachyglossus aculeatus,Ashwell2020,Tachyglossus aculeatus
Tamandua tetradactyla,Ashwell2020,Tamandua tetradactyla
Tarsipes rostratus,Ashwell2020,Tarsipes rostratus
Taxidea taxus,Ashwell2020,Taxidea taxus
Tenrec ecaudatus,Ashwell2020,Tenrec ecaudatus
Thomomys talpoides,Ashwell2020,Thomomys talpoides
Thylamys elegans,Ashwell2020,Thylamys elegans
Thylogale stigmatica,Ashwell2020,Thylogale stigmatica
Thylogale thetis,Ashwell2020,Thylogale thetis
Trichechus manatus latirostris,Ashwell2020,Trichechus manatus latirostris
Trichosurus arnhemensis,Ashwell2020,Trichosurus arnhemensis
Trichosurus caninus,Ashwell2020,Trichosurus caninus
Tupaia glis,Ashwell2020,Tupaia glis
Tursiops truncatus,Ashwell2020,Tursiops truncatus
Ursus maritimus,Ashwell2020,Ursus maritimus
Vombatus ursinus,Ashwell2020,Vombatus ursinus
Wallabia bicolor,Ashwell2020,Wallabia bicolor
Zaglossus bruijnii,Ashwell2020,Zaglossus bruijnii
Zalophus californianus,Ashwell2020,Zalophus californianus
