accepted_name,source_publication,variant_name,category,suggested_accepted_name,review_note
Acrobates pygmaeus,Ashwell2020,Acrobates pygmaeus,new_species,,
Aepyprymnus rufescens,Ashwell2020,Aepyprymnus rufescens,new_species,,
Ailurus fulgens,Ashwell2020,Ailurus fulgens,canonical,,
Alouatta palliata,Ashwell2020,Alouatta palliata,canonical,,"reident.csv[proposed] proposes -> alouatta seniculus (value-match; likely coincidence, verify)"
Antechinomys laniger,Ashwell2020,Antechinomys laniger,new_species,,
Antechinus flavipes,Ashwell2020,Antechinus flavipes,new_species,,
Antechinus minimus,Ashwell2020,Antechinus minimus,new_species,,
Antechinus swainsonii,Ashwell2020,Antechinus swainsonii,new_species,,
Aotus trivirgata,Ashwell2020,Aotus trivirgata,likely_typo,Aotus trivirgatus,possible typo of 'Aotus trivirgatus' — verify; if so set accepted_name to it
Aplodontia rufa,Ashwell2020,Aplodontia rufa,canonical,,
Bassariscus astutus,Ashwell2020,Bassariscus astutus,new_species,,
Bettongia gaimardi,Ashwell2020,Bettongia gaimardi,new_species,,
Bos taurus indicus,Ashwell2020,Bos taurus indicus,new_species,,
Burramys parvus,Ashwell2020,Burramys parvus,new_species,,
Callicebus moloch,Ashwell2020,Callicebus moloch,canonical,,
Callithrix jacchus,Ashwell2020,Callithrix jacchus,canonical,,
Caluromys derbianus,Ashwell2020,Caluromys derbianus,new_species,,
Canis lupus familiaris,Ashwell2020,Canis familiaris,canonical,,curated synonym -> Canis lupus familiaris
Capra hircus domestica,Ashwell2020,Capra hircus domestica,new_species,,
Castor canadensis,Ashwell2020,Castor canadensis,new_species,,
Cavia porcellus,Ashwell2020,Cavia porcellus,canonical,,
Cebus capucinus,Ashwell2020,Cebus capucinus,new_species,,
Cercartetus lepidus,Ashwell2020,Cercartetus lepidus,new_species,,
Cercartetus nanus,Ashwell2020,Cercartetus nanus,new_species,,
Cercarteus concinnus,Ashwell2020,Cercarteus concinnus,new_species,,
Chincella lanigera,Ashwell2020,Chincella lanigera,likely_typo,Chinchilla laniger,possible typo of 'Chinchilla laniger' — verify; if so set accepted_name to it
Choloepus didactylus,Ashwell2020,Choloepus didactylus,canonical,,
Crocuta crocuta,Ashwell2020,Crocuta crocuta,canonical,,
Cynictis penicillata,Ashwell2020,Cynictis penicillata,canonical,,
Cynocephalus volans,Ashwell2020,Cynocephalus volans,new_species,,
Dasycercus blythi,Ashwell2020,Dasycercus blythi,new_species,,
Dasykaluta rosamundae,Ashwell2020,Dasykaluta rosamundae,new_species,,
Dasypus novemcinctus,Ashwell2020,Dasypus novemcinctus,new_species,,
Dasyuroides byrnei,Ashwell2020,Dasyuroides byrnei,new_species,,
Dasyurus geoffroyi,Ashwell2020,Dasyurus geoffroyi,new_species,,
Dasyurus hallucatus,Ashwell2020,Dasyurus hallucatus,new_species,,
Dasyurus maculatus,Ashwell2020,Dasyurus maculatus,new_species,,
Dasyurus viverrinus,Ashwell2020,Dasyurus viverrinus,new_species,,
Dendrolagus goodfellowi,Ashwell2020,Dendrolagus goodfellowi,canonical,,
Dendrolagus lumholtzi,Ashwell2020,Dendrolagus lumholtzi,new_species,,
Didelphis albiventris,Ashwell2020,Didelphis albiventris,new_species,,
Didelphis marsupialis,Ashwell2020,Didelphis marsupialis,canonical,,
Didelphis virginiana,Ashwell2020,Didelphis virginiana,new_species,,
Distoechurus pennatus,Ashwell2020,Distoechurus pennatus,new_species,,
Dorcopsis luctuosa,Ashwell2020,Dorcopsis luctuosa,new_species,,
Dromiciops gliroides,Ashwell2020,Dromiciops gliroides,new_species,,
Echymipera kalubu,Ashwell2020,Echymipera kalubu,new_species,,
Elephantulus myurus,Ashwell2020,Elephantulus myurus,canonical,,
Equus quagga burchellii,Ashwell2020,Equus quagga burchellii,new_species,,
Erinaceus europaeus,Ashwell2020,Erinaceus europaeus,canonical,,
Erithizon dorsatum,Ashwell2020,Erithizon dorsatum,new_species,,
Eulemur mongoz,Ashwell2020,Eulemur mongoz,canonical,,
Felis cattus,Ashwell2020,Felis cattus,likely_typo,Felis catus,possible typo of 'Felis catus' — verify; if so set accepted_name to it
