Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species_Frahm1997,species as printed in Frahm et al. 1997,,,info,,,Frahm_etal_1997_Table1,"Spalax ehrenbergi, Rattus norvegicus + insectivores; taxonomy via ../_keys/Stephan/",
body_weight_g,Body weight (Mass.g),Body_weight,Mass.g,,secondary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
brain_weight_mg,Brain weight (Mass.mg),Brain_weight,Mass.mg,,secondary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Cerebellum_mm3,Cerebellum (Vol.mm3),Cerebellum,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Diencephalon_mm3,Diencephalon (Vol.mm3),Diencephalon,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Telencephalon_mm3,Telencephalon (Vol.mm3),Telencephalon,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Bulbus_olfactorius_mm3,Bulbus olfactorius (Vol.mm3),Bulbus_olfactorius,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Septum_mm3,Septum (Vol.mm3),Septum,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Striatum_mm3,Striatum (Vol.mm3),Striatum,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Schizo_cortex_mm3,Schizo cortex (Vol.mm3),Schizo_cortex,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Hippocampus_mm3,Hippocampus (Vol.mm3),Hippocampus,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Neocortex_mm3,Neocortex (Vol.mm3),Neocortex,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Palaeocortex_mm3,Palaeocortex (Vol.mm3),Palaeocortex,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
Amygdala_mm3,Amygdala (Vol.mm3),Amygdala,Vol.mm3,,primary,Rodentia & Insectivora,Frahm_etal_1997_Table1,,
