"taxa_group","common_name","Species","play_specific","vocalisation_name","acoustic_descriptors","reference","figure1_feature_category","loud_play_vocalisation","source"
"Great apes","Human","Homo sapiens","No","Laughter","Loud or quiet, tonal and noisy, high and low frequency, short, rhythmic and single","Bachorowski et al. (2001)","panting_heavy_breathing","Y","Winkler_Bryant_2021"
"Great apes","Chimpanzee","Pan troglodytes","Yes","'staccato, throaty panting,' laughter","Quiet, tonal and noisy, short, low frequency, rhythmic","Van Lawick-Goodall (1968); Marler and Tenaza (1977); Van Hooff and Preuschoft (2003); Matsusaka (2004)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Great apes","Bonobo","Pan paniscus","Yes","Panting laugh; laughter","Quiet, noisy, low frequency, short, rhythmic (irregular)","de Waal (1988); Förderreuther and Zimmermann (2003)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Great apes","Western lowland gorilla","Gorilla gorilla gorilla","Yes","Panting chuckle","Quiet, low frequency, short, rhythmic","Salmi et al. (2013)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Great apes","Mountain gorilla","Gorilla beringei beringei","Yes","Panting chuckle (a-a-a-a)","Quiet, noisy, low frequency, short, rhythmic","Schaller (1963); Fossey (1972)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Great apes","Sumatran orangutan","Pongo abelii","Yes","'ahh,' play-grunt, laughter","Quiet, low frequency, short, rhythmic","Rijksen (1978)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Great apes","Bornean orangutan","Pongo pygmaeus","Yes","Laughter","Quiet, low frequency, short, rhythmic","Chevalier-Skolnikoff (1982), Davila Ross (2007)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Lesser apes","White-handed gibbon","Hylobates lar","Unclear","Low frequency vocalisations","Low frequency","Davila Ross (2007)","none","N","Winkler_Bryant_2021"
"Lesser apes","Siamang","Symphalangus syndactylus","Unclear","Low frequency vocalisations","Low frequency","Davila Ross (2007)","none","N","Winkler_Bryant_2021"
"Old world monkeys","Olive baboon","Papio anubis","Yes","Voiceless chuckles; play chuckle","Quiet, noisy","Smuts (1985); Lewis (2005)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Old world monkeys","Hamadryas baboon","Papio hamadryas","Yes","Coughs","Quiet, noisy, low frequency, short, rhythmic","Kummer and Kurt (1965); Aldis (1975); Leresche (1976)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Old world monkeys","Vervet monkey","Chlorocebus aethiops","Yes","Panting; purr","Quiet, low frequency","Struhsaker (1967); Fedigan (1972); Masataka and Kohda (1988)","mixed","N","Winkler_Bryant_2021"
"Old world monkeys","Patas monkey","Erythrocebus patas","Unclear","Nickering","Quiet","Hall (1965)","none","N","Winkler_Bryant_2021"
"Old world monkeys","Barbary macaque","Macaca sylvanus","Yes","Low intensity voiced breathing; chuckle","Quiet, noisy, rhythmic","Preuschoft (1992); Kipper and Todt (2002); Vettin and Todt (2005)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Old world monkeys","Rhesus macaque","Macaca mulatta","Yes","Panting","Quiet, noisy","Symons (1978)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Old world monkeys","Moor macaque","Macaca maura","Unclear","Chattering","Quiet","Aldis (1975)","none","N","Winkler_Bryant_2021"
"Old world monkeys","Japanese macaque","Macaca fuscata","Unclear",NA,NA,"Itani (1965) as described in Goedeking and Immelmann (1986)","none","N","Winkler_Bryant_2021"
"Old world monkeys","Northern plains grey langur/Hanuman langur","Semnopithecus entellus","Unclear","Heavy breathing","Quiet, noisy","Sugiyama (1965)","none","N","Winkler_Bryant_2021"
"Old world monkeys","King colobus","Colobus polykomos","Yes","Smacking",NA,"Kirchshofer (1960) as described in Aldis (1975)","none","N","Winkler_Bryant_2021"
"Old world monkeys","Silver leaf monkey/Silver lutung","Trachypithecus cristatus","Yes","peep-like or squeal-like","tonal, high frequency","Masataka and Kohda (1988)","high_pitched_tonal","N","Winkler_Bryant_2021"
"Old world monkeys","François' leaf monkey/François' langur","Trachypithecus francoisi","Yes","Peep-like or squeal-like","Tonal, high frequency","Masataka and Kohda (1988)","high_pitched_tonal","N","Winkler_Bryant_2021"
"Old world monkeys","John's leaf monkey/Nilgiri langur","Trachypithecus johnii","Unclear","Peep-like or squeal-like","Tonal, high frequency","Poirier (1970)","high_pitched_tonal","N","Winkler_Bryant_2021"
"New world monkeys","Golden-backed uakari","Cacajao melanocephalus","Yes","Reco call, ähh call","Reco: short, single or series; ähh: quiet, noisy, short, single","Bezerra et al. (2010)","panting_heavy_breathing","N","Winkler_Bryant_2021"
