"Species","Reference","n","Anesthesia","Mode","Region","CMRgl_umol_100g_min","CMRgl_SD","CMRO2_umol_100g_min","CMRO2_SD","CBF_ml_100g_min","CBF_SD","source"
"Homo","(Alkire et al., 1995)",6,"none","PET","Whole Brain (direct measurement)",29,8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Blomqvist et al., 1994)",3,"none","PET","Whole Brain (direct measurement)",25.7,NA,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Delvenne etal., 1997)",10,"none","PET","Whole Brain (direct measurement)",24.65,2.58,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Hasselbalch et al., 1994)",9,"none","PET","Whole Brain (direct measurement)",30.7,5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Heiss et al., 1985)",6,"none","PET","Whole Brain (direct measurement)",36.2,2.38,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Kaye et al., 1990)",12,"none","PET","Whole Brain (direct measurement)",29.25,3.4,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Phillips et al., 1991)",14,"none","PET","Whole Brain (direct measurement)",34.5,6.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Reivich et al., 1979)",2,"none","PET","Whole Brain (direct measurement)",32.75,NA,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Rudolf et al., 2000)",16,"none","PET","Whole Brain (direct measurement)",35.2,4.9,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Tommasino et al., 1995)",10,"none","PET","Whole Brain (direct measurement)",37.3,5.16,NA,NA,NA,NA,"Kaufman__2004"
"Homo","Present Study",5,"none","PET","Whole Brain (direct measurement)",26.8,4.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Kuhl et al., 1982)",25,"none","PET","Whole Brain (direct measurement)",28,6.3,147,15,NA,NA,"Kaufman__2004"
"Homo","(Bednarczyk et al., 1992)",6,"none","PET","Whole Brain (direct measurement)",27.2,2.8,147.3,43.7,41.4,4.7,"Kaufman__2004"
"Homo","(Blomqvist et al., 1990)",7,"none","PET","Whole Brain (direct measurement)",28.3,4.3,152.7,11.6,50.2,6.7,"Kaufman__2004"
"Homo","(Cohen et al., 1964)",10,"Halothane","Kety-Schmidt","Whole Brain (direct measurement)",23.03,2.8,125,NA,50.8,NA,"Kaufman__2004"
"Homo","(Cohen et al., 1967)",9,"none","Kety-Schmidt","Whole Brain (direct measurement)",24.87,1.6,134.82,6.7,44.97,2.19,"Kaufman__2004"
"Homo","(Dastur, 1985)",15,"none","Kety-Schmidt","Whole Brain (direct measurement)",33.3,3.9,156.7,9.4,62.1,2.9,"Kaufman__2004"
"Homo","(Hoyer et al., 1984)",15,"none","PET","Whole Brain (direct measurement)",27.59,NA,158.04,NA,52.9,NA,"Kaufman__2004"
"Homo","(Jobes et al., 1977)",6,"none","PET","Whole Brain (direct measurement)",23,3.7,144.2,41.5,48.2,10.8,"Kaufman__2004"
"Homo","(Madsen et al., 1995)",8,"none","PET","Whole Brain (direct measurement)",23.3,2.4,142.5,18.9,50.6,4.9,"Kaufman__2004"
"Homo","(Mielck et al., 1998)",9,"none","PET","Whole Brain (direct measurement)",22.2,3.9,147.3,31.3,45,10,"Kaufman__2004"
"Homo","(Mielck et al., 1998)",9,"Desflurane","PET","Whole Brain (direct measurement)",14.4,3.9,71.4,8.9,35,6,"Kaufman__2004"
"Homo","(Ogawaetal., 1996)",7,"none","PET","Whole Brain (direct measurement)",24.9,7.21,136.74,31.69,42.54,2.19,"Kaufman__2004"
"Homo","(Redies et al., 1989)",4,"none","PET","Whole Brain (direct measurement)",29,2,154,24,43,12,"Kaufman__2004"
"Homo","(Scheinberg and Stead, 1949)",20,"none","PET","Whole Brain (direct measurement)",34.4,7.8,169.2,24.6,64.7,12.1,"Kaufman__2004"
