Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Brooks et al., 1987)",27,none,PET,13.8,2.3,,,,
Homo,"(Duara et al., 1983)",18,none,PET,15.2,3.7,,,,
Homo,"(Mazziotta et al., 1981)",7,none,PET,29.0,7.7,,,,
Homo,"(Tedeschi et al., 1995)",11,none,PET,14.0,2.5,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,21.2,1.3,,,,
Homo,"(Kuhl et al., 1979)",8,none,PET,20.5,3.9,,,,
Homo,"(Kuhl et al., 1982)",25,none,PET,16.7,3.7,,,,
Homo,Present Study,5,none,PET,21.0,2.0,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,12.7,3.5,,,,
Homo,"(Redies et al., 1989)",4,none,PET,25.0,1.0,,,,
Homo,"(Hatazawa et al., 1988)",7,none,PET,14.8,2.7,85.3,5.8,28.6,2.9
Homo,"(Sasaki et al., 1986)",7,none,PET,17.8,1.5,64.6,10.0,19.3,2.2
Homo,"(Yamaki et al., 1996)",20,none,PET,27.2,4.4,89.3,13.4,25.0,4.0
Homo,"(Leenders et al., 1990)",34,none,PET,,,63.8,10.7,22.2,4.9
Homo,"(Lenzi et al., 1981)",27,none,PET,,,82.1,15.2,21.2,2.7
Homo,"(Pantano et al., 1984)",18,none,PET,,,84.8,13.4,24.5,4.1
Homo,"(Tohgi et al., 1998)",6,none,PET,,,62.5,11.2,23.0,5.0
Homo,"(Wessen et al., 1997)",6,none,PET,,,66.0,11.0,18.0,2.0
Homo,"(Yamaguchi et al., 1986)",14,none,PET,,,68.8,8.5,21.0,5.4
Homo,"(Frackowiak et al., 1988)",7,none,PET,,,80.8,9.8,21.4,1.9
Homo,"(Seitz and Roland, 1992)",26,none,PET,,,,,29.6,8.7
Papio,Present Study,2,N 20,PET,14.6,3.1,,,,
M mulatta,"(Palombo et al., 1988)",3,none,Sokoloff,11.0,1.0,,,,
M mulatta,"(Palombo et al., 1990)",4,none,Sokoloff,11.0,1.0,,,,
M mulatta,"(Palombo et al., 1991)",4,none,Sokoloff,11.3,1.0,,,,
M mulatta,"(Porrino et al., 1987)",3,none,Sokoloff,11.5,0.0,,,,
M mulatta,"(Enlund et al., 1997)",4,"Ketamine, N 20",PET,,,128.0,12.0,33.5,8.0
M fascic,"(Kennedy et al., 1978)",7,none,Sokoloff,12.0,1.0,,,,
M fascic,"(Lyons et al., 1996)",3,none,Sokoloff,18.5,2.5,,,,
Saimiri,"(Delgado-Zygmunt et al., 1993)",4,"Fentanyl, N 20",Sokoloff,25.0,3.0,,,35.0,3.0
Sus,"(Miller et al., 1987)",4,Pentobarbital,Microspheres,,,,,19.0,5.0
Sus,"(Manohar, 1986)",6,none,Microspheres,,,,,33.6,1.8
Sus,"(Manohar, 1986)",6,Sevoflurane,Microspheres,,,,,27.9,1.5
Sus,"(Manohar, 1986)",6,Sevoflurane,Microspheres,,,,,29.7,2.3
Lepus,"(Passero et al., 1981)",5,none,Sokoloff,26.1,2.5,,,,
Felis,"(Petitjean et al., 1982)",4,none,Sokoloff,12.0,1.0,,,,
Felis,"(Triolo et al., 1990)",6,N 20,Sokoloff,13.5,0.6,,,,
Meriones,"(Mies et al., 1984)",2,none,Sokoloff,,,,,62.0,12.0
Rattus,"(Bassant etal., 1996)",7,none,Sokoloff,28.0,1.0,,,,
Rattus,"(Bassant et al., 1996)",8,none,Sokoloff,25.0,3.0,,,,
Rattus,"(Bryan etal., 1983)",6,none,Sokoloff,37.5,6.1,,,,
Rattus,"(Bryan and Lehman, 1988)",10,none,Sokoloff,43.0,9.5,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,31.0,1.0,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,33.5,3.0,,,,
Rattus,"(Crosby et al., 1982)",8,none,Sokoloff,34.5,4.2,,,,
Rattus,"(Dam etal., 1990)",5,none,Sokoloff,23.5,8.9,,,,
Rattus,"(Davis et al., 1986)",10,none,Sokoloff,50.5,12.3,,,,
Rattus,"(Dow-Edwards et al., 1986)",4,none,Sokoloff,29.5,3.0,,,,
Rattus,"(Duelli et al., 2000)",5,none,Sokoloff,26.5,2.1,,,,
Rattus,"(Eintrei et al., 1999)",6,none,Sokoloff,37.0,2.4,,,,
Rattus,"(Freedland et al., 2002)",5,none,Sokoloff,31.3,2.2,,,,
Rattus,"(Frietsch et al., 2000)",12,none,Sokoloff,26.5,4.5,,,,
Rattus,"(Frietsch et al., 2000)",12,Isoflurane,Sokoloff,13.0,5.0,,,,
Rattus,"(Furlow etal., 1983)",5,none,Sokoloff,31.0,8.0,,,,
Rattus,"(Grome and McCulloch, 1981)",16,none,Sokoloff,32.0,3.0,,,,
Rattus,"(Grome and McCulloch, 1983)",6,none,Sokoloff,32.0,4.7,,,,
Rattus,"(Hakim etal., 1983)",7,none,Sokoloff,37.0,4.0,,,,
Rattus,"(Hawkins et al., 1979)",19,none,Sokoloff,36.5,8.7,,,,
Rattus,"(Hawkins et al., 1985)",9,none,Sokoloff,53.0,9.5,,,,
Rattus,"(Kadekaro et al., 1983)",7,none,Sokoloff,31.0,2.6,,,,
Rattus,"(Lear etal., 1981)",4,none,Sokoloff,33.0,6.0,,,35.0,
Rattus,"(Lenz et al., 1998)",6,none,Sokoloff,23.0,3.5,,,,
Rattus,"(Lu et al., 1983)",10,none,Sokoloff,43.0,9.5,,,,
Rattus,"(MacNeill and Bryan, 1988)",10,none,Sokoloff,51.0,6.3,,,,
Rattus,"(Maekawa et al., 1986)",6,none,Sokoloff,34.5,8.5,,,,
Rattus,"(Nehlig et al., 1985)",6,none,Sokoloff,30.0,3.7,,,,
Rattus,"(Orzi et al., 1983)",5,none,Sokoloff,31.0,6.7,,,,
Rattus,"(Otori et al., 2003)",6,none,Sokoloff,27.7,7.4,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",7,none,Sokoloff,30.0,5.0,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",5,none,Sokoloff,23.0,3.0,,,,
Rattus,"(Savaki et al., 1983)",7,none,Sokoloff,27.5,5.3,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,30.0,3.7,,,,
Rattus,(,,,Sokoloff,1977,10,36.0,2.0,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,46.5,4.9,,,,
Rattus,"(Wechsler et al., 1979)",5,none,Sokoloff,22.0,4.5,,,,
Rattus,"(Whitlow et al., 2002)",5,none,Sokoloff,33.2,4.5,,,,
Mus,"(Bouilleret et al., 2000)",4,none,Sokoloff,39.5,10.5,,,,
Mus,"(Jay et al., 1985)",8,none,Sokoloff,28.5,2.0,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,66.0,9.0,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,63.0,12.0,,,,
Mus,"(Nowaczyk and Des Rosiers, 1981)",4,none,Sokoloff,22.0,2.5,,,,
Mus,"(Yamaguchi et al., 1992b)",6,none,Sokoloff,26.5,1.9,,,,
