"Species","Reference","n","Anesthesia","Mode","Region","CMRgl_umol_100g_min","CMRgl_SD","CMRO2_umol_100g_min","CMRO2_SD","CBF_ml_100g_min","CBF_SD","source"
"Homo","(Alkire et al., 1995)",6,"none","PET","Occipital Cortex",33.7,9.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Bokde et al., 2001)",18,"none","PET","Occipital Cortex",40.3,8.4,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Brooks et al., 1987)",27,"none","PET","Occipital Cortex",33.6,5.2,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Chugani et al., 1987)",7,"none","PET","Occipital Cortex",28.7,3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Duara et al., 1983)",18,"none","PET","Occipital Cortex",29,5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Hasselbalch et al., 1994)",9,"none","PET","Occipital Cortex",31.7,5.5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Haxby et al., 1985)",26,"none","PET","Occipital Cortex",28.7,7.2,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Heiss et al., 1985)",6,"none","PET","Occipital Cortex",38.1,3.6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Hirono et al., 2000)",15,"none","PET","Occipital Cortex",42.7,6.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Hu et al., 2000)",9,"none","PET","Occipital Cortex",51.2,10.6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Kuhl et al., 1979)",8,"none","PET","Occipital Cortex",39.6,5.1,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Ludolph et al., 1992)",12,"none","PET","Occipital Cortex",43.9,9.6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Mazziotta et al., 1981)",7,"none","PET","Occipital Cortex",40.4,9.6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Perani et al., 1995)",15,"none","PET","Occipital Cortex",44.9,5.8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Phillips et al., 1991)",14,"none","PET","Occipital Cortex",39,8.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Redies et al., 1989)",4,"none","PET","Occipital Cortex",32,6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Rudolf et al., 2000)",16,"none","PET","Occipital Cortex",32.1,NA,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Sachs et al., 1986)",25,"none","PET","Occipital Cortex",46.9,6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Schapiro et al., 1990)",13,"none","PET","Occipital Cortex",46.3,5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Tedeschi et al., 1995)",11,"none","PET","Occipital Cortex",36.1,3.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Tommasino et al., 1995)",10,"none","PET","Occipital Cortex",41.8,6.5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Volkow et al., 1992)",11,"none","PET","Occipital Cortex",48.8,6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Yoshii et al., 1988)",30,"none","PET","Occipital Cortex",45,12.8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Yoshii et al., 1988)",46,"none","PET","Occipital Cortex",41.1,9.4,NA,NA,NA,NA,"Kaufman__2004"
