species,weighting,region,measure,units,N,Mean,SD,CV,CVstar,note
Macaca,unweighted,Frontal Cortex,CMRgl,umol/100g/min,6,47.92,11.24,23.46,24.44,
Macaca,weighted,Frontal Cortex,CMRgl,umol/100g/min,25,44.86,6.93,15.45,15.60,
Rattus,unweighted,Frontal Cortex,CMRgl,umol/100g/min,34,94.06,13.75,14.62,14.73,
Rattus,weighted,Frontal Cortex,CMRgl,umol/100g/min,247,94.31,12.79,13.56,13.58,
Mus,unweighted,Frontal Cortex,CMRgl,umol/100g/min,6,108.83,19.06,17.52,18.24,
Mus,weighted,Frontal Cortex,CMRgl,umol/100g/min,34,107.29,12.07,11.25,11.33,
Felis,unweighted,Frontal Cortex,CMRgl,umol/100g/min,1,49.00,16.00,32.65,40.82,
Felis,weighted,Frontal Cortex,CMRgl,umol/100g/min,4,49.00,16.00,32.65,34.69,
Meriones,unweighted,Frontal Cortex,CMRgl,umol/100g/min,1,67.80,15.00,22.12,27.65,
Meriones,weighted,Frontal Cortex,CMRgl,umol/100g/min,6,67.80,15.00,22.12,23.05,
Homo,unweighted,Frontal Cortex,CMRO2,umol/100g/min,18,149.39,27.70,18.54,18.80,
Homo,weighted,Frontal Cortex,CMRO2,umol/100g/min,240,149.07,24.43,16.39,16.41,
Homo,unweighted,Parietal Cortex,CMRgl,umol/100g/min,36,36.02,7.85,21.79,21.95,
Homo,weighted,Parietal Cortex,CMRgl,umol/100g/min,537,37.15,7.06,19.01,19.01,CVstar=CV
Macaca,unweighted,Parietal Cortex,CMRgl,umol/100g/min,2,42.73,7.81,18.29,20.57,
Macaca,weighted,Parietal Cortex,CMRgl,umol/100g/min,10,41.62,7.80,18.74,19.21,
Rattus,unweighted,Parietal Cortex,CMRgl,umol/100g/min,32,93.08,14.44,15.51,15.63,
Rattus,weighted,Parietal Cortex,CMRgl,umol/100g/min,251,94.29,12.35,13.10,13.11,
Mus,unweighted,Parietal Cortex,CMRgl,umol/100g/min,2,126.00,2.83,2.24,2.53,
Mus,weighted,Parietal Cortex,CMRgl,umol/100g/min,12,126.00,14.51,11.52,11.76,
Lepus,unweighted,Parietal Cortex,CMRgl,umol/100g/min,1,73.10,17.40,23.80,29.75,
Lepus,weighted,Parietal Cortex,CMRgl,umol/100g/min,5,73.10,17.40,23.80,24.99,
Felis,unweighted,Parietal Cortex,CMRgl,umol/100g/min,1,45.00,16.00,35.56,44.44,
Felis,weighted,Parietal Cortex,CMRgl,umol/100g/min,4,45.00,16.00,35.56,37.78,
Homo,unweighted,Parietal Cortex,CMRO2,umol/100g/min,16,155.25,26.87,17.31,17.58,
Homo,weighted,Parietal Cortex,CMRO2,umol/100g/min,219,148.41,25.39,17.11,17.13,
Homo,unweighted,Temporal Cortex,CMRgl,umol/100g/min,37,33.23,6.86,20.64,20.78,
Homo,weighted,Temporal Cortex,CMRgl,umol/100g/min,520,34.23,6.23,18.20,18.21,
Macaca,unweighted,Temporal Cortex,CMRgl,umol/100g/min,3,36.40,1.44,3.96,4.29,
Macaca,weighted,Temporal Cortex,CMRgl,umol/100g/min,15,36.08,6.67,18.49,18.79,
Rattus,unweighted,Temporal Cortex,CMRgl,umol/100g/min,4,98.58,18.05,18.31,19.45,
Rattus,weighted,Temporal Cortex,CMRgl,umol/100g/min,26,97.46,13.57,13.92,14.06,
Felis,unweighted,Temporal Cortex,CMRgl,umol/100g/min,1,46.00,16.00,34.78,43.48,
Felis,weighted,Temporal Cortex,CMRgl,umol/100g/min,4,46.00,16.00,34.78,36.96,
Homo,unweighted,Temporal Cortex,CMRO2,umol/100g/min,14,155.13,25.49,16.43,16.72,
Homo,weighted,Temporal Cortex,CMRO2,umol/100g/min,158,148.91,25.57,17.17,17.20,
Homo,unweighted,Auditory Cortex,CMRgl,umol/100g/min,4,40.23,5.41,13.44,14.28,
Homo,weighted,Auditory Cortex,CMRgl,umol/100g/min,45,40.56,5.87,14.47,14.55,
Macaca,unweighted,Auditory Cortex,CMRgl,umol/100g/min,1,70.30,12.20,17.35,21.69,
Macaca,weighted,Auditory Cortex,CMRgl,umol/100g/min,6,70.30,12.20,17.35,18.08,
Rattus,unweighted,Auditory Cortex,CMRgl,umol/100g/min,33,128.40,24.11,18.78,18.92,
Rattus,weighted,Auditory Cortex,CMRgl,umol/100g/min,237,125.87,15.04,11.95,11.96,
Mus,unweighted,Auditory Cortex,CMRgl,umol/100g/min,6,102.17,37.94,37.14,38.69,
Mus,weighted,Auditory Cortex,CMRgl,umol/100g/min,34,105.24,11.08,10.53,10.61,
Homo,unweighted,Occipital Cortex,CMRgl,umol/100g/min,31,37.37,7.10,18.99,19.15,
Homo,weighted,Occipital Cortex,CMRgl,umol/100g/min,442,38.01,7.51,19.76,19.77,
Macaca,unweighted,Occipital Cortex,CMRgl,umol/100g/min,7,55.79,12.05,21.61,22.38,
Macaca,weighted,Occipital Cortex,CMRgl,umol/100g/min,31,53.27,7.04,13.21,13.32,
Rattus,unweighted,Occipital Cortex,CMRgl,umol/100g/min,37,94.25,13.74,14.57,14.67,
Rattus,weighted,Occipital Cortex,CMRgl,umol/100g/min,276,94.20,12.69,13.47,13.48,
Mus,unweighted,Occipital Cortex,CMRgl,umol/100g/min,4,97.75,34.21,35.00,37.18,
Mus,weighted,Occipital Cortex,CMRgl,umol/100g/min,24,100.75,13.77,13.67,13.81,
Lepus,unweighted,Occipital Cortex,CMRgl,umol/100g/min,1,76.40,19.70,25.79,32.23,
Lepus,weighted,Occipital Cortex,CMRgl,umol/100g/min,5,76.40,19.70,25.79,27.07,
Felis,unweighted,Occipital Cortex,CMRgl,umol/100g/min,1,58.00,8.00,13.79,17.24,
Felis,weighted,Occipital Cortex,CMRgl,umol/100g/min,4,58.00,8.00,13.79,14.66,
Meriones,unweighted,Occipital Cortex,CMRgl,umol/100g/min,1,69.40,20.60,29.68,37.10,
Meriones,weighted,Occipital Cortex,CMRgl,umol/100g/min,6,69.40,20.60,29.68,30.92,
Homo,unweighted,Occipital Cortex,CMRO2,umol/100g/min,18,167.31,32.81,19.61,19.88,
Homo,weighted,Occipital Cortex,CMRO2,umol/100g/min,240,165.20,30.57,18.50,18.52,
Homo,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,10,37.31,7.76,20.80,21.32,
Homo,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,113,36.79,6.60,17.94,17.98,
Macaca,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,6,51.61,7.39,14.32,14.92,
Macaca,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,23,51.58,3.97,7.70,7.78,
Rattus,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,38,96.61,11.64,12.05,12.13,
Rattus,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,270,96.09,10.09,10.50,10.51,
Mus,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,6,103.50,27.56,26.63,27.74,
Mus,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,34,102.59,12.37,12.06,12.15,
Lepus,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,1,82.65,15.30,18.51,23.14,
Lepus,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,5,82.65,15.30,18.51,19.44,
Meriones,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,1,67.20,16.70,24.85,31.06,
Meriones,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,6,67.20,16.70,24.85,25.89,
Homo,unweighted,Sensorimotor Cortex,CMRO2,umol/100g/min,5,148.43,34.39,23.17,24.33,
Homo,weighted,Sensorimotor Cortex,CMRO2,umol/100g/min,101,152.69,26.85,17.59,17.63,
Homo,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,12,38.90,7.50,19.28,19.68,
Homo,weighted,Cingulate Cortex,CMRgl,umol/100g/min,110,39.19,6.52,16.64,16.68,
Macaca,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,7,42.96,9.56,22.26,23.05,
Macaca,weighted,Cingulate Cortex,CMRgl,umol/100g/min,29,42.35,6.59,15.56,15.70,
Rattus,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,32,97.88,14.42,14.73,14.85,
Rattus,weighted,Cingulate Cortex,CMRgl,umol/100g/min,248,97.93,12.77,13.04,13.05,
Mus,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,3,83.00,19.97,24.07,26.07,
Mus,weighted,Cingulate Cortex,CMRgl,umol/100g/min,18,83.33,12.00,14.40,14.60,
Felis,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,1,47.00,10.00,21.28,26.60,
Felis,weighted,Cingulate Cortex,CMRgl,umol/100g/min,4,47.00,10.00,21.28,22.61,
Homo,unweighted,Cingulate Cortex,CMRO2,umol/100g/min,3,150.80,36.96,24.51,26.55,
Homo,weighted,Cingulate Cortex,CMRO2,umol/100g/min,49,132.90,29.67,22.32,22.44,
Homo,unweighted,Thalamus,CMRgl,umol/100g/min,33,36.51,6.26,17.16,17.29,
Homo,weighted,Thalamus,CMRgl,umol/100g/min,406,37.41,6.95,18.58,18.59,
Macaca,unweighted,Thalamus,CMRgl,umol/100g/min,10,45.22,5.26,11.63,11.92,
Macaca,weighted,Thalamus,CMRgl,umol/100g/min,44,44.82,4.41,9.84,9.90,
Rattus,unweighted,Thalamus,CMRgl,umol/100g/min,44,89.44,13.79,15.41,15.50,
Rattus,weighted,Thalamus,CMRgl,umol/100g/min,334,89.80,12.06,13.43,13.44,
Mus,unweighted,Thalamus,CMRgl,umol/100g/min,5,116.32,27.67,23.79,24.98,
Mus,weighted,Thalamus,CMRgl,umol/100g/min,29,114.39,14.51,12.69,12.79,
Lepus,unweighted,Thalamus,CMRgl,umol/100g/min,1,89.70,9.40,10.48,13.10,
Lepus,weighted,Thalamus,CMRgl,umol/100g/min,5,89.70,9.40,10.48,11.00,
Felis,unweighted,Thalamus,CMRgl,umol/100g/min,2,71.70,19.37,27.02,30.40,
Felis,weighted,Thalamus,CMRgl,umol/100g/min,11,75.44,14.32,18.98,19.41,
Meriones,unweighted,Thalamus,CMRgl,umol/100g/min,2,74.40,5.52,7.41,8.34,
Meriones,weighted,Thalamus,CMRgl,umol/100g/min,8,76.35,13.84,18.13,18.69,
Homo,unweighted,Thalamus,CMRO2,umol/100g/min,9,177.33,38.21,21.55,22.15,
Homo,weighted,Thalamus,CMRO2,umol/100g/min,102,161.66,31.52,19.50,19.54,
Homo,unweighted,Thalamus,CBF,mL/100g/min,8,54.23,7.59,14.00,14.43,
Homo,weighted,Thalamus,CBF,mL/100g/min,114,54.15,11.70,21.61,21.66,
Rattus,unweighted,Thalamus,CBF,mL/100g/min,4,131.00,14.63,11.17,11.86,
Rattus,weighted,Thalamus,CBF,mL/100g/min,26,129.92,21.11,16.25,16.40,
Meriones,unweighted,Thalamus,CBF,mL/100g/min,1,117.00,10.00,8.55,10.68,
Meriones,weighted,Thalamus,CBF,mL/100g/min,2,117.00,10.00,8.55,9.62,
Sus,unweighted,Thalamus,CBF,mL/100g/min,1,76.80,4.50,5.86,7.32,
Sus,weighted,Thalamus,CBF,mL/100g/min,6,76.80,4.50,5.86,6.10,
Homo,unweighted,Hippocampus,CMRgl,umol/100g/min,8,30.34,6.71,22.12,22.81,
Homo,weighted,Hippocampus,CMRgl,umol/100g/min,106,29.25,4.79,16.38,16.42,
Macaca,unweighted,Hippocampus,CMRgl,umol/100g/min,7,34.10,4.57,13.41,13.89,
Macaca,weighted,Hippocampus,CMRgl,umol/100g/min,31,34.62,3.15,9.10,9.17,
Rattus,unweighted,Hippocampus,CMRgl,umol/100g/min,44,65.59,10.38,15.83,15.92,
Rattus,weighted,Hippocampus,CMRgl,umol/100g/min,327,65.36,8.67,13.26,13.27,
Mus,unweighted,Hippocampus,CMRgl,umol/100g/min,6,69.34,19.49,28.11,29.28,
Mus,weighted,Hippocampus,CMRgl,umol/100g/min,49,74.54,33.99,45.60,45.83,
Lepus,unweighted,Hippocampus,CMRgl,umol/100g/min,1,58.10,5.60,9.64,12.05,
Lepus,weighted,Hippocampus,CMRgl,umol/100g/min,5,58.10,5.60,9.64,10.12,
Felis,unweighted,Hippocampus,CMRgl,umol/100g/min,2,50.00,2.83,5.66,6.36,
Felis,weighted,Hippocampus,CMRgl,umol/100g/min,11,50.55,12.90,25.52,26.10,
Meriones,unweighted,Hippocampus,CMRgl,umol/100g/min,1,69.00,19.00,27.54,34.42,
Meriones,weighted,Hippocampus,CMRgl,umol/100g/min,6,69.00,19.00,27.54,28.68,
Homo,unweighted,Hippocampus,CMRO2,umol/100g/min,1,137.05,24.60,17.95,22.44,
Homo,weighted,Hippocampus,CMRO2,umol/100g/min,14,137.05,24.60,17.95,18.27,
Homo,unweighted,Hippocampus,CBF,mL/100g/min,2,47.40,7.35,15.51,17.45,
Homo,weighted,Hippocampus,CBF,mL/100g/min,40,48.96,8.54,17.44,17.55,
Macaca,unweighted,Hippocampus,CBF,mL/100g/min,1,53.90,7.60,14.10,17.63,
Macaca,weighted,Hippocampus,CBF,mL/100g/min,6,53.90,7.60,14.10,14.69,
Rattus,unweighted,Hippocampus,CBF,mL/100g/min,5,92.60,13.07,14.11,14.82,
Rattus,weighted,Hippocampus,CBF,mL/100g/min,30,94.00,13.63,14.50,14.62,
Meriones,unweighted,Hippocampus,CBF,mL/100g/min,1,109.00,9.00,8.26,10.32,
Meriones,weighted,Hippocampus,CBF,mL/100g/min,2,109.00,9.00,8.26,9.29,
Homo,unweighted,Basal Ganglia,CMRgl,umol/100g/min,32,36.72,6.99,19.04,19.19,
Homo,weighted,Basal Ganglia,CMRgl,umol/100g/min,372,37.63,6.93,18.42,18.43,
Macaca,unweighted,Basal Ganglia,CMRgl,umol/100g/min,9,44.50,5.83,13.09,13.46,
Macaca,weighted,Basal Ganglia,CMRgl,umol/100g/min,40,44.33,5.65,12.74,12.82,
Rattus,unweighted,Basal Ganglia,CMRgl,umol/100g/min,42,71.95,10.23,14.22,14.31,
Rattus,weighted,Basal Ganglia,CMRgl,umol/100g/min,307,71.74,5.54,7.72,7.73,
Mus,unweighted,Basal Ganglia,CMRgl,umol/100g/min,5,85.64,31.31,36.56,38.38,
Mus,weighted,Basal Ganglia,CMRgl,umol/100g/min,30,85.18,12.65,14.85,14.97,
Lepus,unweighted,Basal Ganglia,CMRgl,umol/100g/min,1,58.70,8.00,13.63,17.04,
Lepus,weighted,Basal Ganglia,CMRgl,umol/100g/min,5,58.70,8.00,13.63,14.31,
Felis,unweighted,Basal Ganglia,CMRgl,umol/100g/min,2,54.55,6.86,12.57,14.15,
Felis,weighted,Basal Ganglia,CMRgl,umol/100g/min,11,55.87,12.76,22.84,23.36,
Meriones,unweighted,Basal Ganglia,CMRgl,umol/100g/min,3,83.80,27.86,33.25,36.02,
Meriones,weighted,Basal Ganglia,CMRgl,umol/100g/min,13,74.88,13.80,18.43,18.78,
Homo,unweighted,Basal Ganglia,CMRO2,umol/100g/min,11,169.63,33.78,19.92,20.37,
Homo,weighted,Basal Ganglia,CMRO2,umol/100g/min,133,156.16,28.11,18.00,18.03,
Macaca,unweighted,Basal Ganglia,CMRO2,umol/100g/min,1,255.00,32.00,12.55,15.69,
Macaca,weighted,Basal Ganglia,CMRO2,umol/100g/min,6,255.00,32.00,12.55,13.07,
Homo,unweighted,Basal Ganglia,CBF,mL/100g/min,4,45.75,5.28,11.54,12.27,
Homo,weighted,Basal Ganglia,CBF,mL/100g/min,52,43.54,7.46,17.13,17.21,
Macaca,unweighted,Basal Ganglia,CBF,mL/100g/min,1,60.50,11.10,18.35,22.93,
Macaca,weighted,Basal Ganglia,CBF,mL/100g/min,6,60.50,11.10,18.35,19.11,
Rattus,unweighted,Basal Ganglia,CBF,mL/100g/min,2,117.50,7.78,6.62,7.45,
Rattus,weighted,Basal Ganglia,CBF,mL/100g/min,12,119.33,19.36,16.22,16.56,
Meriones,unweighted,Basal Ganglia,CBF,mL/100g/min,2,113.75,47.73,41.96,47.21,
Meriones,weighted,Basal Ganglia,CBF,mL/100g/min,7,99.29,10.00,10.07,10.43,
Sus,unweighted,Basal Ganglia,CBF,mL/100g/min,1,102.60,5.80,5.65,7.07,
Sus,weighted,Basal Ganglia,CBF,mL/100g/min,6,102.60,5.80,5.65,5.89,
Homo,unweighted,Cerebellum,CMRgl,umol/100g/min,22,33.02,5.68,17.21,17.40,
Homo,weighted,Cerebellum,CMRgl,umol/100g/min,299,33.91,6.06,17.87,17.89,
Macaca,unweighted,Cerebellum,CMRgl,umol/100g/min,6,28.10,4.49,15.97,16.64,
Macaca,weighted,Cerebellum,CMRgl,umol/100g/min,25,28.12,4.64,16.50,16.66,
Rattus,unweighted,Cerebellum,CMRgl,umol/100g/min,28,53.95,12.26,22.72,22.93,
Rattus,weighted,Cerebellum,CMRgl,umol/100g/min,220,54.85,9.30,16.95,16.97,
Mus,unweighted,Cerebellum,CMRgl,umol/100g/min,4,90.50,7.59,8.39,8.92,
Mus,weighted,Cerebellum,CMRgl,umol/100g/min,25,91.52,12.08,13.20,13.33,
Felis,unweighted,Cerebellum,CMRgl,umol/100g/min,1,31.50,6.00,19.05,23.81,
Felis,weighted,Cerebellum,CMRgl,umol/100g/min,4,31.50,6.00,19.05,20.24,
Meriones,unweighted,Cerebellum,CMRgl,umol/100g/min,1,44.40,14.40,32.43,40.54,
Meriones,weighted,Cerebellum,CMRgl,umol/100g/min,6,44.40,14.40,32.43,33.78,
Homo,unweighted,Cerebellum,CMRO2,umol/100g/min,8,183.41,30.87,16.83,17.36,
Homo,weighted,Cerebellum,CMRO2,umol/100g/min,92,180.09,31.66,17.58,17.63,
Homo,unweighted,Cerebellum,CBF,mL/100g/min,5,57.75,16.49,28.56,29.98,
Homo,weighted,Cerebellum,CBF,mL/100g/min,73,56.99,11.68,20.50,20.57,
Macaca,unweighted,Cerebellum,CBF,mL/100g/min,1,47.80,5.10,10.67,13.34,
Macaca,weighted,Cerebellum,CBF,mL/100g/min,6,47.80,5.10,10.67,11.11,
Rattus,unweighted,Cerebellum,CBF,mL/100g/min,2,116.50,38.89,33.38,37.56,
Rattus,weighted,Cerebellum,CBF,mL/100g/min,14,112.57,17.04,15.14,15.41,short_raw|filled_from_xlsx
Meriones,unweighted,Cerebellum,CBF,mL/100g/min,1,93.00,15.80,16.99,21.24,
Meriones,weighted,Cerebellum,CBF,mL/100g/min,10,93.00,15.80,16.99,17.41,
Sus,unweighted,Cerebellum,CBF,mL/100g/min,1,88.80,3.60,4.05,5.07,
Sus,weighted,Cerebellum,CBF,mL/100g/min,6,88.80,3.60,4.05,4.22,
Homo,unweighted,White Matter,CMRgl,umol/100g/min,13,19.15,5.36,27.99,28.53,
Homo,weighted,White Matter,CMRgl,umol/100g/min,158,18.06,3.55,19.65,19.68,
Macaca,unweighted,White Matter,CMRgl,umol/100g/min,6,12.55,2.94,23.41,24.39,
Macaca,weighted,White Matter,CMRgl,umol/100g/min,24,12.34,2.22,17.99,18.18,
Rattus,unweighted,White Matter,CMRgl,umol/100g/min,36,33.34,7.90,23.71,23.87,
Rattus,weighted,White Matter,CMRgl,umol/100g/min,265,34.41,6.08,17.67,17.69,
Mus,unweighted,White Matter,CMRgl,umol/100g/min,5,43.80,19.93,45.51,47.78,
Mus,weighted,White Matter,CMRgl,umol/100g/min,28,44.57,8.76,19.65,19.83,
Lepus,unweighted,White Matter,CMRgl,umol/100g/min,1,26.10,5.60,21.46,26.82,
Lepus,weighted,White Matter,CMRgl,umol/100g/min,5,26.10,5.60,21.46,22.53,
Felis,unweighted,White Matter,CMRgl,umol/100g/min,1,12.00,2.00,16.67,20.83,
Felis,weighted,White Matter,CMRgl,umol/100g/min,4,12.00,2.00,16.67,17.71,
Homo,unweighted,White Matter,CMRO2,umol/100g/min,10,74.80,10.54,14.09,14.44,
Homo,weighted,White Matter,CMRO2,umol/100g/min,146,75.68,12.01,15.87,15.90,
Homo,unweighted,White Matter,CBF,mL/100g/min,11,23.07,3.61,15.65,16.01,
Homo,weighted,White Matter,CBF,mL/100g/min,172,23.62,5.01,21.22,21.25,
Rattus,unweighted,White Matter,CBF,mL/100g/min,1,35.00,4.00,11.43,14.29,
Rattus,weighted,White Matter,CBF,mL/100g/min,4,35.00,4.00,11.43,12.14,
Meriones,unweighted,White Matter,CBF,mL/100g/min,1,62.00,12.00,19.35,24.19,
Meriones,weighted,White Matter,CBF,mL/100g/min,2,62.00,12.00,19.35,21.77,
Sus,unweighted,White Matter,CBF,mL/100g/min,1,33.60,1.80,5.36,6.70,
