Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Baxter et al., 1987)",7,none,PET,29.4,3.0,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,35.9,4.3,,,,
Homo,"(Baxter et al., 1988)",10,none,PET,33.5,7.8,,,,
Homo,"(Bromberg et al., 1990)",12,none,PET,39.8,9.1,,,,
Homo,"(Brooks et al., 1987)",27,none,PET,46.9,8.7,,,,
Homo,"(Buchsbaum et al., 1989)",10,none,PET,24.8,6.4,,,,
Homo,"(Chugani et al., 1987)",7,none,PET,32.9,1.3,,,,
Homo,"(Clark et al., 2001)",32,none,PET,42.5,6.7,,,,
Homo,"(Delvenne et al., 1997)",10,none,PET,30.6,2.8,,,,
Homo,"(Delvenne et al., 1999)",10,none,PET,30.6,2.9,,,,
Homo,"(Duara et al., 1983)",18,none,PET,29.4,7.7,,,,
Homo,"(Foster et al., 1984)",8,none,PET,39.4,1.8,,,,
Homo,"(Gilman et al., 1990)",13,none,PET,34.5,6.7,,,,
Homo,"(Gilman et al., 1990)",10,none,PET,38.3,"8,7",,,,
Homo,"(Heiss et al., 1985)",6,none,PET,41.1,4.9,,,,
Homo,"(Hu et al., 2000)",9,none,PET,41.3,10.3,,,,
Homo,"(Kuhl et al., 1982)",25,none,PET,36.3,8.1,,,,
Homo,"(Ludolph et al., 1992)",12,none,PET,48.2,11.0,,,,
Homo,"(Mazziotta et al., 1981)",7,none,PET,38.5,9.2,,,,
Homo,"(Peranietal., 1995)",15,none,PET,41.1,4.7,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,36.2,6.5,,,,
Homo,"(Redies et al., 1989)",4,none,PET,31.0,2.0,,,,
Homo,"(Rudolf et al., 2000)",16,none,PET,39.4,6.5,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,55.4,8.7,,,,
Homo,"(Tedeschi et al., 1995)",11,none,PET,35.9,6.2,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,38.1,4.8,,,,
Homo,"(Volkow et al., 1992)",11,none,PET,42.2,5.0,,,,
Homo,"(Wu et al., 1992)",15,none,PET,27.1,6.5,,,,
Homo,Present Study,5,none,PET,42.6,4.1,,,,
Homo,"(De Voider et al., 1997)",3,none,PET,41.1,5.3,177.3,15.3,50.4,6.6
Homo,"(Hatazawa et al., 1988)",7,none,PET,27.3,4.1,144.2,37.5,50.1,7.1
Homo,"(Herold et al., 1988)",8,none,PET,24.3,2.4,136.4,11.6,40.1,7.5
Homo,"(Leenders etal., 1990)",34,none,PET,,,137.1,18.3,42.4,7.6
Homo,"(Bums and Tyrrell, 1992)",4,none,PET,,,167.0,21.0,,
Homo,"(Kaisti et al., 2003)",8,none,PET,,,217.2,40.4,,
Homo,"(Kaisti et al., 2003)",8,Sevoflurane,PET,,,151.1,28.1,,
Homo,"(Langsjo et al., 2003)",10,none,PET,,,179.7,23.9,,
Homo,"(Perlmutter et al., 1987)",32,none,PET,,,133.0,34.8,,
Homo,"(Sasaki et al., 1986)",7,none,PET,,,159.4,29.6,,
