Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Baxter et al., 1987)",7,none,PET,29.3,2.8,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,36.4,6.3,,,,
Homo,"(Chugani et al., 1987)",7,none,PET,29.8,3.5,,,,
Homo,"(Hasselbalch et al., 1994)",9,none,PET,29.5,5.8,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,44.6,2.9,,,,
Homo,"(Hirono et al., 2000)",15,none,PET,40.2,6.9,,,,
Homo,"(Hu et al., 2000)",9,none,PET,47.4,7.7,,,,
Homo,"(Mazziotta et al., 1981)",7,none,PET,43.2,12.0,,,,
Homo,"(Perani et al., 1995)",15,none,PET,33.3,3.3,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,52.5,8.6,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,38.6,5.6,,,,
Homo,Present Study,5,none,PET,42.0,6.7,,,,
Homo,"(Langsjo et al., 2003)",10,none,PET,27.2,185.0,,,,
Homo,"(Perlmutter et al., 1987)",32,none,PET,31.9,111.6,,,,
Homo,"(Sasaki et al., 1986)",7,none,PET,21.1,155.8,,,,
Papio,"(Meguro et al., 1999)",,"Phencylidine, N 20",PET,49.3,7.8,,,,
Papio,"(Millien et al., 2002)",,"Phencylidine, N 20",PET,47.5,11.7,,,,
Papio,Present Study,2,N 20,PET,58.9,13.0,,,,
M mulatta,"(Cross et al., 2000)",6,none,PET,37.8,8.8,,,,
M mulatta,"(Noda et al., 2002)",6,none,PET,36.6,8.5,,,,
M mulatta,"(Palombo et al., 1988)",3,none,Sokoloff,41.0,5.2,,,,
M mulatta,"(Palombo et al., 1990)",4,none,Sokoloff,39.0,4.0,,,,
M mulatta,"(Porrino et al., 1987)",3,none,Sokoloff,38.0,2.0,,,,
M fascic,"(Deuel and Collins, 1984)",4,none,Sokoloff,63.8,nr,,,,
M fascic,"(Lyons et al., 1996)",3,none,Sokoloff,44.6,3.5,,,,
Felis,"(Petitjean et al., 1982)",4,none,Sokoloff,47.0,10.0,,,,
Rattus,"(Bassant et al., 1996)",7,none,Sokoloff,102.0,11.0,,,,
Rattus,"(Bassant et al., 1996)",8,none,Sokoloff,96.0,11.0,,,,
Rattus,"(Blin et al., 1991)",10,none,Sokoloff,83.0,8.5,,,,
Rattus,"(Bryan et al., 1983)",6,none,Sokoloff,89.0,9.8,,,,
Rattus,"(Bryan and Lehman, 1988)",10,none,Sokoloff,91.0,6.3,,,,
Rattus,"(Chang et al., 2001)",8,none,Sokoloff,92.0,19.8,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,106.0,3.5,,,,
Rattus,"(Crosby et al., 1982)",8,none,Sokoloff,73.0,19.8,,,,
Rattus,"(Cudennec et al., 1997)",7,none,Sokoloff,122.0,7.9,,,,
Rattus,"(Dam et al., 1990)",5,none,Sokoloff,83.5,15.7,,,,
Rattus,"(Davis et al., 1986)",10,none,Sokoloff,98.0,16.8,,,,
Rattus,"(Duelli et a l, 2000)",5,none,Sokoloff,81.6,5.0,,,,
Rattus,"(Eintrei et al., 1999)",6,none,Sokoloff,119.0,9.8,,,,
Rattus,"(Fomai and Orzi, 2001)",5,none,Sokoloff,88.0,8.0,,,,
Rattus,"(Freedland et al., 2002)",5,none,Sokoloff,116.2,8.9,,,,
Rattus,"(Grome and McCulloch, 1983)",6,none,Sokoloff,91.0,9.5,,,,
Rattus,"(Hawkins et al., 1979)",19,none,Sokoloff,118.0,21.8,,,,
Rattus,"(Hawkins e ta l, 1985)",9,none,Sokoloff,105.0,7.2,,,,
Rattus,"(Ingvar and Siesjo, 1982)",6,none,Sokoloff,63.0,4.9,,,,
Rattus,"(Ingvar and Siesjo, 1982)",10,N 20,Sokoloff,64.0,9.5,,,,
Rattus,"(Knapp et al., 2002)",8,none,Sokoloff,105.6,13.0,,,,
Rattus,"(Lenz et al., 1998)",6,none,Sokoloff,86.0,14.0,,,,
Rattus,"(Lu et al., 1983)",10,none,Sokoloff,96.0,9.5,,,,
Rattus,"(Nehlig et al., 1985)",6,none,Sokoloff,113.0,14.7,,,,
Rattus,"(Orzi et al., 1983)",5,none,Sokoloff,100.0,13.4,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",7,none,Sokoloff,104.0,10.0,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",5,none,Sokoloff,89.0,13.0,,,,
Rattus,"(Savaki et al., 1983)",7,none,Sokoloff,95.0,13.3,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,105.0,7.3,,,,
Rattus,"(Soncrant et al., 1992)",16,none,Sokoloff,94.5,16.0,,,,
Rattus,"(Grome and McCulloch, 1981)",16,none,Sokoloff,87.0,7.0,,,,
Rattus,"(Whitlow et al., 2002)",5,none,Sokoloff,119.0,11.2,,,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,120.7,7.7,,,,
Mus,"(Jay et al., 1985)",8,none,Sokoloff,96.0,17.0,,,,
Mus,"(Zocchi et al., 2001)",4,none,Sokoloff,93.0,4.0,,,,
Mus,"(Zocchi et a l, 2001)",6,none,Sokoloff,60.0,6.0,,,,
