Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Biver et al., 1994)",12,none,PET,19.4,3.0,,,,
Homo,"(Duara et al., 1983)",18,none,PET,23.0,6.9,,,,
Homo,"(Heiss etal., 1985)",6,none,PET,38.3,5.2,,,,
Homo,"(Ishiietal., 1998)",22,none,PET,29.0,3.7,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,30.8,5.0,,,,
Homo,"(Rudolf et al., 2000)",16,none,PET,30.5,3.8,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,38.6,4.9,,,,
Homo,Present Study,5,none,PET,33.2,4.6,,,,
Homo,"(Yamaguchi et al., 1986)",14,none,PET,,,137.1,24.6,42.2,
Homo,"(Seitz and Roland, 1992)",26,none,PET,,,,,52.6,
Papio,"(Meguro et al., 1999)",8,"Phencyclidine, N 20",PET,30.8,5.4,,,,
Papio,"(Millien et al., 2002)",10,"Phencyclidine, N 20",PET,32.3,8.0,,,,
Papio,Present Study,2,N 20,PET,33.1,6.8,,,,
M mulatta,"(Nakamura et al., 1983)",4,none,Sokoloff,42.0,nr,,,,
M mulatta,"(Noda et al., 2002)",6,none,PET,32.2,5.2,,,53.9,
M mulatta,"(Palombo et al., 1988)",3,none,Sokoloff,33.0,2.0,,,,
M mulatta,"(Palombo et al., 1990)",4,none,Sokoloff,32.0,1.0,,,,
M mulatta,"(Palombo et al., 1991)",4,none,Sokoloff,30.5,1.0,,,,
M fascic,"(Kennedy et al., 1978)",7,none,Sokoloff,39.0,2.0,,,,
M fascic,"(Lyons et al., 1996)",3,none,Sokoloff,30.0,1.0,,,,
Saimiri,"(Delgado-Zygmunt et al., 1993)",4,"Fentanyl, N 20",Sokoloff,48.0,3.0,,,,
Lepus,"(Passero et al., 1981)",5,none,Sokoloff,58.1,2.5,,,,
Felis,"(Hovda et a l, 1996)",7,none,Sokoloff,52.0,15.0,,,,
Felis,"(Petitjean et al., 1982)",4,none,Sokoloff,48.0,4.0,,,,
Meriones,"(Choki et al., 1983)",6,none,Sokoloff,69.0,19.0,,,,
Meriones,"(Choki et al., 1984)",3,N 20,Sokoloff,38.9,13.9,,,,
Meriones,"(Mies et al., 1990)",4,Halothane,Sokoloff,74.3,4.0,,,80.3,6.7
Meriones,"(Mies et al., 1984)",2,none,Sokoloff,,,,,109.0,9.0
Meriones,"(Suzuki et al., 1983)",7,Halothane,Sokoloff,,,,,93.0,5.3
Rattus,"(Bassant et al., 1996)",7,none,Sokoloff,62.0,5.0,,,,
Rattus,"(Bassant et al., 1996)",8,none,Sokoloff,58.0,7.0,,,,
Rattus,"(Blin et al., 1991)",10,none,Sokoloff,56.4,7.1,,,,
Rattus,"(Bryan etal., 1983)",6,none,Sokoloff,50.0,2.4,,,,
Rattus,"(Bryan and Lehman, 1988)",10,none,Sokoloff,57.0,3.2,,,,
Rattus,"(Chang et al., 2001)",8,none,Sokoloff,63.0,14.1,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,72.0,2.0,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,71.0,4.0,,,,
Rattus,"(Crosby et al., 1982)",8,none,Sokoloff,73.0,5.7,,,,
Rattus,"(Crosby et al., 1984)",5,none,Sokoloff,62.0,6.7,,,,
Rattus,"(Crosby et al., 1984)",5,N 20,Sokoloff,77.0,4.5,,,,
Rattus,"(Dam etal., 1990)",5,none,Sokoloff,51.0,11.2,,,,
Rattus,"(Davis et al., 1986)",10,none,Sokoloff,64.0,12.0,,,,
Rattus,"(Dow-Edwards et al., 1986)",4,none,Sokoloff,75.0,6.0,,,,
Rattus,"(Duelli et al., 2000)",5,none,Sokoloff,60.2,4.7,,,,
Rattus,"(Eintrei et al., 1999)",6,none,Sokoloff,87.0,7.3,,,,
Rattus,"(Fomai and Orzi, 2001)",5,none,Sokoloff,60.5,9.0,,,,
Rattus,"(Freedland et al., 2002)",5,none,Sokoloff,72.6,8.9,,,,
Rattus,"(Frietsch et al., 2000)",12,none,Sokoloff,55.0,6.8,,,,
Rattus,"(Frietsch et al., 2000)",12,Isoflurane,Sokoloff,39.5,7.0,,,,
Rattus,"(Furlow et al., 1983)",5,none,Sokoloff,53.0,13.0,,,,
Rattus,"(Grome and McCulloch, 1983)",6,none,Sokoloff,78.0,19.0,,,,
Rattus,"(Hakim et al., 1983)",7,none,Sokoloff,83.0,15.9,,,,
Rattus,"(Hawkins et al., 1979)",19,none,Sokoloff,72.0,13.1,,,,
Rattus,"(Hawkins et al., 1985)",9,none,Sokoloff,66.0,5.4,,,,
Rattus,"(Ingvar and Siesjo, 1982)",6,none,Sokoloff,48.0,4.9,,,,
Rattus,"(Ingvar and Siesjo, 1982)",10,N 20,Sokoloff,46.0,6.3,,,,
Rattus,"(Katsumata et al., 2001)",5,none,Sokoloff,67.3,10.6,,,,
Rattus,"(Knapp et al., 2002)",8,none,Sokoloff,66.8,1.6,,,,
Rattus,"(Lu et al., 1983)",10,none,Sokoloff,59.0,6.3,,,,
Rattus,"(MacNeill and Bryan, 1988)",10,none,Sokoloff,62.0,9.5,,,,
Rattus,"(Nehlig et al., 1985)",6,none,Sokoloff,76.0,9.8,,,,
Rattus,"(Ori etal., 1986)",6,none,Sokoloff,47.0,7.3,,,,
Rattus,"(Orzi et al., 1983)",5,none,Sokoloff,72.0,8.9,,,,
Rattus,"(Otori et al., 2003)",6,none,Sokoloff,45.3,13.0,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",7,none,Sokoloff,65.5,5.0,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",5,none,Sokoloff,59.0,6.8,,,,
Rattus,"(Savaki et al., 1983)",7,none,Sokoloff,68.0,7.9,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,80.0,7.3,,,,
Rattus,(,,,Sokoloff,1977,10,79.0,1.0,,
