Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Baxter et al., 1987)",7,none,PET,29.3,3.1,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,34.4,4.3,,,,
Homo,"(B iveretal., 1994)",12,none,PET,30.1,4.7,,,,
Homo,"(Bromberg et al., 1990)",12,none,PET,39.0,9.4,,,,
Homo,"(Brooks et al., 1987)",27,none,PET,45.2,9.0,,,,
Homo,"(Buchsbaum et al., 1989)",10,none,PET,24.3,7.2,,,,
Homo,"(Chugani et al., 1987)",7,none,PET,32.2,5.2,,,,
Homo,"(Clark et al., 2001)",32,none,PET,42.2,6.7,,,,
Homo,"(Delvenne et al., 1997)",10,none,PET,30.1,2.8,,,,
Homo,"(Delvenne et al., 1999)",10,none,PET,30.1,2.9,,,,
Homo,"(Duara et al., 1983)",18,none,PET,27.4,8.0,,,,
Homo,"(Gilman et al., 1990)",13,none,PET,34.6,5.7,,,,
Homo,"(Gilman et al., 1990)",10,none,PET,41.9,9.3,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,38.4,3.2,,,,
Homo,"(Hirono et al., 2000)",15,none,PET,42.2,6.9,,,,
Homo,"(Hu et al., 2000)",9,none,PET,35.4,8.9,,,,
Homo,"(Kuhl et al., 1982)",25,none,PET,35.4,7.2,,,,
Homo,"(Ludolph et al., 1992)",12,none,PET,51.0,13.3,,,,
Homo,"(Martinot et al., 1990)",8,none,PET,35.3,4.7,,,,
Homo,"(Mazziotta et al., 1981)",7,none,PET,36.6,7.1,,,,
Homo,"(Perani et al., 1995)",15,none,PET,39.1,6.7,,,,
Homo,"(Phillips etal., 1991)",14,none,PET,34.3,6.7,,,,
Homo,"(Redies et al., 1989)",4,none,PET,31.0,2.0,,,,
Homo,"(Rudolf et al., 2000)",16,none,PET,36.6,4.9,,,,
Homo,"(Sachs et al., 1986)",25,none,PET,42.2,5.6,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,50.9,9.7,,,,
Homo,"Tedeschi et al., 1995)",11,none,PET,38.8,4.4,,,,
Homo,"Tommasino et al., 1995)",10,none,PET,37.7,6.5,,,,
Homo,"Volkow et al., 1992)",11,none,PET,41.3,5.0,,,,
Homo,"Wu et al., 1992)",15,none,PET,26.6,6.8,,,,
Homo,’resent Study,5,none,PET,38.7,5.9,,,,
Homo,"De Voider et al., 1997)",3,none,PET,39.1,5.3,176.7,20.3,55.9,4.0
Homo,"Sasaki et al., 1986)",7,none,PET,33.5,4.1,148.1,26.1,45.4,8.6
Homo,"Kaisti et al., 2003)",8,none,PET,,,251.3,38.0,54.8,6.3
Homo,"Kaisti et al., 2003)",8,Sevoflurane,PET,,,148.2,20.5,39.9,7.1
Homo,"Pantano et al., 1984)",18,none,PET,,,156.3,35.7,46.0,12.0
Homo,"Perlmutter et al., 1987)",32,none,PET,,,120.5,35.7,53.7,7.5
Homo,"W essenetal., 1997)",6,none,PET,,,205.0,22.0,67.0,10.0
Homo,"Yamaguchi et al., 1986)",14,none,PET,,,163.8,25.0,48.9,10.4
Homo,"Bums and Tyrrell, 1992)",4,none,PET,,,170.5,24.6,,
Homo,"Langsjo et al., 2003)",10,none,PET,,,203.6,24.6,,
Homo,"Seitz and Roland, 1992)",26,none,PET,,,,,62.2,17.8
Papio,"Meguro et al., 1999)",8,"Phencyclidine, N2",PET,43.8,9.4,,,,
Papio,"Vlillien et al., 2002)",10,"Phencyclidine, N2",PET,43.6,13.0,,,,
Papio,’resent Study,2,N 20,PET,45.7,8.4,,,,
M mulatta,"Cross et al., 2000)",6,none,PET,38.8,3.2,,,,
M mulatta,"Takamuxa et al., 1983)",4,none,Sokoloff,38.0,nr,,,,
M mulatta,"Palombo et al., 1988)",3,none,Sokoloff,43.6,3.5,,,,
M mulatta,"Palombo et al., 1990)",4,none,Sokoloff,47.5,4.0,,,,
M mulatta,"’alombo et al., 1991)",4,none,Sokoloff,44.3,8.0,,,,
M mulatta,"’orrino et al., 1987)",3,none,Sokoloff,54.3,4.0,,,,
M mulatta,"inlund et al., 1997)",4,"Ketamine, N 20",PET,,,,,,
M fascic,"(Deuel and Collins, 1984)",4,none,Sokoloff,48.0,nr,,,,
M fascic,"(Kennedy et al., 1978)",7,none,Sokoloff,50.3,nr,,,,
M fascic,"(Kuge et al., 2001)",4,"Sevoflurane, N 20",PET,35.5,8.8,,,,
M fascic,"(Lyons et al., 1996)",3,none,Sokoloff,47.4,3.5,,,,
M fascic,"(Schwartzman et al., 1988)",6,none,Sokoloff,40.1,3.2,,,,
Saimiri,"(Delgado-Zygmunt et al., 1993)",4,"Fentanyl, N 20",Sokoloff,59.0,6.0,,,96.0,10.0
Sus,"(Manohar, 1986)",6,none 76.8 4.5,,,,,,,
Sus,"(Manohar, 1986)",6,Sevoflurane 46.2 3.0,,,,,,,
Sus,"(Manohar, 1986)",6,Sevoflurane 59.0 5.5,,,,,,,
Lepus,"(Passero et al., 1981)",5,none,Sokoloff,89.7,4.2,,,,
Felis,"(Hovda et al., 1996)",7,none,Sokoloff,85.4,14.5,,,,
Felis,"(Petitjean et al., 1982)",4,none,Sokoloff,58.0,14.0,,,,
Felis,"(Triolo et al., 1990)",6,N 20,Sokoloff,28.6,8.0,,,,
Meriones,"(Choki et al., 1983)",6,none,Sokoloff,78.3,15.6,,,,
Meriones,"(Choki et al., 1984)",3,N 20,Sokoloff,107.0,14.0,,,,
Meriones,"(Mies et al., 1984)",2,none,Sokoloff,70.5,6.0,,,,
Meriones,"(Mies et al., 1990)",4,Halothane,Sokoloff,,,,,,
Rattus,"(Bassant et al., 1996)",7,none,Sokoloff,89.0,8.0,,,,
