Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Aikire et al., 1995)",6,none,PET,36.5,10.1,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,25.3,2.4,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,32.1,5.1,,,,
Homo,"(Bokde et al., 2001)",18,none,PET,42.7,12.6,,,,
Homo,"(Brooks et al., 1987)",27,none,PET,39.9,8.1,,,,
Homo,"(Buchsbaum et al., 1989)",10,none,PET,23.5,6.5,,,,
Homo,"(Chugani et al., 1987)",7,none,PET,27.1,3.3,,,,
Homo,"(C larketal., 2001)",32,none,PET,49.2,8.3,,,,
Homo,"(Delvenne et al., 1997)",10,none,PET,29.9,2.0,,,,
Homo,"(Delvenne et al., 1999)",10,none,PET,29.9,2.0,,,,
Homo,"(Duara et al., 1983)",18,none,PET,30.4,8.3,,,,
Homo,"(Hasselbalch et al., 1994)",9,none,PET,27.9,5.2,,,,
Homo,"(Haxbyetal., 1985)",26,none,PET,28.3,7.2,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,42.7,2.0,,,,
Homo,"(Hirono et al., 2000)",15,none,PET,41.7,6.5,,,,
Homo,"(Hu et al., 2000)",9,none,PET,41.7,5.7,,,,
Homo,"(Kaye et al., 1990)",12,none,PET,32.4,5.7,,,,
Homo,"(Kuhl et a l, 1979)",8,none,PET,37.7,5.1,,,,
Homo,"(Kuhl et al., 1982)",25,none,PET,35.8,7.9,,,,
Homo,"(Ludolph et al., 1992)",12,none,PET,45.3,9.7,,,,
Homo,"(Martinot et al., 1990)",8,none,PET,37.7,7.8,,,,
Homo,"(Mazziotta et al., 1981)",7,none,PET,43.0,10.5,,,,
Homo,"(McNamara et al., 1987)",14,none,PET,36.6,8.3,,,,
Homo,"(Peranietal., 1995)",15,none,PET,40.0,5.5,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,36.9,6.1,,,,
Homo,"(Redies et al., 1989)",4,none,PET,28.0,4.0,,,,
Homo,"(Rudolf et al., 2000)",16,none,PET,31.7,nr,,,,
Homo,"(Sachs et al., 1986)",25,none,PET,46.0,6.7,,,,
