Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Alkire et al., 1995)",6,none,PET,33.7,9.7,,,,
Homo,"(Bokde et al., 2001)",18,none,PET,40.3,8.4,,,,
Homo,"(Brooks et al., 1987)",27,none,PET,33.6,5.2,,,,
Homo,"(Chugani et al., 1987)",7,none,PET,28.7,3.0,,,,
Homo,"(Duara et al., 1983)",18,none,PET,29.0,5.0,,,,
Homo,"(Hasselbalch et al., 1994)",9,none,PET,31.7,5.5,,,,
Homo,"(Haxby et al., 1985)",26,none,PET,28.7,7.2,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,38.1,3.6,,,,
Homo,"(Hirono et al., 2000)",15,none,PET,42.7,6.3,,,,
Homo,"(Hu et al., 2000)",9,none,PET,51.2,10.6,,,,
Homo,"(Kuhl et al., 1979)",8,none,PET,39.6,5.1,,,,
Homo,"(Ludolph et al., 1992)",12,none,PET,43.9,9.6,,,,
Homo,"(Mazziotta et al., 1981)",7,none,PET,40.4,9.6,,,,
Homo,"(Perani et al., 1995)",15,none,PET,44.9,5.8,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,39.0,8.3,,,,
Homo,"(Redies et al., 1989)",4,none,PET,32.0,6.0,,,,
Homo,"(Rudolf et al., 2000)",16,none,PET,32.1,nr,,,,
Homo,"(Sachs et al., 1986)",25,none,PET,46.9,6.0,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,46.3,5.0,,,,
Homo,"(Tedeschi et al., 1995)",11,none,PET,36.1,3.3,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,41.8,6.5,,,,
Homo,"(Volkow et al., 1992)",11,none,PET,48.8,6.0,,,,
Homo,"(Yoshii et al., 1988)",30,none,PET,45.0,12.8,,,,
Homo,"(Yoshii et al., 1988)",46,none,PET,41.1,9.4,,,,
Homo,Present Study,5,none,PET,28.0,5.0,,,,
Homo,"(De Voider et al., 1997)",3,none,PET,36.5,5.7,156.7,23.3,,
Homo,"(Fukuyama et al., 1994)",9,none,PET,36.6,3.7,111.4,19.8,,
Homo,"(Sasaki et al., 1986)",7,none,PET,35.4,3.3,174.9,23.1,,
Homo,"(Yamaki et al., 1996)",20,none,PET,28.0,2.8,118.3,22.3,,
Homo,"(Bums and Tyrrell, 1992)",4,none,PET,,,150.9,12.5,,
Homo,"(Ishiietal., 1996a)",15,none,PET,,,194.6,46.0,,
Homo,"(Ishii et al., 1996b)",14,none,PET,,,190.2,29.5,,
Homo,"(Kaisti et al., 2003)",8,none,PET,,,187.1,29.9,,
Homo,"(Kaisti et al., 2003)",8,Sevoflurane,PET,,,105.8,18.8,,
Homo,"(Langsjo et al., 2003)",10,none,PET,,,167.0,16.5,,
Homo,"(Leenders et al., 1990)",34,none,PET,,,155.4,19.6,,
Homo,"(Lenzi et al., 1981)",27,none,PET,,,210.0,nr,,
Homo,"(Meyer et al., 1987)",3,none,PET,,,170.0,nr,,
Homo,"(Pantano et al., 1984)",18,none,PET,,,227.7,58.0,,
Homo,"(Perlmutter et al., 1987)",32,none,PET,,,113.4,27.7,,
Homo,"(Tohgi et al., 1998)",6,none,PET,,,151.8,17.9,,
Homo,"(Wessen et al., 1997)",6,none,PET,,,210.0,38.5,,
Homo,"(Yamaguchi et al., 1986)",14,none,PET,,,162.5,22.5,,
Homo,"(Yamaguchi et al., 1992a)",10,none,PET,,,159.8,26.3,,
Papio,"(Kiyosawa et al., 1989)",9,Phencyclidine,PET,24.4,3.3,,,,
