"Species","Reference","n","Anesthesia","Mode","Region","CMRgl_umol_100g_min","CMRgl_SD","CMRO2_umol_100g_min","CMRO2_SD","CBF_ml_100g_min","CBF_SD","source"
"Homo","(Baxter et al., 1987)",7,"none","PET","Thalamus",29.3,3.1,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Baxter et al., 1987)",7,"none","PET","Thalamus",34.4,4.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(B iveretal., 1994)",12,"none","PET","Thalamus",30.1,4.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Bromberg et al., 1990)",12,"none","PET","Thalamus",39,9.4,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Brooks et al., 1987)",27,"none","PET","Thalamus",45.2,9,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Buchsbaum et al., 1989)",10,"none","PET","Thalamus",24.3,7.2,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Chugani et al., 1987)",7,"none","PET","Thalamus",32.2,5.2,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Clark et al., 2001)",32,"none","PET","Thalamus",42.2,6.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Delvenne et al., 1997)",10,"none","PET","Thalamus",30.1,2.8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Delvenne et al., 1999)",10,"none","PET","Thalamus",30.1,2.9,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Duara et al., 1983)",18,"none","PET","Thalamus",27.4,8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Gilman et al., 1990)",13,"none","PET","Thalamus",34.6,5.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Gilman et al., 1990)",10,"none","PET","Thalamus",41.9,9.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Heiss et al., 1985)",6,"none","PET","Thalamus",38.4,3.2,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Hirono et al., 2000)",15,"none","PET","Thalamus",42.2,6.9,NA,NA,NA,NA,"Kaufman__2004"
