Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Martinot et al., 1990)",8,none,PET,38.9,5.9,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,37.2,7.2,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,48.2,5.2,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,36.6,4.4,,,,
M fascic,"(Schwartzman et al., 1988)",,6 none,Sokoloff,70.3,12.2,,,,
Meriones,"(Choki et al., 1984)",,3 none,Sokoloff,79.0,12.0,,,,
Rattus,"(Blin et al., 1991)",10,none,Sokoloff,87.3,11.6,,,,
Rattus,"(Bryan and Lehman, 1988)",10,none,Sokoloff,101.0,9.5,,,,
Rattus,"(Chang et al., 2001)",8,none,Sokoloff,112.0,28.3,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,153.0,1.0,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,143.0,6.0,,,,
Rattus,"(Crosby et al., 1982)",8,none,Sokoloff,128.0,11.3,,,,
Rattus,"(Crosby et al., 1984)",5,none,Sokoloff,121.0,8.9,,,,
Rattus,"(Crosby et al., 1984)",5,N 20,Sokoloff,115.0,11.2,,,,
Rattus,"(Cudennec et al., 1997)",7,none,Sokoloff,155.0,29.1,,,,
Rattus,"(D am et al., 1990)",5,none,Sokoloff,134.0,17.9,,,,
Rattus,"(Dow-Edwards et al., 1986)",4,none,Sokoloff,166.0,20.0,,,,
Rattus,"(Duelli et al., 2000)",5,none,Sokoloff,104.3,10.2,,,,
Rattus,"(Eintrei et al., 1999)",6,none,Sokoloff,139.0,12.2,,,,
Rattus,"(Freedland et al., 2002)",5,none,Sokoloff,140.3,11.2,,,,
Rattus,"(Frietsch et al., 2000)",12,none,Sokoloff,131.0,22.0,,,,
Rattus,"(Frietsch et al., 2000)",12,Isoflurane,Sokoloff,47.0,6.0,,,,
Rattus,"(Grome and McCulloch, 1983)",6,none,Sokoloff,132.0,15.8,,,,
Rattus,"(Hakim et al., 1983)",7,none,Sokoloff,173.0,23.8,,,,
Rattus,"(Ingvar et al., 1980)",10,N 20,Sokoloff,89.0,12.6,,,,
Rattus,"(Ingvar and Siesjo, 1982)",6,none,Sokoloff,82.0,7.3,,,,
Rattus,"(Ingvar and Siesjo, 1982)",10,N 20,Sokoloff,91.0,12.6,,,,
Rattus,"(Kadekaro et al., 1983)",7,none,Sokoloff,126.0,10.6,,,,
Rattus,"(Lenz et al., 1998)",6,none,Sokoloff,113.0,10.0,,,,
Rattus,"(MacNeill and Bryan, 1988)",10,none,Sokoloff,104.0,9.5,,,,
Rattus,"(Maekawa et al., 1986)",6,none,Sokoloff,94.0,10.0,,,,
Rattus,"(Nehlig et al., 1985)",6,none,Sokoloff,159.0,19.6,,,,
Rattus,"(Ori et al., 1986)",6,none,Sokoloff,116.0,12.2,,,,
Rattus,"(Orzi et al., 1983)",5,none,Sokoloff,134.0,17.9,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",7,none,Sokoloff,117.7,7.0,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",5,none,Sokoloff,103.3,15.0,,,,
Rattus,"(Sakurada et al., 1978)",5,N 20,Sokoloff,110.0,6.0,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,149.0,22.0,,,,
Rattus,(,,,Sokoloff,1977,10,,,,
Rattus,"(Soncrant et al., 1992)",16,none,Sokoloff,98.0,16.0,,,,
Rattus,"(Wechsler et al., 1979)",5,none,Sokoloff,160.0,24.6,,,,
Rattus,"(Grome and McCulloch, 1981)",16,none,Sokoloff,127.0,8.0,,,,
Rattus,"(Whitlow et al., 2002)",5,none,Sokoloff,148.5,2.2,,,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,122.7,5.5,,,,
Mus,"(Jay et al., 1985)",8,none,Sokoloff,101.0,11.3,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,151.0,9.0,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,146.0,17.0,,,,
Mus,"(Nowaczyk and Des Rosiers, 1981)",4,none,Sokoloff,73.0,12.0,,,,
Mus,"(Yamaguchi et al., 1992b)",6,none,Sokoloff,87.0,8.6,,,,
Mus,"(Zocchi et al., 2001)",4,none,Sokoloff,78.0,6.0,,,,
Mus,"(Zocchi et al., 2001)",6,none,Sokoloff,64.0,6.0,,,,
