"Species","Reference","n","Anesthesia","Mode","Region","CMRgl_umol_100g_min","CMRgl_SD","CMRO2_umol_100g_min","CMRO2_SD","CBF_ml_100g_min","CBF_SD","source"
"Homo","(Alkire et a l, 1995)",6,"none","PET","Neocortex",34.4,9.8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Azari et al., 1994)",15,"none","PET","Neocortex",37.5,5.1,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Baxter et al., 1987)",7,"none","PET","Neocortex",26,2.4,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Baxter et al., 1987)",7,"none","PET","Neocortex",32.6,4.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Bokde et al., 2001)",18,"none","PET","Neocortex",42.6,9.5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Bromberg et al., 1990)",12,"none","PET","Neocortex",34.1,7.5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Brooks et al., 1987)",27,"none","PET","Neocortex",36.4,6.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Buchsbaum et al., 1989)",10,"none","PET","Neocortex",21.4,6.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Chugani et al., 1987)",7,"none","PET","Neocortex",26.3,3.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(C larketal., 2001)",32,"none","PET","Neocortex",48.8,8.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Delvenne et al., 1997)",10,"none","PET","Neocortex",29.7,1.8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Delvenne et al., 1999)",10,"none","PET","Neocortex",29.6,1.9,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Duara et al., 1983)",18,"none","PET","Neocortex",28.4,6.6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Foster et al., 1984)",8,"none","PET","Neocortex",40.2,7.6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Fukuyama et al., 1994)",9,"none","PET","Neocortex",36.6,3.8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Gilman et al., 1990)",13,"none","PET","Neocortex",30.8,5.1,NA,NA,NA,NA,"Kaufman__2004"
