Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Alkire et al., 1995)",6,none,PET,37.2,11.1,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,23.0,1.9,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,29.3,5.1,,,,
Homo,"(Bokde et al., 2001)",18,none,PET,45.0,7.6,,,,
Homo,"(Brooks et al., 1987)",27,none,PET,36.1,7.0,,,,
Homo,"(Buchsbaum et al., 1989)",10,none,PET,23.2,6.5,,,,
Homo,"(Chugani et al., 1987)",7,none,PET,24.2,3.7,,,,
Homo,"(Clark et al., 2001)",32,none,PET,51.5,8.9,,,,
Homo,"(Delvenne et al., 1997)",10,none,PET,32.3,2.4,,,,
Homo,"(Delvenne et al., 1997)",10,none,PET,32.2,2.5,,,,
Homo,"(Duara et al., 1983)",18,none,PET,31.0,7.0,,,,
Homo,"(Hasselbalch et al., 1994)",9,none,PET,26.6,5.7,,,,
Homo,"(Haxby et al., 1985)",26,none,PET,28.1,7.7,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,38.5,2.2,,,,
Homo,"(Hirono et al., 2000)",15,none,PET,41.2,5.9,,,,
Homo,"(Hu et al., 2000)",9,none,PET,58.5,7.6,,,,
Homo,"(Ishii et al., 1998)",22,none,PET,42.6,5.2,,,,
Homo,"(Kaye et al., 1990)",12,none,PET,31.4,5.2,,,,
Homo,"(Kuhl et al., 1979)",8,none,PET,35.7,4.6,,,,
Homo,"(Kuhl et al., 1982)",25,none,PET,35.7,7.6,,,,
Homo,"(Mazziotta et al., 1981)",7,none,PET,43.1,9.9,,,,
Homo,"(McNamara et al., 1987)",14,none,PET,32.1,7.0,,,,
Homo,"(Perani et al., 1995)",15,none,PET,37.7,4.6,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,35.2,7.2,,,,
Homo,"(Rudolf et al., 2000)",16,none,PET,32.1,nr,,,,
Homo,"(Sachs et al., 1986)",25,none,PET,43.4,7.0,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,51.6,7.8,,,,
Homo,"(Tedeschi et al., 1995)",11,none,PET,33.1,2.6,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,37.7,4.1,,,,
Homo,"(Voikow et al., 1992)",11,none,PET,34.5,4.0,,,,
Homo,"(Yoshii et al., 1988)",30,none,PET,42.2,12.2,,,,
Homo,"(Yoshii et al., 1988)",46,none,PET,37.2,8.3,,,,
Homo,Present Study,5,none,PET,32.6,7.7,,,,
Homo,"(Fukuyama et al., 1994)",9,none,PET,36.7,3.7,115.5,26.2,,
Homo,"(Sasaki et al., 1986)",7,none,PET,36.1,4.4,164.3,25.3,,
Homo,"(Yamaki et al., 1996)",20,none,PET,28.0,2.8,133.9,22.3,,
Homo,"(Bums and Tyrrell, 1992)",4,none,PET,,,136.2,4.9,,
Homo,"(Ishii et al., 1996b)",15,none,PET,,,155.8,28.6,,
Homo,"(Ishii et al., 1996a)",14,none,PET,,,155.4,27.7,,
Homo,"(Kaisti et al., 2003)",8,none,PET,,,205.4,25.9,,
Homo,"(Kaisti et al., 2003)",8,Sevoflurane,PET,,,141.5,13.0,,
Homo,"(Langsjo et al., 2003)",10,none,PET,,,168.8,23.2,,
Homo,"(Leenders et al., 1990)",34,none,PET,,,124.1,14.3,,
Homo,"(Lenzi et al., 1981)",27,none,PET,,,171.7,nr,,
Homo,"(Meyer et al., 1987)",3,none,PET,,,167.0,nr,,
Homo,"(Perlmutter et al., 2987)",32,none,PET,,,129.5,31.7,,
Homo,"(Tohgi et al., 1998)",6,none,PET,,,147.3,26.8,,
Homo,"(Wessen et al., 1997)",6,none,PET,,,213.0,35.0,,
Homo,"(Yamaguchi et al., 1986)",14,none,PET,,,155.8,21.7,,
Homo,"(Yamaguchi et al., 1992a)",10,none,PET,,,140.6,31.7,,
Papio,"(Kiyosawa et al., 1989)",9,Phencyclidine,PET,26.6,5.0,,,,
Papio,"(Meguro etal., 1999)",8,Phencyclidine,PET,43.8,8.3,,,,
Papio,"(Millien et al., 2002)",10,Phencyclidine,PET,39.1,13.6,,,,
Papio,Present Study,2,N 20,PET,45.2,9.0,,,,
M mulatta,"(Cross et al., 2000)",6,none,PET,37.2,7.8,,,,
M mulatta,"(Enlund et a l, 1997)",4,Ketamine,PET,,,191.5,36.0,,
M fascic,"(Deuel and Collins, 1984)",4,none,Sokoloff,48.3,,,,,
M fascic,"(Kuge et al., 2001)",4,Sevoflurane,PET,28.9,7.4,,,,
