Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Chugani et al., 1987)",7,none,PET,23.83,3.44,,,,
Homo,"(Haxby et al., 1985)",26,none,PET,29.86,7.80,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,44.20,3.07,,,,
Homo,"(Hirono et al., 2000)",15,none,PET,42.46,6.20,,,,
Homo,"(Martinet et al., 1990)",8,none,PET,36.08,7.80,,,,
Homo,"(McNamara et al., 1987)",14,none,PET,32.17,5.60,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,51.40,8.40,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,38.90,5.40,,,,
Homo,Present Study,5,none,PET,38.00,8.00,,,,
Homo,"(Fukuyama et al., 1994)",9,none,PET,36.21,4.35,111.36,25.19,,
Homo,"(Ishii et al., 1996b)",15,none,PET,,,151.79,25.00,,
Homo,"(Lenzi et al., 1981)",27,none,PET,,,199.78,nr,,
Homo,"(Pantano et al., 1984)",18,none,PET,,,156.25,26.80,,
Homo,"(Perlmutter et al., 1987)",32,none,PET,,,122.99,28.13,,
Papio,"(Meguro et al., 1999)",8,Phencyclidine,PET,46.90,7.80,,,,
Papio,"(Millien et al., 2002)",10,Phencyclidine,PET,45.20,15.80,,,,
Papio,Present Study,2,N20,PET,60.3,12.4,,,,
M mulatta,"(Palombo et al., 1988)",3,none,Sokoloff,47.00,3.50,,,,
M mulatta,"(Palombo et al., 1990)",4,none,Sokoloff,46.00,4.00,,,,
M mulatta,"(Porrino et al., 1987)",3,none,Sokoloff,47.00,4.00,,,,
M fascic,"(Lyons et al., 1996)",3,none,Sokoloff,56.00,5.20,,,,
M fascic,"(Schwartzman et al., 1988)",6,none,Sokoloff,48.90,3.40,,,,
M fascic,"(Deuel and Collins, 1984)",4,none,Sokoloff,64.75,nr,,,,
Lepus,"(Passero et al., 1981)",5,none,Sokoloff,82.65,15.30,,,,
Meriones,"(Choki e ta l, 1983)",6,none,Sokoloff,67.20,16.70,,,,
