Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Alkire et al., 1995)",6,none,PET,29.00,8.00,,,,
Homo,"(Blomqvist et al., 1994)",3,none,PET,25.70,nr,,,,
Homo,"(Delvenne etal., 1997)",10,none,PET,24.65,2.58,,,,
Homo,"(Hasselbalch et al., 1994)",9,none,PET,30.70,5.00,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,36.20,2.38,,,,
Homo,"(Kaye et al., 1990)",12,none,PET,29.25,3.40,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,34.50,6.70,,,,
Homo,"(Reivich et al., 1979)",2,none,PET,32.75,nr,,,,
Homo,"(Rudolf et al., 2000)",16,none,PET,35.20,4.90,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,37.30,5.16,,,,
Homo,Present Study,5,none,PET,26.80,4.70,,,,
Homo,"(Kuhl et al., 1982)",25,none,PET,28.00,6.30,147.00,15.00,,
Homo,"(Bednarczyk et al., 1992)",6,none,PET,27.20,2.80,147.30,43.70,41.40,4.70
Homo,"(Blomqvist et al., 1990)",7,none,PET,28.30,4.30,152.70,11.60,50.20,6.70
Homo,"(Cohen et al., 1964)",10,Halothane,Kety-Schmidt,23.03,2.80,125.00,nr,50.80,nr
Homo,"(Cohen et al., 1967)",9,none,Kety-Schmidt,24.87,1.60,134.82,6.70,44.97,2.19
Homo,"(Dastur, 1985)",15,none,Kety-Schmidt,33.30,3.90,156.70,9.40,62.10,2.90
Homo,"(Hoyer et al., 1984)",15,none,PET,27.59,nr,158.04,nr,52.90,
Homo,"(Jobes et al., 1977)",6,none,PET,23.00,3.70,144.20,41.50,48.20,10.80
Homo,"(Madsen et al., 1995)",8,none,PET,23.30,2.40,142.50,18.90,50.60,4.90
Homo,"(Mielck et al., 1998)",9,none,PET,22.20,3.90,147.30,31.30,45.00,10.00
Homo,"(Mielck et al., 1998)",9,Desflurane,PET,14.40,3.90,71.40,8.90,35.00,6.00
Homo,"(Ogawaetal., 1996)",7,none,PET,24.90,7.21,136.74,31.69,42.54,2.19
Homo,"(Redies et al., 1989)",4,none,PET,29.00,2.00,154.00,24.00,43.00,12.00
Homo,"(Scheinberg and Stead, 1949)",20,none,PET,34.40,7.80,169.20,24.60,64.70,12.10
Homo,"(Felding et al., 1995)",9,"Halothane, N 20",Kety-Schmidt,,,93.80,13.40,33.00,8.00
Homo,"(Frackowiak et al., 1980)",11,none,PET,,,201.79,46.40,49.80,12.50
Homo,"(Jakobsen et al., 1990)",8,none,Kety-Schmidt,,,142.86,17.90,52.60,8.30
Homo,"(Carpenter et al., 1991)",20,none,PET,,,117.86,22.80,47.70,9.00
Homo,"(Lassen and Munck, 1955)",10,none,Kety-Schmidt,,,156.70,15.60,51.00,6.70
Homo,"(Lassen and Munck, 1955)",10,none,Kety-Schmidt,,,145.98,33.00,52.10,10.50
Homo,"(Madsen et al., 1990b)",8,none,Kety-Schmidt,,,151.80,17.90,57.00,8.00
Homo,"(Madsen et al., 1991b)",11,none,Kety-Schmidt,,,156.25,18.30,56.70,8.00
Homo,"(Madsen et al., 1991a)",9,none,Kety-Schmidt,,,121.88,25.00,49.80,6.30
Homo,"(Madsen et al., 1992)",10,none,Kety-Schmidt,,,171.43,25.40,56.35,14.40
Homo,"(Madsen et al., 1993)",12,none,Kety-Schmidt,,,162.05,21.00,46.90,7.00
Homo,"(Meyer et al., 1987)",3,none,PET,,,165.00,nr,63.00,nr
Homo,"(Mintun et al., 2002)",7,none,PET,,,191.96,47.20,53.50,14.60
Homo,"(Olsen etal., 1992a)",19,none,Kety-Schmidt,,,162.90,33.50,52.00,nr
Homo,"(Olsen et al., 1992b)",8,none,Kety-Schmidt,,,174.10,19.20,58.00,9.30
Homo,"(Olsen etal., 1993)",8,none,Kety-Schmidt,,,161.16,nr,59.90,nr
Homo,"(Olsen etal., 1995)",8,none,Kety-Schmidt,,,129.50,22.30,67.00,13.00
Homo,"(Renou et al., 1978)",7,none,Kety-Schmidt,,,138.84,31.30,56.80,10.40
Homo,"(Sari et al., 1976)",13,none,Kety-Schmidt,,,138.40,26.80,46.00,7.00
Homo,"(Schmidt et al., 1990)",8,none,Kety-Schmidt,,,165.18,nr,52.00,nr
Homo,"(Schmidt et al., 1991)",8,none,Kety-Schmidt,,,156.25,15.62,52.00,4.40
Homo,"(Seitz and Roland, 1992)",5,none,PET,,,160.70,31.30,54.60,9.30
Homo,"(Vafaee etal., 1998)",6,none,PET,,,159.90,19.60,,
Homo,"(Vemhiet et al., 1978)",8,none,Kety-Schmidt,,,127.20,35.70,55.00,8.00
Homo,"(Vorstmp et al., 1984)",6,none,Kety-Schmidt,,,158.04,39.30,56.00,6.00
Homo,"(Wessen et al., 1997)",6,none,PET,,,187.00,58.00,52.00,15.00
Homo,"(Wolff etal., 1994)",8,none,Kety-Schmidt,,,183.00,nr,64.00,nr
Homo,"(Wollman et al., 1964)",13,none,Kety-Schmidt,,,137.95,8.50,44.40,2.20
Homo,"(Mintun et al., 1984)",5,none,PET,,,191.90,16.50,,
Homo,"(Elman et al., 1999)",13,none,PET,,,,,38.10,7.76
Papio,"(Hamar et al., 1979)",5,Phencyclidine,Kety-Schmidt,24.64,1.70,175.40,34.90,39.40,4.76
Papio,"(Harper and MacKenzie, 1977)",7,"Phencyclidine, N 20",Kety-Schmidt,25.30,5.60,144.20,20.10,51.00,5.30
Papio,"(McCulloch and Harper, 1977)",4,"Phencyclidine, N 20",Kety-Schmidt,18.30,nr,143.80,nr,44.00,nr
Papio,"(Reivich et al., 1972)",3,Phencyclidine,Kety-Schmidt,24.60,2.90,175.40,27.00,38.00,5.20
Papio,"(Tagashira et al., 1977)",17,Pentobarbital,Kety-Schmidt,23.20,9.00,124.60,25.40,37.90,8.50
Papio,"(Van Aken et al., 1986)",6,"Phencyclidine, N 20",Kety-Schmidt,24.42,6.53,162.50,44.60,48.30,3.50
Papio,"(Van Hemelrijck et al., 1990)",7,"Phencyclidine, N 20",Kety-Schmidt,20.76,3.70,90.60,19.70,50.01,4.49
Papio,"(Brussel et al., 1991)",8,"Phencyclidine, N 20",Kety-Schmidt,,,151.80,35.70,55.80,8.00
Papio,"(Pappata et al., 1993)",5,"Midazolam, N 20",PET,,,122.30,15.60,35.60,4.60
Papio,"(Sahlin et al., 1986)",11,"Phencyclidine, N 20",Kety-Schmidt,,,145.50,6.25,58.20,10.70
Papio,"(Schumann et al., 1998)",10,"Fentanyl, N 20",PET,,,134.40,16.10,29.30,3.00
Papio,"(TouzanietaL, 1995)",7,"Etomidate, N 20",PET,,,124.60,42.40,32.50,14.60
Papio,"(Sahlin et al., 1987)",13,N 20,Kety-Schmidt,,,143.75,5.80,63.20,4.40
Papio,"(Kawamura et al., 1975)",11,Pentobarbital,Kety-Schmidt,,,110.16,10.80,41.30,4.50
Papio,"(Aoyagi et al., 1975)",12,Pentobarbital,Kety-Schmidt,,,115.40,12.50,36.50,5.40
Papio,"(Harper et al., 1981)",4,"Phencyclidine, N 20",Kety-Schmidt,,,195.50,12.10,62.60,3.60
Papio,"(Young et al., 1996)",4,"Etomidate, N 20",PET,,,148.66,1.04,36.95,9.25
Papio,Present Study,2,N 20,PET,35.52,,,,,
M mulatta,"(Fein, 1975)",19,N20,Kety-Schmidt,32.75,nr,165.18,nr,40.60,nr
M mulatta,"(Mehta et al., 1980)",5,none,Kety-Schmidt,61.30,12.30,270.10,60.20,100.60,14.10
M mulatta,"(Nemoto et al., 1994)",3,none,Kety-Schmidt,44.90,15.40,265.60,24.10,76.10,20.50
M mulatta,"(Yao et al., 1992)",4,none,Kety-Schmidt,43.30,9.60,304.90,32.30,80.00,12.00
M mulatta,"(Schmidt et al., 1945)",11,Thiopentone,Kety-Schmidt,,,165.18,31.25,46.90,11.70
M mulatta,"(Kliefothetal., 1979)",10,Ketamine,Kety-Schmidt,,,151.80,20.00,48.70,8.50
M mulatta,"(Cross et al., 2000)",6,none,PET,34.60,6.90,,,,
M fascic,"(Rockoff et al., 1980)",10,none,Kety-Schmidt,31.64,11.40,136.16,70.50,43.00,3.20
Canis,"(Michenfelder, 1974)",7,Halothane,Kety-Schmidt,26.10,3.30,178.10,37.80,40.00,10.60
Canis,"(Roald etal., 1986a)",6,"Halothane, N 20",Kety-Schmidt,24.60,1.80,208.04,19.60,50.90,9.80
Canis,"(Zimmer, 1975)",13,& Ethylene urea,Kety-Schmidt,27.67,3.99,167.40,53.00,45.60,7.20
Canis,"(Hamer etal., 1978)",10,"Halothane, N 20",Kety-Schmidt,28.90,4.30,169.60,34.80,60.30,8.10
Canis,"(Sieberetal., 1993)",8,none,Kety-Schmidt,44.50,5.00,205.40,22.30,,
Canis,"(Frizzell et al., 1993)",13,"Isoflurane, N 20",Kety-Schmidt,35.90,7.80,147.30,12.10,,
Canis,"(Astrup et al., 1981)",12,Halothane,Kety-Schmidt,,,46.50,4.80,19.60,1.80
Canis,"(McPherson et al., 1997)",5,Isoflurane,Kety-Schmidt,,,156.25,30.00,66.00,17.90
Canis,"(McPherson et al., 1997)",6,Isoflurane,Kety-Schmidt,,,160.70,8.90,74.00,7.00
Canis,"(Roald et al., 1986b)",6,"Halothane, N 20",Kety-Schmidt,,,188.40,40.40,45.00,12.50
Canis,"(Sakabe et al., 1974)",16,Halothane,Kety-Schmidt,,,263.40,64.50,62.70,16.90
Canis,"(Nakanishi et al., 1997)",7,Halothane,Kety-Schmidt,,,272.77,9.38,63.00,5.00
Canis,"(Nakanishi et al., 1997)",7,"Halothane, N 20",Kety-Schmidt,,,317.00,17.40,173.00,26.00
Canis,"(Lanier et al., 1994)",6,Halothane,Kety-Schmidt,,,170.98,17.90,66.00,8.00
Canis,"(Lanier et al., 1990)",6,Halothane,Kety-Schmidt,,,173.21,7.59,70.00,6.00
Canis,"(Roald et al., 1991)",6,"Isoflurane, N 20",Kety-Schmidt,,,163.39,10.27,103.00,15.00
Canis,"(Milde et al., 1990)",18,Halothane,Kety-Schmidt,,,180.80,5.36,83.00,6.00
Canis,"(Roald etal., 1988)",6,Halothane,Kety-Schmidt,,,141.52,13.40,51.50,6.40
Canis,"(Roald et al., 1989)",5,"Isoflurane, N 20",Kety-Schmidt,,,200.45,4.50,58.80,4.80
Canis,"(Fleischer et al., 1988)",9,"Halothane, N 20",Kety-Schmidt,,,236.60,17.90,66.00,4.00
,"(McPherson and Traystman,",,,,,,,,,
Canis,1988),12,Isoflurane,Kety-Schmidt,,,162.95,17.90,69.50,11.00
Canis,"(Milde et al., 1985)",6,"Halothane, N 20",Kety-Schmidt,,,246.43,12.10,145.00,23.00
Canis,"(Lanier et al., 1985)",12,Halothane,Kety-Schmidt,,,191.07,7.40,62.60,4.30
Canis,"(Lanier et al., 1986)",12,Halothane,Kety-Schmidt,,,159.20,8.00,67.00,6.00
Canis,"(Nugent et al., 1982)",12,"Halothane, N 20",Kety-Schmidt,,,240.85,13.40,112.00,11.00
Canis,"(Steen et al., 1983)",6,Spinal Anesthesia,Kety-Schmidt,,,220.98,14.30,56.00,7.00
Canis,"(Miyauchi et al., 1985)",10,Halothane,Kety-Schmidt,,,267.90,8.90,59.00,3.00
Canis,"(Artru and Michenfelder, 1980)",14,"Halothane, N 20",Kety-Schmidt,,,205.40,8.90,78.00,7.00
Canis,"(Boarini et al., 1984)",10,N 20,Kety-Schmidt,,,218.75,20,57.00,4.00
Canis,"(Kassell et al., 1983)",6,"Halothane, N 20",Kety-Schmidt,,,151.80,17.90,68.00,6.00
Canis,"(Qureshi et al., 1999)",10,Pentobarbital,Kety-Schmidt,,,73.20,9.00,22.90,1.90
Canis,"(Rhodes et al., 1981)",6,Pentobarbital,PET,,,159.82,36.20,39.90,8.30
