"Species","Reference","n","Anesthesia","Mode","Region","CMRgl_umol_100g_min","CMRgl_SD","CMRO2_umol_100g_min","CMRO2_SD","CBF_ml_100g_min","CBF_SD","source"
"Homo","(Baxter et al., 1987)",7,"none","PET","Cingulate Cortex",29.3,2.8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Baxter et al., 1987)",7,"none","PET","Cingulate Cortex",36.4,6.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Chugani et al., 1987)",7,"none","PET","Cingulate Cortex",29.8,3.5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Hasselbalch et al., 1994)",9,"none","PET","Cingulate Cortex",29.5,5.8,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Heiss et al., 1985)",6,"none","PET","Cingulate Cortex",44.6,2.9,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Hirono et al., 2000)",15,"none","PET","Cingulate Cortex",40.2,6.9,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Hu et al., 2000)",9,"none","PET","Cingulate Cortex",47.4,7.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Mazziotta et al., 1981)",7,"none","PET","Cingulate Cortex",43.2,12,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Perani et al., 1995)",15,"none","PET","Cingulate Cortex",33.3,3.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Schapiro et al., 1990)",13,"none","PET","Cingulate Cortex",52.5,8.6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Tommasino et al., 1995)",10,"none","PET","Cingulate Cortex",38.6,5.6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","Present Study",5,"none","PET","Cingulate Cortex",42,6.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Langsjo et al., 2003)",10,"none","PET","Cingulate Cortex",27.2,185,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Perlmutter et al., 1987)",32,"none","PET","Cingulate Cortex",31.9,111.6,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Sasaki et al., 1986)",7,"none","PET","Cingulate Cortex",21.1,155.8,NA,NA,NA,NA,"Kaufman__2004"
"Papio","(Meguro et al., 1999)",NA,"Phencylidine, N 20","PET","Cingulate Cortex",49.3,7.8,NA,NA,NA,NA,"Kaufman__2004"
"Papio","(Millien et al., 2002)",NA,"Phencylidine, N 20","PET","Cingulate Cortex",47.5,11.7,NA,NA,NA,NA,"Kaufman__2004"
"Papio","Present Study",2,"N 20","PET","Cingulate Cortex",58.9,13,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Cross et al., 2000)",6,"none","PET","Cingulate Cortex",37.8,8.8,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Noda et al., 2002)",6,"none","PET","Cingulate Cortex",36.6,8.5,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Palombo et al., 1988)",3,"none","Sokoloff","Cingulate Cortex",41,5.2,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Palombo et al., 1990)",4,"none","Sokoloff","Cingulate Cortex",39,4,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Porrino et al., 1987)",3,"none","Sokoloff","Cingulate Cortex",38,2,NA,NA,NA,NA,"Kaufman__2004"
"M fascic","(Deuel and Collins, 1984)",4,"none","Sokoloff","Cingulate Cortex",63.8,NA,NA,NA,NA,NA,"Kaufman__2004"
