Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Alkire et a l, 1995)",6,none,PET,34.4,9.8,,,,
Homo,"(Azari et al., 1994)",15,none,PET,37.5,5.1,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,26.0,2.4,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,32.6,4.7,,,,
Homo,"(Bokde et al., 2001)",18,none,PET,42.6,9.5,,,,
Homo,"(Bromberg et al., 1990)",12,none,PET,34.1,7.5,,,,
Homo,"(Brooks et al., 1987)",27,none,PET,36.4,6.7,,,,
Homo,"(Buchsbaum et al., 1989)",10,none,PET,21.4,6.3,,,,
Homo,"(Chugani et al., 1987)",7,none,PET,26.3,3.3,,,,
Homo,"(C larketal., 2001)",32,none,PET,48.8,8.3,,,,
Homo,"(Delvenne et al., 1997)",10,none,PET,29.7,1.8,,,,
Homo,"(Delvenne et al., 1999)",10,none,PET,29.6,1.9,,,,
Homo,"(Duara et al., 1983)",18,none,PET,28.4,6.6,,,,
Homo,"(Foster et al., 1984)",8,none,PET,40.2,7.6,,,,
Homo,"(Fukuyama et al., 1994)",9,none,PET,36.6,3.8,,,,
Homo,"(Gilman et al., 1990)",13,none,PET,30.8,5.1,,,,
Homo,"(Gilman et al., 1990)",10,none,PET,34.1,6.7,,,,
Homo,"(Hasselbalch et al., 1994)",9,none,PET,29.4,5.4,,,,
Homo,"(Haxby et al., 1985)",26,none,PET,27.8,7.2,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,41.1,2.7,,,,
Homo,"(Hirono et al., 2000)",15,none,PET,40.7,6.3,,,,
Homo,"(Hu et al., 2000)",9,none,PET,48.0,7.7,,,,
Homo,"(Ishii et al., 1998)",22,none,PET,40.9,5.1,,,,
Homo,"(Kaye et al., 1990)",12,none,PET,31.8,5.0,,,,
Homo,"(Kuhl etal., 1979)",8,none,PET,37.8,4.3,,,,
Homo,"(Kuhl et al., 1982)",25,none,PET,36.6,8.3,,,,
Homo,"(Ludolph et al., 1992)",12,none,PET,44.1,9.0,,,,
Homo,"(Martinot et al., 1990)",8,none,PET,36.1,6.8,,,,
Homo,"(Mazziotta et al., 1981)",7,none,PET,42.8,10.7,,,,
Homo,"(McNamara et al., 1987)",14,none,PET,33.7,7.0,,,,
Homo,"(Perani et al., 1995)",15,none,PET,36.4,4.3,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,37.1,7.2,,,,
Homo,"(Redies et al., 1989)",4,none,PET,30.0,4.0,,,,
Homo,"(Sachs et al., 1986)",25,none,PET,45.1,6.2,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,49.6,7.3,,,,
Homo,"(Tedeschi et al., 1995)",11,none,PET,33.4,2.6,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,37.5,5.0,,,,
Homo,"(Volkow et al., 1992)",11,none,PET,38.4,4.5,,,,
Homo,"(Wolkin et al., 1988)",8,none,PET,40.9,5.7,,,,
Homo,"(Wu et al., 1992)",15,none,PET,24.0,6.6,,,,
Homo,"(Yoshii et al., 1988)",30,none,PET,42.9,12.1,,,,
Homo,"(Yoshii et al., 1988)",46,none,PET,37.3,8.3,,,,
Homo,Present Study,5,none,PET,34.7,5.2,,,,
Homo,"(De Voider et al., 1997)",3,none,PET,37.0,6.4,157.0,24.4,48.9,4.8
Homo,"(Frackowiak et al., 1988)",7,none,PET,27.4,2.4,153.0,14.5,43.9,7.4
Homo,"(Hatazawa et al., 1988)",7,none,PET,28.7,5.4,139.7,25.9,44.2,4.2
Homo,"(Yamaki et al., 1996)",20,none,PET,38.9,4.4,147.3,22.0,43.0,7.0
Homo,"(Shishido et al., 1996)",7,none,PET,33.5,4.3,147.0,13.3,44.9,3.9
Homo,"(Sasaki et al., 1986)",7,none,PET,35.6,3.8,149.6,16.4,42.2,4.1
Homo,"(Yamaguchi etal., 1986)",14,none,PET,,,154.5,17.9,42.6,7.8
Homo,"(Yamaguchi et al., 1992a)",10,none,PET,,,146.9,22.3,47.5,6.9
Homo,"(Leenders et al., 1990)",34,none,PET,,,138.8,13.8,42.8,7.0
Homo,"(Hayashi et al., 2000)",16,none,PET,,,147.3,17.9,46.1,8.6
