Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Alkire etal., 1995)",6,none,PET,30.1,8.3,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,23.2,2.3,,,,
Homo,"(Baxter et al., 1987)",7,none,PET,28.6,0.6,,,,
Homo,"(Brooks et al., 1987)",27,none,PET,36.1,6.6,,,,
Homo,"(Buchsbaum et al., 1989)",10,none,PET,17.6,4.6,,,,
Homo,"(Chugani et al., 1987)",7,none,PET,24.0,3.0,,,,
Homo,"(C larketal., 2001)",32,none,PET,45.7,7.8,,,,
Homo,"(Delvenne et al., 1997)",10,none,PET,23.8,1.6,,,,
Homo,"(Delvenne et al., 1999)",10,none,PET,30.1,nr,,,,
Homo,"(Duara et al., 1983)",18,none,PET,23.1,6.0,,,,
Homo,"(Hasselbalch et al., 1994)",9,none,PET,28.9,5.2,,,,
Homo,"(Haxby et al., 1985)",26,none,PET,24.0,5.9,,,,
Homo,"(H eissetal., 1985)",6,none,PET,38.5,2.7,,,,
Homo,"(Hirono et al., 2000)",15,none,PET,36.4,5.5,,,,
Homo,"(H uetal., 2000)",9,none,PET,42.1,7.1,,,,
Homo,"(Ishii et al., 1998)",22,none,PET,39.1,4.9,,,,
Homo,"(Kaye et al., 1990)",12,none,PET,31.6,4.1,,,,
Homo,"(Kuhl et al., 1979)",8,none,PET,38.0,2.5,,,,
Homo,"(Kuhl et al., 1982)",25,none,PET,36.9,8.3,,,,
Homo,"(Martinot et al., 1990)",8,none,PET,32.8,5.4,,,,
Homo,"(Mazziotta et al., 1981)",7,none,PET,44.1,11.6,,,,
Homo,"(Perani et a l, 1995)",15,none,PET,31.6,4.6,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,32.5,5.6,,,,
Homo,"(Redies et al., 1989)",4,none,PET,32.0,6.0,,,,
Homo,"(Rudolf et al., 2000)",16,none,PET,27.2,nr,,,,
Homo,"(Sachs et al., 1986)",25,none,PET,44.1,5.0,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,46.0,6.6,,,,
Homo,"(Tedeschi et al., 1995)",11,none,PET,33.2,3.0,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,30.3,4.6,,,,
Homo,"(Volkow et al., 1992)",11,none,PET,35.8,4.0,,,,
Homo,"(Yoshii et a l, 1988)",30,none,PET,40.0,10.5,,,,
Homo,"(Yoshii et al., 1988)",46,none,PET,34.4,7.2,,,,
Homo,Present Study,5,none,PET,31.0,7.0,,,,
Homo,"(De Voider et al., 1997)",3,none,PET,36.4,6.1,153.3,25.4,,
Homo,"(Fukuyama et al., 1994)",9,none,PET,37.5,3.2,117.7,31.6,,
Homo,"(Sasaki et al., 1986)",7,none,PET,35.3,3.5,161.9,18.4,,
Homo,"(Yamaki et al., 1996)",20,none,PET,27.8,2.2,129.5,17.9,,
Homo,"(Bums and Tyrrell, 1992)",4,none,PET,,,139.7,6.3,,
Homo,"(Ishii et al., 1996a)",15,none,PET,,,169.2,32.1,,
Homo,"(Ishii et al., 1996b)",14,none,PET,,,141.5,20.5,,
Homo,"(Kaisti et al., 2003)",8,none,PET,,,193.3,24.1,,
Homo,"(Kaisti et al., 2003)",8,Sevoflurane,PET,,,143.3,19.2,,
Homo,"(Langsjo et al., 2003)",10,none,PET,,,167.4,17.4,,
Homo,"(Perlmutter et al., 1987)",32,none,PET,,,129.0,32.6,,
Homo,"(Tohgi et al., 1998)",6,none,PET,,,147.3,17.9,,
Homo,"(Wessen et al., 1997)",6,none,PET,,,213.0,35.0,,
Homo,"(Yamaguchi et al., 1986)",14,none,PET,,,151.8,20.6,,
Homo,"(Yamaguchi et al., 1992a)",10,none,PET,,,157.1,22.8,,
Papio,"(Kiyosawa et al., 1989)",9,Phencyclidine,PET,30.5,5.0,,,,
Papio,"(Meguro et al., 1999)",8,Phencyclidine,PET,43.5,9.4,,,,
Papio,"(Millien et al., 2002)",10,Phencyclidine,PET,42.0,10.4,,,,
Papio,"(Yamaguchi et al., 1990)",4,Phencyclidine,PET,27.4,5.2,,,,
Papio,Present Study,2,N 20,PET,45.6,6.8,,,,
M mulatta,"(Cross et at., 2000)",6,none,PET,35.2,7.2,,,,
M mulatta,"(Noda et al., 2002)",6,none,PET,36.0,7.3,,,,
M mulatta,"(Enlundetal., 1997)",4,Ketamine,PET,,,241.5,29.5,,
M fascic,"(Kuge et al., 2001)",4,Sevoflurane,PET,34.7,11.5,,,,
M fascic,"(Lyons et al., 1996)",3,none,Sokoloff,38.0,3.5,,,,
Saimiri,"(Delgado-Zygmunt et al., 1993)",4,"Fentanyl, N 20",Sokoloff,57.0,4.0,,,,
Felis,"(Petitjean et al., 1982)",4,none,Sokoloff,46.0,16.0,,,,
Felis,"(Triolo et al., 1990)",6,N 20,Sokoloff,39.2,4.9,,,,
Rattus,"(Bassant et al., 1996)",7,none,Sokoloff,112.0,7.0,,,,
Rattus,"(Bassant et al., 1996)",8,none,Sokoloff,86.0,11.0,,,,
Rattus,"(Otori et al., 2003)",6,none,Sokoloff,80.3,23.7,,,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,116.0,4.6,,,,
