species,prefrontal_gray_2017,frontal_motor_gray_2017,sum_pfc_motor_gray_2017,anterior_sec5_gray_2011(=prefrontal source),total_frontal_gray_2011,sum_as_pct_of_total_frontal
Cercopithecus ascanius,1.154,1.351,2.505,1.15,7.9399999999999995,31.5
Cercopithecus mitis,1.38,1.852,3.232,1.38,10.190000000000001,31.7
Erythrocebus patas,1.56,2.552,4.112,1.56,11.219999999999999,36.6
Miopithecus talapoin,1.018,0.906,1.924,,,
Alouatta seniculus,1.015,1.077,2.0919999999999996,1.01,5.51,38.0
Ateles geoffroyi,2.773,3.119,5.892,2.77,16.009999999999998,36.8
Lagothrix lagotricha,1.887,2.434,4.321,1.8900000000000001,11.780000000000001,36.7
Cebus albifrons,1.434,1.977,3.411,1.4300000000000002,9.45,36.1
Gorilla gorilla gorilla,11.642,14.854,26.496,11.64,71.11,37.3
Homo sapiens,46.323,29.013,75.336,46.323750000000004,204.165,36.9
Hylobates lar,2.588,2.744,5.332000000000001,2.58,13.61,39.2
Pan paniscus,7.956,8.356,16.312,7.949999999999999,50.66,32.2
Pan troglodytes troglodytes,14.209,13.407,27.616,14.21,68.22,40.5
Pongo pygmaeus,8.596,6.353,14.949,,,
Pithecia pithecia,0.6,0.819,1.419,0.6,3.6799999999999997,38.6
Lophocebus albigena,2.311,3.926,6.237,2.3099999999999996,13.31,46.9
Papio anubis,3.921,4.686,8.607,3.92,24.28,35.4
Nasalis larvatus,0.813,1.749,2.5620000000000003,0.8200000000000001,8.08,31.7
Piliocolobus badius,1.591,2.26,3.851,1.59,10.94,35.2
