Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
table,supplementary table id (S1-S23) this row was extracted from,,,,info,Mammals,Karbowski__2007_TableS1-S23,,
structure,canonical brain structure the table reports,,,,info,Mammals,Karbowski__2007_TableS1-S23,,
subregion,printed subdivision within the table (e.g. Mammilary body; Superior/Inferior colliculus; Corpus callosum; Internal capsule); equals structure when none printed,,,,info,Mammals,Karbowski__2007_TableS1-S23,printed spelling preserved (e.g. "Mammilary"),
species_printed,journal common name exactly as printed (incl. "average <species>" summary rows),,,,info,Mammals,Karbowski__2007_TableS1-S23,printed name preserved,
species,accepted scientific binomial; harmonised via _keys/Stephan/species_key.csv token Karbowski2007,,,,info,Mammals,Karbowski__2007_TableS1-S23,squirrel=Spermophilus tridecemlineatus provisional (Frerichs et al 1995 ground squirrel),
is_average,TRUE = Karbowski's per-species mean of the individual study rows above it; FALSE = single study datum,,,,info,Mammals,Karbowski__2007_TableS1-S23,summary rows flagged not dropped,
CMRgl,cerebral metabolic rate of glucose (regional or whole-brain),see structure col,CMR.umol/g/min,mean,secondary,Mammals,Karbowski__2007_TableS1-S23,value in "value" col; SD in "sd" col,
CMRO2,cerebral metabolic rate of oxygen (whole brain; Table S1),Brain,CMR.ml/g/min,mean,secondary,Mammals,Karbowski__2007_TableS1,value in "value" col; SD in "sd" col,
Total_glucose_utilization,whole-brain total glucose utilization (Table S2),Brain,Rate.umol/min,point,secondary,Mammals,Karbowski__2007_TableS2,no SD printed,
Total_O2_consumption,whole-brain total oxygen consumption (Table S1),Brain,Rate.ml/min,point,secondary,Mammals,Karbowski__2007_TableS1,no SD printed,
value,numeric value of the measure named in the "measure" col,,,,info,Mammals,Karbowski__2007_TableS1-S23,,
sd,standard deviation as printed (blank where none given),,,,info,Mammals,Karbowski__2007_TableS1-S23,,
units,units of the value (umol/g/min | ml/g/min | umol/min | ml/min),,,,info,Mammals,Karbowski__2007_TableS1-S23,,
n_areas,number of cortical areas averaged (Tables S11 & S12 only),,,,info,Mammals,Karbowski__2007_TableS11-S12,,
reference,original study the datum was compiled from (multiple joined with "; "),,,,info,Mammals,Karbowski__2007_TableS1-S23,Karbowski is a secondary compiler of these primary studies,
Method:CMR,glucose measured by [14C]2-deoxyglucose (2DG) or [18F]FDG; oxygen by Kety-Schmidt or related; adult awake unanesthetized animals,,,,method,Mammals,Karbowski__2007_TableS1-S23,see Table S23 Supplementary Methods; mouse (Quelven 2004) values are estimates,
