Species group,Case number,17,18,DL,DM,DI,FST,MT,MST,Total
Squirrel monkey,1,19.5,7.6,4.4,0.8,1.0,2.7,1.3,1.4,39.7
Squirrel monkey,2,19.9,8.9,4.7,0.4,1.0,3.1,1.1,1.1,41.2
Squirrel monkey,3,17.4,8.7,4.2,0.2,0.9,3.0,1.6,1.2,38.2
Squirrel monkey,4,19.7,6.5,3.4,0.2,1.0,2.6,1.3,1.4,37.1
Squirrel monkey,5,19.1,9.4,4.0,0.3,1.3,2.4,1.4,1.1,40.0
Squirrel monkey,6,13.7,7.1,5.7,0.4,1.4,3.2,1.6,1.8,35.9
Squirrel monkey,Mean %,18.2,8.0,4.4,0.4,1.1,2.8,1.4,1.3,38.7
Squirrel monkey,Std Dev,2.4,1.1,0.8,0.2,0.2,0.3,0.2,0.3,2.0
Owl monkey,1,14.6,9.2,3.5,1.7,1.5,2.0,2.1,1.7,36.3
Owl monkey,2,18.4,8.8,3.3,2.4,1.8,1.2,1.8,1.1,38.8
Owl monkey,3,15.0,5.0,2.2,1.5,1.6,1.5,1.3,1.3,29.4
Owl monkey,4,6.7,7.5,4.2,1.7,1.3,2.1,1.8,1.8,27.1
Owl monkey,Mean %,13.7,7.6,3.3,1.8,1.6,1.7,1.8,1.5,32.9
Owl monkey,Std Dev,4.9,1.9,0.8,0.4,0.2,0.4,0.3,0.3,6.3
Marmoset,1,16.1,8.2,4.0,1.8,2.8,2.5,1.5,1.1,38.0
Marmoset,2,16.9,8.8,3.5,1.5,2.2,2.7,2.3,1.6,39.5
Marmoset,3,20.0,8.8,3.7,1.1,1.9,2.4,2.0,1.5,41.4
Marmoset,4,15.7,7.5,4.1,1.3,1.7,2.5,1.9,1.7,36.4
Marmoset,5,22.3,9.6,3.1,1.4,2.0,1.7,1.7,1.3,43.1
Marmoset,6,18.5,9.3,4.4,1.3,2.2,2.0,1.6,1.1,40.4
Marmoset,Mean %,18.3,8.7,3.8,1.4,2.1,2.3,1.8,1.4,39.8
Marmoset,Std Dev,2.5,0.8,0.5,0.2,0.4,0.4,0.3,0.3,2.4
Galago,1,19.6,6.8,2.9,0.6,0.7,2.2,2.3,2.2,37.4
Galago,2,15.9,4.6,2.0,0.8,1.0,2.7,1.9,1.4,30.3
Galago,3,13.5,8.0,2.5,1.2,1.3,2.7,2.5,1.9,33.6
Galago,4,16.0,4.4,2.6,0.8,1.4,1.8,2.0,2.1,31.1
Galago,Mean %,16.3,6.0,2.5,0.9,1.1,2.4,2.2,1.9,33.1
Galago,Std Dev,2.5,1.7,0.4,0.2,0.3,0.4,0.2,0.4,3.2
