Original_Term,Reference,Standardized_Term
"Cerebellum Mass, g",HerculanoHouzel_etal_2015_Table2,Cerebellum_Mass.g
"Cerebellum Mass, g SD",HerculanoHouzel_etal_2015_Table2,Cerebellum_Mass.g_SD
"Cerebellum N, n",HerculanoHouzel_etal_2015_Table2,Cerebellum_N.n
"Cerebellum N, n SD",HerculanoHouzel_etal_2015_Table2,Cerebellum_N.n_SD
Cerebellum N/mg,HerculanoHouzel_etal_2015_Table2,Cerebellum_N.p.mg
Cerebellum N/mg SD,HerculanoHouzel_etal_2015_Table2,Cerebellum_N.p.mg_SD
"Cerebellum O, n",HerculanoHouzel_etal_2015_Table2,Cerebellum_O.n
"Cerebellum O, n SD",HerculanoHouzel_etal_2015_Table2,Cerebellum_O.n_SD
Cerebellum O/N,HerculanoHouzel_etal_2015_Table2,Cerebellum_O.p.N
Cerebellum O/N SD,HerculanoHouzel_etal_2015_Table2,Cerebellum_O.p.N_SD
Cerebellum O/mg,HerculanoHouzel_etal_2015_Table2,Cerebellum_O.p.mg
Cerebellum O/mg SD,HerculanoHouzel_etal_2015_Table2,Cerebellum_O.p.mg_SD
Cerebellum Source,HerculanoHouzel_etal_2015_Table2,Cerebellum_Source
Order,HerculanoHouzel_etal_2015_Table2,Order
Species,HerculanoHouzel_etal_2015_Table2,Species
