Original_Term,Reference,Standardized_Term
DNCB,DosSantos_etal_2017_TableS1,Cerebellum_N.p.mg
DNCX,DosSantos_etal_2017_TableS1,CerebralCortex_N.p.mg
DND + S,DosSantos_etal_2017_TableS1,DiencephalonStriatum_N.p.mg
DNGM,DosSantos_etal_2017_TableS1,CerebralCortexGrey_N.p.mg
DNHP,DosSantos_etal_2017_TableS1,Hippocampus_N.p.mg
DNMES,DosSantos_etal_2017_TableS1,Mesencephalon_N.p.mg
DNMES+D+S,DosSantos_etal_2017_TableS1,MesencephalonDiencephalonStriatum_N.p.mg
DNOB,DosSantos_etal_2017_TableS1,OlfactoryBulb_N.p.mg
DNP+M,DosSantos_etal_2017_TableS1,PonsMedulla_N.p.mg
DNROB,DosSantos_etal_2017_TableS1,RoB_N.p.mg
MBD,DosSantos_etal_2017_TableS1,Body_Mass.g
MBR,DosSantos_etal_2017_TableS1,WholeBrain_Mass.g
MCB,DosSantos_etal_2017_TableS1,Cerebellum_Mass.g
MCX,DosSantos_etal_2017_TableS1,CerebralCortex_Mass.g
MD+S,DosSantos_etal_2017_TableS1,DiencephalonStriatum_Mass.g
MHP,DosSantos_etal_2017_TableS1,Hippocampus_Mass.g
MMES,DosSantos_etal_2017_TableS1,Mesencephalon_Mass.g
MMES+D+S,DosSantos_etal_2017_TableS1,MesencephalonDiencephalonStriatum_Mass.g
MOB,DosSantos_etal_2017_TableS1,OlfactoryBulb_Mass.g
MP+M,DosSantos_etal_2017_TableS1,PonsMedulla_Mass.g
MROB,DosSantos_etal_2017_TableS1,RoB_Mass.g
NBR,DosSantos_etal_2017_TableS1,WholeBrain_N.n
NCB,DosSantos_etal_2017_TableS1,Cerebellum_N.n
NCX,DosSantos_etal_2017_TableS1,CerebralCortex_N.n
ND+S,DosSantos_etal_2017_TableS1,DiencephalonStriatum_N.n
NGM,DosSantos_etal_2017_TableS1,CerebralCortexGrey_N.n
NHP,DosSantos_etal_2017_TableS1,Hippocampus_N.n
NMES,DosSantos_etal_2017_TableS1,Mesencephalon_N.n
NMES+D+S,DosSantos_etal_2017_TableS1,MesencephalonDiencephalonStriatum_N.n
NOB,DosSantos_etal_2017_TableS1,OlfactoryBulb_N.n
NP+M,DosSantos_etal_2017_TableS1,PonsMedulla_N.n
NROB,DosSantos_etal_2017_TableS1,RoB_N.n
O/NBR,DosSantos_etal_2017_TableS1,WholeBrain_O.p.N
O/NCB,DosSantos_etal_2017_TableS1,Cerebellum_O.p.N
O/NCX,DosSantos_etal_2017_TableS1,CerebralCortex_O.p.N
O/ND+S,DosSantos_etal_2017_TableS1,DiencephalonStriatum_O.p.N
O/NGM,DosSantos_etal_2017_TableS1,CerebralCortexGrey_O.p.N
O/NHP,DosSantos_etal_2017_TableS1,Hippocampus_O.p.N
O/NMES,DosSantos_etal_2017_TableS1,Mesencephalon_O.p.N
O/NMES+D+S,DosSantos_etal_2017_TableS1,MesencephalonDiencephalonStriatum_O.p.N
O/NOB,DosSantos_etal_2017_TableS1,OlfactoryBulb_O.p.N
O/NP+M,DosSantos_etal_2017_TableS1,PonsMedulla_O.p.N
O/NROB,DosSantos_etal_2017_TableS1,RoB_O.p.N
Species,DosSantos_etal_2017_TableS1,Species
