Original_Term,Reference,Standardized_Term
%NSC,Burish_etal_2010_Table1,SpinalCord_p.C.N
%NSC_SD,Burish_etal_2010_Table1,SpinalCord_p.C.N_SD
DN,Burish_etal_2010_Table1,SpinalCord_N.p.mg
DN_SD,Burish_etal_2010_Table1,SpinalCord_N.p.mg_SD
DO,Burish_etal_2010_Table1,SpinalCord_O.p.mg
DO_SD,Burish_etal_2010_Table1,SpinalCord_O.p.mg_SD
LSC,Burish_etal_2010_Table1,SpinalCord_Length.mm
LSC_SD,Burish_etal_2010_Table1,SpinalCord_Length.mm_SD
MBD,Burish_etal_2010_Table1,Body_Mass.g
MBD_SD,Burish_etal_2010_Table1,Body_Mass.g_SD
MBR,Burish_etal_2010_Table1,WholeBrain_Mass.g
MSC,Burish_etal_2010_Table1,SpinalCord_Mass.g
"MSC%
MBD",Burish_etal_2010_Table1,SpinalCord_p.C.Body.mass
"MSC%
MCNS",Burish_etal_2010_Table1,SpinalCord_p.C.CNS.mass
MSC_SD,Burish_etal_2010_Table1,SpinalCord_Mass.g_SD
NBR,Burish_etal_2010_Table1,WholeBrain_N.n
NSC,Burish_etal_2010_Table1,SpinalCord_N.n
"NSC%
NCNS",Burish_etal_2010_Table1,SpinalCord_p.C.CNS.neurons
NSC_SD,Burish_etal_2010_Table1,SpinalCord_N.n_SD
OSC,Burish_etal_2010_Table1,SpinalCord_O.n
OSC_SD,Burish_etal_2010_Table1,SpinalCord_O.n_SD
Species,Burish_etal_2010_Table1,Species
n,Burish_etal_2010_Table1,SpinalCord_n
