Original_Term,Reference,Standardized_Term
Mesencephalon_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1,Mesencephalon_O.p.mg
Pons_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1,Pons_O.p.mg
Medulla oblongata_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1,Medulla_O.p.mg
Whole brain_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,WholeBrain_O.p.N
Cerebral cortex (including Hp + amygdala)_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,CerebralCortex_O.p.N
Cerebral cortical grey matter_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,CerebralCortexGrey_O.p.N
Cerebral cortical white matter_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,CerebralCortexWhite_O.p.N
Cerebellum_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,Cerebellum_O.p.N
"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells/neuron",AvelinodeSouza_etal_2025_TABLE1,RoB_O.p.N
Amygdala_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,Amygdala_O.p.N
Hippocampus_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,Hippocampus_O.p.N
Diencephalon + Striatum_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,DiencephalonStriatum_O.p.N
Mesencephalon_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,Mesencephalon_O.p.N
Pons_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,Pons_O.p.N
Medulla oblongata_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1,Medulla_O.p.N
