Original_Term,Reference,Standardized_Term
Brain stem_N.n,Kverkova_etal_2018_TableS5,MesencephalonMedulla_N.n
Brain stem_N.n_SD,Kverkova_etal_2018_TableS5,MesencephalonMedulla_N.n_SD
Cerebellum_N.n,Kverkova_etal_2018_TableS5,Cerebellum_N.n
Cerebellum_N.n_SD,Kverkova_etal_2018_TableS5,Cerebellum_N.n_SD
Cortex_N.n,Kverkova_etal_2018_TableS5,CerebralCortex_N.n
Cortex_N.n_SD,Kverkova_etal_2018_TableS5,CerebralCortex_N.n_SD
Olfactory bulbs_N.n,Kverkova_etal_2018_TableS5,OlfactoryBulb_N.n
Olfactory bulbs_N.n_SD,Kverkova_etal_2018_TableS5,OlfactoryBulb_N.n_SD
Species,Kverkova_etal_2018_TableS5,Species
Subcortical forebrain_N.n,Kverkova_etal_2018_TableS5,SubcorticalForebrain_N.n
Subcortical forebrain_N.n_SD,Kverkova_etal_2018_TableS5,SubcorticalForebrain_N.n_SD
Whole brain_N.n,Kverkova_etal_2018_TableS5,WholeBrainOlfactoryBulb_N.n
Whole brain_N.n_SD,Kverkova_etal_2018_TableS5,WholeBrainOlfactoryBulb_N.n_SD
