Original_Term,Reference,Standardized_Term
Common Name,JardimMesseder_etal_2017_Table1,CommonName
DNCB,JardimMesseder_etal_2017_Table1,Cerebellum_N.p.mg
DNCxT,JardimMesseder_etal_2017_Table1,CerebralCortex_N.p.mg
DNHP,JardimMesseder_etal_2017_Table1,Hippocampus_N.p.mg
DNOB,JardimMesseder_etal_2017_Table1,OlfactoryBulb_N.p.mg
DNRoB,JardimMesseder_etal_2017_Table1,RoB_N.p.mg
MBD.kg,JardimMesseder_etal_2017_Table1,Body_Mass.kg
MBR.g,JardimMesseder_etal_2017_Table1,WholeBrain_Mass.g
MCB.g,JardimMesseder_etal_2017_Table1,Cerebellum_Mass.g
MCxT.g,JardimMesseder_etal_2017_Table1,CerebralCortex_Mass.g
MHP.g,JardimMesseder_etal_2017_Table1,Hippocampus_Mass.g
MOB.g,JardimMesseder_etal_2017_Table1,OlfactoryBulb_Mass.g
MRoB.g,JardimMesseder_etal_2017_Table1,RoB_Mass.g
NBR,JardimMesseder_etal_2017_Table1,WholeBrain_N.n
NCB,JardimMesseder_etal_2017_Table1,Cerebellum_N.n
NCxT,JardimMesseder_etal_2017_Table1,CerebralCortex_N.n
NHP,JardimMesseder_etal_2017_Table1,Hippocampus_N.n
NOB,JardimMesseder_etal_2017_Table1,OlfactoryBulb_N.n
NRoB,JardimMesseder_etal_2017_Table1,RoB_N.n
O/NBR,JardimMesseder_etal_2017_Table1,WholeBrain_O.p.N
O/NCB,JardimMesseder_etal_2017_Table1,Cerebellum_O.p.N
O/NCXT,JardimMesseder_etal_2017_Table1,CerebralCortex_O.p.N
O/NHP,JardimMesseder_etal_2017_Table1,Hippocampus_O.p.N
O/NOB,JardimMesseder_etal_2017_Table1,OlfactoryBulb_O.p.N
O/NRoB,JardimMesseder_etal_2017_Table1,RoB_O.p.N
OBR,JardimMesseder_etal_2017_Table1,WholeBrain_O.n
OCB,JardimMesseder_etal_2017_Table1,Cerebellum_O.n
OCxT,JardimMesseder_etal_2017_Table1,CerebralCortex_O.n
OHP,JardimMesseder_etal_2017_Table1,Hippocampus_O.n
OOB,JardimMesseder_etal_2017_Table1,OlfactoryBulb_O.n
ORoB,JardimMesseder_etal_2017_Table1,RoB_O.n
Species,JardimMesseder_etal_2017_Table1,Species
