Original_Term,Reference,Standardized_Term
"Olfactory bulb Mass, g",HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_Mass.g
"Olfactory bulb Mass, g SD",HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_Mass.g_SD
"Olfactory bulb N, n",HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_N.n
"Olfactory bulb N, n SD",HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_N.n_SD
Olfactory bulb N/mg,HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_N.p.mg
Olfactory bulb N/mg SD,HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_N.p.mg_SD
"Olfactory bulb O, n",HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_O.n
"Olfactory bulb O, n SD",HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_O.n_SD
Olfactory bulb O/N,HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_O.p.N
Olfactory bulb O/N SD,HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_O.p.N_SD
Olfactory bulb O/mg,HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_O.p.mg
Olfactory bulb O/mg SD,HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_O.p.mg_SD
Olfactory bulb Source,HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_Source
Olfactory bulb n,HerculanoHouzel_etal_2015_Table4,OlfactoryBulb_n
Order,HerculanoHouzel_etal_2015_Table4,Order
Species,HerculanoHouzel_etal_2015_Table4,Species
