"Sample","Structure_Balzeau2012","Structure","n","Mean_surface_sizecorrected","V_star","source"
"Homo habilis s.l.","Frontal lobes","FrontalLobe",4,116,1.48,"Balzeau_etal_2012"
"African and Georgian Homo erectus s.l.","Frontal lobes","FrontalLobe",5,113,4.16,"Balzeau_etal_2012"
"Asian Homo erectus","Frontal lobes","FrontalLobe",15,117,3.16,"Balzeau_etal_2012"
"Neandertals s.l.","Frontal lobes","FrontalLobe",12,119,4.13,"Balzeau_etal_2012"
"AMH","Frontal lobes","FrontalLobe",110,114,4.27,"Balzeau_etal_2012"
"Homo habilis s.l.","Parieto-temporal lobes","Parieto-TemporalLobe",4,137,3.32,"Balzeau_etal_2012"
"African and Georgian Homo erectus s.l.","Parieto-temporal lobes","Parieto-TemporalLobe",5,138,3.11,"Balzeau_etal_2012"
"Asian Homo erectus","Parieto-temporal lobes","Parieto-TemporalLobe",14,130,2.11,"Balzeau_etal_2012"
"Neandertals s.l.","Parieto-temporal lobes","Parieto-TemporalLobe",11,134,3.5,"Balzeau_etal_2012"
"AMH","Parieto-temporal lobes","Parieto-TemporalLobe",109,141,2.94,"Balzeau_etal_2012"
"Homo habilis s.l.","Occipital lobes","OccipitalLobe",4,74,8.2,"Balzeau_etal_2012"
"African and Georgian Homo erectus s.l.","Occipital lobes","OccipitalLobe",5,70,5.73,"Balzeau_etal_2012"
"Asian Homo erectus","Occipital lobes","OccipitalLobe",16,79,4.97,"Balzeau_etal_2012"
"Neandertals s.l.","Occipital lobes","OccipitalLobe",12,76,7.27,"Balzeau_etal_2012"
"AMH","Occipital lobes","OccipitalLobe",110,69,8.1,"Balzeau_etal_2012"
