Table 3. Size-corrected dimensions for the surface of the frontal, parieto-temporal and occipital lobes in the different analysed samples.,,,,,,,,,,,,,,,
,Homo habilis s.l.,,,African and Georgian Homo erectus s.l.,,,Asian Homo erectus,,,Neandertals s.l.,,,AMH,,
,n,Mean,V*,n,Mean,V*,n,Mean,V*,n,Mean,V*,n,Mean,V*
Frontal lobes,4,116,1.48,5,113,4.16,15,117,3.16,12,119,4.13,110,114,4.27
Parieto-temporal lobes,4,137,3.32,5,138,3.11,14,130,2.11,11,134,3.50,109,141,2.94
Occipital lobes,4,74,8.20,5,70,5.73,16,79,4.97,12,76,7.27,110,69,8.10
