Figure 3(b): absolute cerebellar volumes (cc), Left/Right, digitized estimates.
Region,Group,Left_cc,Right_cc
Ce A,NT,6.2,5.9
Ce A,EH,6.4,6.4
Ce A,MH,6.4,6.4
Ce P,NT,55.0,52.0
Ce P,EH,58.5,58.0
Ce P,MH,58.0,58.0
