"Region_code","Structure","Subregion","NT_rel","EH_rel","MH_rel","source","note"
"Fr SM","FrontalLobe","superior and middle",0.98,1.01,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Fr I","FrontalLobe","inferior",1,0.995,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Fr O","FrontalLobe","orbitofrontal",0.99,1.01,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Sm","SensorimotorCortex","whole (sensorimotor)",0.98,0.965,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Pa SI","ParietalLobe","superior and inferior",0.96,0.965,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Pa TP","ParietalLobe","temporo-parietal junction",1.015,0.985,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Te SM","TemporalLobe","superior and middle",1.05,0.99,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Te I","TemporalLobe","inferior/medial",1.03,1,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Oc SM","OccipitalLobe","superior and middle",1.065,1.06,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Oc I","OccipitalLobe","inferior",1.03,1.045,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Ce V","Cerebellum","vermis",0.965,1.01,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Ce A","Cerebellum","anterior",0.99,1,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
"Ce P","Cerebellum","posterior",0.94,0.995,1,"Kochiyama_etal_2018","Figure 3A; figure-digitized (+/-0.02); ICV-size-adjusted"
