"Specimen","Taxon_code","Taxon_group","Species","date_min_yBP","date_max_yBP","date_mean_yBP","date_note","species_divergence_min_yBP","species_divergence_max_yBP","species_divergence_ref","Cerebrum_Vol.cc","Cerebrum_Vol.mm3","Cerebellum_Vol.cc","Cerebellum_Vol.mm3","Cerebellum_Cerebrum_ratio","date_refs_Kochiyama","source"
"Amud 1","NT","Neanderthal","Homo neanderthalensis",50000,70000,60000,"range midpoint",600000,800000,"19",1304,1304000,182,182000,0.1396,"20;21","Kochiyama_etal_2018"
"La Chapelle-aux-Saints 1","NT","Neanderthal","Homo neanderthalensis",47000,56000,51500,"range midpoint",600000,800000,"19",1159,1159000,140,140000,0.1208,"22","Kochiyama_etal_2018"
"La Ferrassie 1","NT","Neanderthal","Homo neanderthalensis",43000,45000,44000,"range midpoint",600000,800000,"19",1268,1268000,166,166000,0.1309,"23","Kochiyama_etal_2018"
"Forbes' Quarry 1","NT","Neanderthal","Homo neanderthalensis",NA,NA,NA,"no dating information",600000,800000,"19",912,912000,106,106000,0.1162,"","Kochiyama_etal_2018"
"Qafzeh 9","EH","early Homo sapiens","Homo sapiens",90000,120000,105000,"range midpoint",600000,800000,"19",1075,1075000,147,147000,0.1367,"22;24;25","Kochiyama_etal_2018"
"Skhul 5","EH","early Homo sapiens","Homo sapiens",100000,135000,117500,"range midpoint",600000,800000,"19",1053,1053000,146,146000,0.1387,"26;27","Kochiyama_etal_2018"
"Mladeč 1","EH","early Homo sapiens","Homo sapiens",35000,35000,35000,"point estimate",600000,800000,"19",1205,1205000,165,165000,0.1369,"28","Kochiyama_etal_2018"
"Cro-Magnon 1","EH","early Homo sapiens","Homo sapiens",32000,32000,32000,"point estimate",600000,800000,"19",1208,1208000,156,156000,0.1291,"29","Kochiyama_etal_2018"
